Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
PULP_CHEM_0052,10.23,9601.95,2599.88,1855.17,5749.94
PULP_CHEM_0053,9.27,9259.86,3224.1,1414.11,4627.96
PULP_CHEM_0054,9.38,9850.99,2990.82,1216.2,4822.38
PULP_CHEM_0055,11.46,8768.51,3283.09,2338.7,4238.39
PULP_CHEM_0056,9.68,8516.37,2415.34,1126.88,4148.32
PULP_CHEM_0057,11.24,8785.61,2111.84,2408.03,3830.87
PULP_CHEM_0058,9.41,6762.61,3143.23,1845.34,4142.2
PULP_CHEM_0059,9.33,6308.22,2283.19,2260.52,4704.1
PULP_CHEM_0060,9.79,6815.6,3416.95,1698.88,5167.93
PULP_CHEM_0061,9.77,6948.13,2359.11,1324.8,4974.07
PULP_CHEM_0062,10.06,7238.71,2175.44,1021.82,3790.72
PULP_CHEM_0063,9.83,7500.79,2132.87,2254.02,3804.37
PULP_CHEM_0064,10.42,9047.33,2143.58,1365.99,4275.12
PULP_CHEM_0065,9.24,7547.12,3230.5,2283.82,4729.01
PULP_CHEM_0066,10.99,9812.66,2240.31,2238.24,4113.54
PULP_CHEM_0067,9.67,9738.29,2029.3,2141.22,5068.13
PULP_CHEM_0068,11.28,9936.42,2197.56,1997.92,3613.8
PULP_CHEM_0069,11.25,7423.14,3482.03,2382.56,4644.63
PULP_CHEM_0070,9.04,9390.28,3291.51,2322.37,4974.0
PULP_CHEM_0071,11.13,9398.41,2959.52,1327.94,4492.05
PULP_CHEM_0072,10.69,8735.43,3421.33,2205.32,4390.49
PULP_CHEM_0073,9.09,7986.59,3151.32,1493.66,4295.3
PULP_CHEM_0074,9.77,7740.0,2092.26,1622.75,3884.58
PULP_CHEM_0075,10.41,8566.82,2443.79,1207.9,4478.44
PULP_CHEM_0076,10.49,7566.25,3123.42,1792.49,5864.81
PULP_CHEM_0077,10.7,6032.84,2081.86,2057.12,4791.02
PULP_CHEM_0078,10.58,8981.1,2819.6,1566.44,4352.0
PULP_CHEM_0079,11.35,6360.91,3254.63,1364.08,3514.67
PULP_CHEM_0080,10.84,9993.52,3072.3,1608.19,4632.9
PULP_CHEM_0081,10.86,8232.32,2888.35,2106.02,4056.01
PULP_CHEM_0082,9.27,9672.77,2409.58,2350.57,5362.43
PULP_CHEM_0083,10.23,8634.4,2840.96,1141.72,4061.09
PULP_CHEM_0084,11.17,9440.48,3302.3,1596.14,4369.64
PULP_CHEM_0085,9.05,8914.97,2811.22,1251.52,5374.64
PULP_CHEM_0086,9.46,7639.59,2686.88,1313.14,3516.0
PULP_CHEM_0087,9.28,6269.26,2590.71,1123.31,5819.07
PULP_CHEM_0088,11.13,6389.72,2118.29,1320.36,3570.96
PULP_CHEM_0089,9.12,6773.26,2637.93,1056.18,4375.11
PULP_CHEM_0090,10.25,9928.8,3081.28,1570.24,5522.22
PULP_CHEM_0091,10.26,8319.31,3382.55,2307.13,3505.55
PULP_CHEM_0092,10.91,8564.89,3495.58,2450.68,4643.43
PULP_CHEM_0093,9.87,6803.62,3383.49,2299.12,4811.09
PULP_CHEM_0094,11.33,6293.02,2291.16,1470.15,5300.79
PULP_CHEM_0095,9.75,8082.21,3235.93,1083.87,5955.22
PULP_CHEM_0096,10.38,9497.89,2626.77,1632.63,3984.48
PULP_CHEM_0097,9.14,9425.91,2107.9,1145.11,4910.17
PULP_CHEM_0098,10.49,7387.74,2039.68,1398.01,5945.52
PULP_CHEM_0099,10.61,7930.0,3453.47,1722.33,5710.11
PULP_CHEM_0100,10.85,6188.92,2420.66,1531.26,5466.83
PULP_CHEM_0101,9.25,6510.03,3272.51,1566.11,5292.77
PULP_CHEM_0102,9.86,7546.3,3371.69,2257.9,4963.25
PULP_CHEM_0103,10.72,9811.71,2050.74,1165.75,3906.38
PULP_CHEM_0104,9.46,6825.64,3154.79,1175.52,4433.3
PULP_CHEM_0105,9.01,9016.95,3330.77,1631.02,5661.91
PULP_CHEM_0106,9.67,9782.22,3123.42,1268.45,5928.05
PULP_CHEM_0107,10.75,7829.4,2311.96,2266.89,5489.97
PULP_CHEM_0108,10.05,9821.1,2154.59,1511.09,5006.55
PULP_CHEM_0109,9.8,8973.53,2409.53,1238.81,4660.65
PULP_CHEM_0110,9.53,7935.87,2851.52,1346.69,4868.58
PULP_CHEM_0111,9.78,6744.59,2556.96,1339.09,4466.38
PULP_CHEM_0112,9.93,7337.63,2349.1,2111.12,3958.89
PULP_CHEM_0113,9.33,8850.71,3072.41,1486.94,5865.74
PULP_CHEM_0114,10.69,6550.5,2465.35,1263.16,5948.19
PULP_CHEM_0115,10.27,9814.99,2402.74,1426.96,5376.25
PULP_CHEM_0116,11.14,8974.87,2122.26,2319.54,3881.1
PULP_CHEM_0117,9.0,8142.92,2944.64,1039.7,4965.38
PULP_CHEM_0118,10.95,9274.26,2322.63,1522.98,5859.92
PULP_CHEM_0119,10.98,9995.06,2198.98,1482.9,3806.2
PULP_CHEM_0120,9.16,9989.25,2417.1,1096.07,5132.69
PULP_CHEM_0121,10.08,7394.35,2278.44,2047.41,4813.08
PULP_CHEM_0122,9.87,7638.83,2398.81,2292.1,4161.71
PULP_CHEM_0123,11.1,9109.7,2092.93,1340.58,5271.25
PULP_CHEM_0124,10.21,7703.92,2138.8,2406.26,4490.38
PULP_CHEM_0125,9.65,9822.4,2670.87,1406.85,5255.38
PULP_CHEM_0126,9.29,8997.35,2220.33,1022.14,5759.71
PULP_CHEM_0127,10.54,6523.92,2065.23,1923.18,5443.94
PULP_CHEM_0128,9.88,8606.27,3254.24,1344.55,4048.04
PULP_CHEM_0129,10.28,6378.67,3171.1,2438.43,5292.95
PULP_CHEM_0130,9.91,8656.3,2951.39,2064.71,3659.48
PULP_CHEM_0131,11.45,9601.21,2688.75,1464.56,4020.06
PULP_CHEM_0132,10.01,7528.51,2472.41,2194.45,5771.96
PULP_CHEM_0133,11.01,8645.63,3201.4,1585.92,4776.53
PULP_CHEM_0134,10.69,9416.11,3450.28,1780.53,4445.65
PULP_CHEM_0135,9.67,8960.71,2764.7,1113.72,4765.23
PULP_CHEM_0136,10.25,6735.71,2966.71,1788.36,5491.57
PULP_CHEM_0137,10.01,6251.66,2752.97,2466.4,5822.41
PULP_CHEM_0138,10.82,7829.32,2190.27,2251.84,4042.76
PULP_CHEM_0139,9.91,6019.54,3159.49,2410.01,3906.83
PULP_CHEM_0140,11.19,7357.8,2339.48,1595.64,5952.77
PULP_CHEM_0141,10.15,6718.24,2115.5,1397.58,3631.56
PULP_CHEM_0142,11.34,9704.04,3217.74,1280.03,5678.42
PULP_CHEM_0143,11.13,7541.48,3415.08,2335.32,5727.22
PULP_CHEM_0144,9.79,6544.34,2221.53,2084.69,4719.17
PULP_CHEM_0145,10.21,7053.01,2471.61,1884.18,4415.86
PULP_CHEM_0146,10.01,9750.59,3368.93,1812.26,5843.97
PULP_CHEM_0147,11.47,7975.78,3109.06,1860.83,4165.68
PULP_CHEM_0148,10.17,7802.7,3235.36,1618.66,5616.93
PULP_CHEM_0149,9.85,7686.77,3034.88,1766.19,5464.48
PULP_CHEM_0150,10.12,8460.37,3257.59,2261.36,5275.25
PULP_CHEM_0151,9.43,8784.27,2085.36,2168.04,4072.74
PULP_CHEM_0152,10.43,9030.12,2764.83,1447.11,3983.72
PULP_CHEM_0153,10.8,6645.84,2770.95,1627.48,5403.91
PULP_CHEM_0154,11.23,9591.81,3017.43,2271.57,5786.15
PULP_CHEM_0155,10.97,9032.55,2282.59,1735.23,4297.27
PULP_CHEM_0156,10.21,8135.53,2295.76,1797.34,5145.86
PULP_CHEM_0157,9.78,8007.32,2820.4,1571.71,4809.38
PULP_CHEM_0158,10.74,6287.6,2920.01,1635.23,4517.23
PULP_CHEM_0159,10.45,9737.93,2334.77,1915.56,4037.49
PULP_CHEM_0160,9.97,7857.68,3401.41,1074.94,3528.87
PULP_CHEM_0161,10.15,9981.9,2933.83,1720.16,5913.21
PULP_CHEM_0162,10.54,6059.79,2441.22,1999.09,3730.82
PULP_CHEM_0163,9.32,8150.51,2427.38,1174.32,5995.1
PULP_CHEM_0164,10.47,8045.23,2101.97,1557.18,5331.72
PULP_CHEM_0165,10.38,9588.15,3083.45,2027.24,4754.71
PULP_CHEM_0166,10.22,7756.87,2252.64,1310.6,4608.8
PULP_CHEM_0167,10.37,8080.16,3409.46,1309.16,4172.65
PULP_CHEM_0168,11.45,8965.53,3483.33,1053.26,4265.41
PULP_CHEM_0169,9.43,9024.35,2646.1,1687.99,4254.76
PULP_CHEM_0170,10.32,8119.61,2868.74,1074.93,5748.18
PULP_CHEM_0171,10.77,8834.07,3337.85,2386.32,4257.75
PULP_CHEM_0172,10.35,7176.34,3428.88,2032.15,3919.68
PULP_CHEM_0173,10.01,8046.24,2365.05,2370.04,4227.96
PULP_CHEM_0174,10.9,6196.05,2401.5,1255.05,4809.0
PULP_CHEM_0175,10.78,8999.67,3237.88,1086.2,5155.44
PULP_CHEM_0176,9.51,7951.42,2119.34,2017.65,5041.82
PULP_CHEM_0177,11.46,7454.1,2417.64,2027.31,5362.63
PULP_CHEM_0178,10.97,7752.36,2568.84,2227.9,5603.72
PULP_CHEM_0179,9.01,6201.0,2490.76,2241.26,4670.25
PULP_CHEM_0180,10.4,6526.84,2252.62,1047.99,5591.23
PULP_CHEM_0181,10.91,6581.4,2619.68,1617.48,5178.8
PULP_CHEM_0182,9.61,7491.66,2817.77,1904.15,4720.29
PULP_CHEM_0183,10.88,9468.38,3352.38,1779.85,5632.82
PULP_CHEM_0184,9.07,9603.22,2542.2,1494.46,5293.85
PULP_CHEM_0185,9.2,9532.72,3100.29,1387.01,5643.28
PULP_CHEM_0186,10.92,8518.95,2563.02,1493.35,4540.53
PULP_CHEM_0187,11.45,6875.73,2902.37,1494.35,5984.95
PULP_CHEM_0188,10.27,8575.57,3289.3,1487.29,3887.81
PULP_CHEM_0189,9.73,9412.34,2870.72,2356.18,5582.23
PULP_CHEM_0190,9.76,6354.55,3069.84,1748.68,5098.05
PULP_CHEM_0191,9.52,8438.36,2505.36,1480.32,4629.81
PULP_CHEM_0192,9.13,6994.26,2938.12,2090.24,3522.86
PULP_CHEM_0193,11.42,7263.99,2206.83,1541.9,4209.05
PULP_CHEM_0194,9.18,7462.46,3078.61,2448.42,5720.52
PULP_CHEM_0195,10.28,7852.99,2674.38,2486.18,4486.03
PULP_CHEM_0196,10.02,8981.08,2350.77,1927.87,5976.65
PULP_CHEM_0197,10.44,9459.35,2204.17,2476.42,3613.7
PULP_CHEM_0198,10.6,9161.68,3108.53,2116.04,4031.28
PULP_CHEM_0199,9.36,9906.54,3198.33,1618.99,5901.84
PULP_CHEM_0200,10.22,7202.13,2927.3,1264.95,3505.99
PULP_CHEM_0201,9.32,9228.08,2322.35,1658.9,4744.03
PULP_CHEM_0202,9.7,9533.74,2207.1,2207.92,5027.4
PULP_CHEM_0203,9.44,6024.95,3122.0,1995.99,5602.64
PULP_CHEM_0204,11.13,7196.1,3398.02,1716.17,5178.65
PULP_CHEM_0205,9.41,6576.7,2159.22,1041.85,4456.08
PULP_CHEM_0206,11.02,9035.49,2256.23,1195.05,4268.11
PULP_CHEM_0207,10.54,6289.4,2108.99,1930.78,4301.91
PULP_CHEM_0208,10.01,8605.2,2174.4,1938.27,5493.16
PULP_CHEM_0209,10.69,8199.04,2648.3,2375.5,4886.19
PULP_CHEM_0210,9.06,9662.22,2795.22,1826.37,4142.27
PULP_CHEM_0211,9.9,9793.49,2212.48,2180.55,5968.85
PULP_CHEM_0212,9.87,6387.96,3115.29,2143.42,5364.11
PULP_CHEM_0213,9.65,9898.28,2917.24,1813.53,5147.97
PULP_CHEM_0214,9.47,8174.99,2674.76,2339.23,5405.46
PULP_CHEM_0215,10.7,8709.0,2037.8,1907.29,5563.24
PULP_CHEM_0216,11.2,8825.81,2786.14,1555.41,5993.85
PULP_CHEM_0217,11.02,6186.57,2821.33,2442.72,4226.23
PULP_CHEM_0218,9.45,9783.7,3035.65,1056.9,3586.85
PULP_CHEM_0219,10.31,6075.91,3310.46,1813.11,4977.66
PULP_CHEM_0220,10.6,7217.43,2385.94,2086.66,3748.17
PULP_CHEM_0221,11.29,7370.03,2290.75,1790.6,5695.76
PULP_CHEM_0222,10.57,9691.53,2856.33,1877.15,5250.38
PULP_CHEM_0223,11.33,7530.15,2400.63,2479.47,4979.83
PULP_CHEM_0224,9.41,8902.47,2286.51,1325.09,4006.74
PULP_CHEM_0225,10.39,9297.99,3132.26,1282.7,3975.75
PULP_CHEM_0226,10.21,6343.62,2185.08,1518.32,5217.88
PULP_CHEM_0227,10.02,6222.17,2363.39,1606.19,5560.8
PULP_CHEM_0228,10.86,9897.36,2433.71,2387.89,5977.5
PULP_CHEM_0229,9.88,8831.48,3028.72,2124.23,3767.4
PULP_CHEM_0230,10.35,7697.54,3417.56,2113.18,4782.52
PULP_CHEM_0231,10.26,8862.94,2612.18,2282.33,4512.31
PULP_CHEM_0232,11.47,6720.05,2411.73,2072.17,5237.51
PULP_CHEM_0233,9.32,7478.54,3080.32,1580.17,5147.16
PULP_CHEM_0234,10.8,9860.42,2784.26,2158.96,4959.37
PULP_CHEM_0235,9.76,6813.1,3483.98,2234.79,4688.64
PULP_CHEM_0236,10.81,6593.48,2659.11,1033.64,5369.33
PULP_CHEM_0237,9.98,7100.13,2273.47,1220.97,3645.72
PULP_CHEM_0238,11.04,7332.79,2174.81,1456.35,5256.31
PULP_CHEM_0239,10.12,7982.32,3440.15,1569.16,5468.96
PULP_CHEM_0240,9.77,7118.32,2168.51,1819.76,4204.29
PULP_CHEM_0241,10.06,7415.76,2861.95,2416.02,3826.93
PULP_CHEM_0242,10.46,8455.27,2593.67,1690.86,5696.33
PULP_CHEM_0243,10.51,8923.99,3314.12,1808.85,4827.54
PULP_CHEM_0244,9.38,9641.68,2957.03,1127.49,5952.1
PULP_CHEM_0245,9.87,8784.41,2553.74,1675.3,5218.77
PULP_CHEM_0246,9.41,8962.85,2422.36,1570.68,5951.8
PULP_CHEM_0247,10.84,8831.58,2110.07,2311.86,5512.73
PULP_CHEM_0248,9.49,9901.62,2943.59,2330.13,5418.95
PULP_CHEM_0249,11.09,6848.38,3008.46,2139.09,5472.94
PULP_CHEM_0250,10.07,9026.31,2658.87,1796.32,4531.36
PULP_CHEM_0251,10.5,6157.18,2663.58,1578.97,5232.15
PULP_CHEM_0252,9.96,6666.33,2135.99,1253.43,5542.79
PULP_CHEM_0253,10.48,6288.39,2360.92,1333.33,5491.51
PULP_CHEM_0254,11.29,8952.07,2679.17,1376.51,5598.85
PULP_CHEM_0255,9.35,8595.59,3096.91,1579.9,4836.63
PULP_CHEM_0256,10.93,6734.09,2694.36,1040.23,5941.32
PULP_CHEM_0257,10.66,9818.92,3202.83,1127.76,4219.9
PULP_CHEM_0258,10.01,9826.48,2456.9,1588.64,4811.28
PULP_CHEM_0259,11.43,9051.64,3381.6,1170.97,4340.04
PULP_CHEM_0260,10.98,7170.6,2365.09,1756.25,3866.66
PULP_CHEM_0261,9.38,6851.84,2602.5,2053.25,3743.36
PULP_CHEM_0262,10.15,8446.02,2014.15,2230.62,5268.6
PULP_CHEM_0263,10.78,8222.45,3117.26,1799.52,3900.11
PULP_CHEM_0264,11.31,9324.77,2164.46,2461.96,4535.61
PULP_CHEM_0265,11.11,7580.07,3143.32,1981.37,5074.27
PULP_CHEM_0266,11.39,8018.38,2673.99,1790.2,4294.12
PULP_CHEM_0267,9.72,6817.12,2544.23,1219.91,5308.99
PULP_CHEM_0268,11.1,7030.35,2223.07,2408.43,4890.52
PULP_CHEM_0269,9.68,6978.33,3288.98,2317.56,5386.54
PULP_CHEM_0270,9.78,7283.57,3340.57,2257.51,5733.32
PULP_CHEM_0271,10.68,8613.84,2845.06,1079.65,4223.51
PULP_CHEM_0272,9.54,7380.61,2589.71,2420.7,4666.27
PULP_CHEM_0273,9.96,7491.32,3212.58,1121.65,4775.36
PULP_CHEM_0274,11.49,7854.65,3193.66,1309.03,5731.71
PULP_CHEM_0275,11.13,7018.91,2011.43,2179.61,5792.26
PULP_CHEM_0276,10.72,6962.85,3100.35,2371.64,5290.79
PULP_CHEM_0277,9.39,7234.23,3166.67,1666.84,4912.5
PULP_CHEM_0278,10.94,6231.38,2255.5,1524.72,4362.44
PULP_CHEM_0279,10.22,6225.57,2469.46,2317.07,4122.32
PULP_CHEM_0280,10.57,8344.93,3189.82,2136.82,5700.55
PULP_CHEM_0281,10.45,8211.85,2665.79,2229.36,4968.2
PULP_CHEM_0282,9.81,8003.75,3083.07,2186.12,4460.96
PULP_CHEM_0283,9.54,7250.92,3094.06,2426.89,5087.31
PULP_CHEM_0284,9.31,7621.21,2479.96,1022.61,4400.99
PULP_CHEM_0285,11.21,6162.81,2227.24,1289.13,4851.89
PULP_CHEM_0286,9.54,6490.72,2225.99,1974.04,4571.53
PULP_CHEM_0287,9.96,7422.98,3187.02,1211.46,5469.31
PULP_CHEM_0288,9.47,9399.43,3146.82,2309.61,5694.19
PULP_CHEM_0289,11.07,7062.44,2794.81,1816.79,4365.8
PULP_CHEM_0290,10.25,7395.31,2159.23,1519.4,5253.5
PULP_CHEM_0291,9.71,6155.42,3241.41,1612.58,5579.8
PULP_CHEM_0292,9.47,6538.16,3248.28,2125.59,5782.96
PULP_CHEM_0293,10.62,7287.84,2627.16,2492.69,5776.95
PULP_CHEM_0294,10.98,8800.85,3087.0,2103.74,3611.68
PULP_CHEM_0295,11.11,8262.28,2395.61,1097.81,5041.52
PULP_CHEM_0296,11.22,8307.99,2562.06,1442.23,3690.79
PULP_CHEM_0297,9.19,6012.34,2359.47,1502.29,5093.75
PULP_CHEM_0298,10.48,9192.39,3043.96,1574.1,3564.17
PULP_CHEM_0299,9.33,7448.75,2333.79,2365.51,3588.06
PULP_CHEM_0300,9.09,9379.52,2591.08,1489.23,3586.14
PULP_CHEM_0301,10.21,6850.7,2077.43,2251.4,5747.77
PULP_CHEM_0302,11.2,9793.39,2063.59,1575.15,4270.39
PULP_CHEM_0303,11.03,7935.71,2728.35,2243.92,4608.63
PULP_CHEM_0304,11.43,8147.07,2304.58,1542.97,4604.52
PULP_CHEM_0305,11.39,9957.53,3407.04,2411.35,5671.7
PULP_CHEM_0306,11.3,6856.15,2219.35,1559.16,4578.58
PULP_CHEM_0307,11.17,6538.03,2413.52,1614.39,4734.88
PULP_CHEM_0308,11.09,7997.72,2909.28,1700.61,3724.88
PULP_CHEM_0309,9.32,9386.85,2442.88,1606.71,5450.62
PULP_CHEM_0310,9.37,9327.79,3420.0,2251.49,4645.31
PULP_CHEM_0311,11.29,7582.61,2466.94,1882.68,5501.35
PULP_CHEM_0312,10.36,9626.21,2308.62,1942.93,4371.18
PULP_CHEM_0313,9.94,7247.03,2167.35,1877.04,4245.24
PULP_CHEM_0314,10.21,9570.27,2573.03,1646.15,4137.96
PULP_CHEM_0315,10.03,6426.16,2845.99,2023.27,4252.92
PULP_CHEM_0316,9.06,8559.79,2545.56,1529.57,5590.69
PULP_CHEM_0317,9.17,8901.31,2545.79,1784.67,4327.09
PULP_CHEM_0318,10.4,9961.79,3175.87,2424.86,5424.06
PULP_CHEM_0319,10.51,8967.12,2205.94,1340.64,5419.04
PULP_CHEM_0320,9.56,9186.51,2207.31,2136.38,5154.44
PULP_CHEM_0321,9.76,8161.23,2179.99,1275.16,5699.39
PULP_CHEM_0322,10.47,6133.2,2020.79,2000.59,3692.08
PULP_CHEM_0323,11.23,8716.01,3214.12,1023.92,4514.91
PULP_CHEM_0324,11.48,7600.51,3115.51,1132.39,4712.84
PULP_CHEM_0325,9.28,8090.78,2301.04,1913.45,3593.78
PULP_CHEM_0326,9.87,8534.67,2776.27,2309.14,4135.4
PULP_CHEM_0327,9.29,8319.35,2174.53,1478.64,4932.05
PULP_CHEM_0328,10.94,8855.4,2470.93,1846.3,4499.12
PULP_CHEM_0329,10.55,6416.72,2184.16,1585.51,3686.27
PULP_CHEM_0330,9.85,8184.22,2654.74,1284.24,4090.42
PULP_CHEM_0331,9.11,6804.01,2063.24,1488.9,5778.54
PULP_CHEM_0332,9.66,8696.2,2113.05,1662.2,4706.34
PULP_CHEM_0333,9.02,9827.43,2545.63,1173.94,5861.01
PULP_CHEM_0334,11.22,7919.75,3125.98,1745.43,3665.56
PULP_CHEM_0335,9.42,6839.58,2217.09,1820.31,4026.89
PULP_CHEM_0336,11.03,7304.1,2551.9,2473.0,3539.08
PULP_CHEM_0337,9.75,9007.9,2886.38,1766.97,5083.12
PULP_CHEM_0338,9.81,6650.93,2284.11,1935.68,4027.12
PULP_CHEM_0339,9.77,9671.46,3456.73,1022.45,5561.52
PULP_CHEM_0340,10.18,7691.04,3325.18,1159.45,5955.84
PULP_CHEM_0341,10.04,7706.8,3141.19,1965.22,4272.46
PULP_CHEM_0342,10.74,8711.44,2653.76,1517.48,5434.25
PULP_CHEM_0343,9.07,8434.93,3449.06,1469.07,5533.6
PULP_CHEM_0344,10.06,9436.45,3138.04,1936.67,3650.39
PULP_CHEM_0345,9.04,6640.85,2780.28,1928.75,5682.38
PULP_CHEM_0346,11.43,6873.65,2696.51,2253.73,3896.99
PULP_CHEM_0347,11.23,7991.92,2019.02,2238.83,3950.82
PULP_CHEM_0348,10.47,6502.34,2146.31,1377.76,3921.97
PULP_CHEM_0349,10.3,7746.81,2677.84,1008.16,5990.78
PULP_CHEM_0350,10.07,7815.29,2290.46,1081.92,3849.6
PULP_CHEM_0351,11.17,8015.92,2894.99,1017.12,5129.62
PULP_CHEM_0352,10.14,6390.78,2367.77,1623.42,3707.32
PULP_CHEM_0353,9.62,6620.85,2203.06,1879.25,5276.61
PULP_CHEM_0354,10.41,7182.72,2338.85,1981.04,5900.24
PULP_CHEM_0355,10.67,9443.63,2960.6,2312.64,5201.59
PULP_CHEM_0356,9.82,7237.03,2195.36,2291.25,4484.47
PULP_CHEM_0357,9.91,8107.16,2474.3,2056.67,3940.87
PULP_CHEM_0358,11.23,6500.08,3194.16,1348.57,3606.74
PULP_CHEM_0359,11.14,6648.96,2058.95,1956.88,3799.53
PULP_CHEM_0360,11.42,8013.52,3140.05,1787.02,3851.9
PULP_CHEM_0361,9.55,7083.84,2890.17,1849.22,5555.76
PULP_CHEM_0362,11.0,9257.84,3252.86,1245.44,4458.5
PULP_CHEM_0363,9.99,7831.96,2174.7,1930.94,4426.61
PULP_CHEM_0364,11.17,8563.76,2501.53,1040.8,3969.73
PULP_CHEM_0365,11.47,8634.64,2778.0,2361.47,4732.86
PULP_CHEM_0366,9.67,7963.58,2622.59,2241.53,3991.54
PULP_CHEM_0367,10.47,7798.13,3213.1,1171.53,4078.31
PULP_CHEM_0368,9.21,9529.39,2347.87,2344.94,4303.43
PULP_CHEM_0369,11.29,8165.47,3173.04,1489.48,4601.13
PULP_CHEM_0370,9.74,7690.65,2368.16,2344.46,3723.92
PULP_CHEM_0371,9.98,8454.72,2596.65,1243.15,4350.25
PULP_CHEM_0372,9.09,6848.06,3179.54,2031.97,3525.76
PULP_CHEM_0373,10.32,9979.14,2057.0,1030.94,4790.8
PULP_CHEM_0374,10.44,7852.86,2304.04,2182.36,3521.67
PULP_CHEM_0375,10.87,6282.47,2557.86,2029.2,4885.75
PULP_CHEM_0376,9.2,7267.2,2628.2,1589.17,4529.39
PULP_CHEM_0377,10.66,7581.53,2739.26,2124.86,3972.24
PULP_CHEM_0378,9.93,6145.92,3083.1,1172.8,5259.83
PULP_CHEM_0379,11.18,7302.82,3451.14,2011.14,4907.98
PULP_CHEM_0380,10.1,6678.25,2870.46,2101.77,4806.72
PULP_CHEM_0381,10.79,7215.25,2469.16,2335.79,5672.35
PULP_CHEM_0382,10.87,8472.4,2517.26,1735.42,5450.99
PULP_CHEM_0383,10.87,8731.5,2132.27,1666.59,5374.79
PULP_CHEM_0384,10.78,9110.66,3339.09,1892.97,3933.14
PULP_CHEM_0385,10.34,8060.04,2491.44,1896.4,4077.6
PULP_CHEM_0386,10.68,8222.2,3147.92,1066.85,4259.71
