Sample ID,pH,COD (mg/L),BOD (mg/L),TSS (mg/L),TDS (mg/L)
PULP_BLEA_0129,3.78,2057.31,910.17,440.73,2419.33
PULP_BLEA_0130,4.18,2511.31,1463.54,528.11,2924.66
PULP_BLEA_0131,4.44,3248.37,1022.03,230.06,3392.36
PULP_BLEA_0132,2.88,3607.52,1462.14,348.36,1745.34
PULP_BLEA_0133,4.42,2185.76,1137.72,244.75,3282.78
PULP_BLEA_0134,3.57,2405.29,567.19,716.77,1754.36
PULP_BLEA_0135,3.04,2859.68,1462.06,508.32,2266.98
PULP_BLEA_0136,3.62,2130.64,978.28,512.2,1871.39
PULP_BLEA_0137,2.57,3581.96,1294.53,339.38,2455.6
PULP_BLEA_0138,3.12,2362.08,1478.17,450.7,3275.19
PULP_BLEA_0139,4.04,2533.21,1369.68,649.21,3031.88
PULP_BLEA_0140,2.61,2167.59,1458.75,314.37,3219.67
PULP_BLEA_0141,2.64,3640.76,882.11,525.18,2681.28
PULP_BLEA_0142,2.78,2895.19,624.37,711.08,2026.74
PULP_BLEA_0143,4.17,2997.83,649.88,440.17,2288.97
PULP_BLEA_0144,2.71,4010.92,1121.88,695.64,2973.61
PULP_BLEA_0145,2.6,3234.59,1454.78,206.95,1887.16
PULP_BLEA_0146,3.63,4021.59,1130.87,723.53,3028.33
PULP_BLEA_0147,2.7,3724.89,1275.89,248.67,1722.18
PULP_BLEA_0148,4.19,3046.78,1263.74,784.86,1839.6
PULP_BLEA_0149,3.35,3248.86,578.48,515.39,2806.38
PULP_BLEA_0150,2.9,3463.04,1366.79,487.97,2029.97
PULP_BLEA_0151,4.1,3889.88,1040.38,618.29,3364.24
PULP_BLEA_0152,2.88,2991.48,1330.42,451.62,1782.11
PULP_BLEA_0153,3.08,4417.95,909.8,689.68,3398.27
PULP_BLEA_0154,3.52,4060.59,951.21,319.56,1873.32
PULP_BLEA_0155,2.99,3871.23,1275.93,601.44,1871.44
PULP_BLEA_0156,3.3,3667.37,736.08,260.55,2873.76
PULP_BLEA_0157,2.74,4220.29,738.32,639.28,2262.53
PULP_BLEA_0158,4.18,4050.06,868.53,334.1,2204.16
PULP_BLEA_0159,4.3,3992.15,627.8,344.61,3376.08
PULP_BLEA_0160,3.63,2832.35,759.79,345.97,2896.37
PULP_BLEA_0161,2.74,4117.54,1462.09,343.26,3490.45
PULP_BLEA_0162,3.79,3803.8,620.19,690.38,2455.58
PULP_BLEA_0163,2.92,2257.93,919.55,486.69,2962.78
PULP_BLEA_0164,3.97,4118.19,1342.99,719.23,3115.92
PULP_BLEA_0165,3.0,2850.73,1403.55,616.79,1772.37
PULP_BLEA_0166,3.19,2385.0,1463.42,410.45,1848.36
PULP_BLEA_0167,2.66,3653.08,902.87,665.36,2808.5
PULP_BLEA_0168,3.03,3736.79,1152.71,217.98,2150.02
PULP_BLEA_0169,4.06,3968.79,638.45,548.59,3001.0
PULP_BLEA_0170,3.36,3763.57,1332.5,710.17,2465.83
PULP_BLEA_0171,3.06,3631.05,1021.29,607.68,2363.71
PULP_BLEA_0172,4.04,2326.43,582.49,754.66,1519.87
PULP_BLEA_0173,3.7,3021.7,600.26,350.75,2915.46
PULP_BLEA_0174,3.89,3151.24,793.24,741.53,1833.34
PULP_BLEA_0175,3.25,3487.42,1401.79,442.46,2741.52
PULP_BLEA_0176,2.81,4209.97,977.46,521.05,3089.1
PULP_BLEA_0177,4.41,2718.38,993.85,337.71,1696.9
PULP_BLEA_0178,3.88,2113.29,1457.75,496.6,1748.77
PULP_BLEA_0179,2.77,4016.09,1290.35,489.54,2535.01
PULP_BLEA_0180,3.41,2573.67,679.7,229.49,2952.31
PULP_BLEA_0181,2.8,3526.99,1357.54,397.55,2318.24
PULP_BLEA_0182,3.18,4234.4,827.03,720.86,1663.0
PULP_BLEA_0183,4.12,3470.0,673.55,277.28,1713.04
PULP_BLEA_0184,3.79,3363.62,991.57,577.06,1518.98
PULP_BLEA_0185,3.75,2682.95,732.09,667.98,2559.93
PULP_BLEA_0186,2.71,3365.23,1130.65,374.79,3163.39
PULP_BLEA_0187,3.01,2796.03,1076.27,325.25,2256.53
PULP_BLEA_0188,4.27,2952.67,1136.71,271.04,3349.9
PULP_BLEA_0189,3.63,2301.94,727.67,712.29,3394.92
PULP_BLEA_0190,4.0,2279.08,1195.54,596.25,2818.82
PULP_BLEA_0191,3.61,3302.32,967.27,238.19,1625.47
PULP_BLEA_0192,3.7,3115.59,1282.47,429.63,2173.72
PULP_BLEA_0193,2.97,3671.48,855.29,436.71,3116.14
PULP_BLEA_0194,3.04,3796.61,890.83,305.23,2737.62
PULP_BLEA_0195,2.84,2682.49,1082.32,579.98,2263.66
PULP_BLEA_0196,3.39,3997.59,1224.92,558.0,2192.88
PULP_BLEA_0197,3.67,3091.97,1293.53,330.84,2611.61
PULP_BLEA_0198,4.11,2858.5,744.48,306.42,1662.44
PULP_BLEA_0199,3.27,3189.45,683.92,529.48,2243.76
PULP_BLEA_0200,3.21,2422.21,940.15,670.93,2685.89
PULP_BLEA_0201,4.09,4242.87,1212.96,373.3,2341.8
PULP_BLEA_0202,3.44,2507.99,1275.11,638.83,2010.39
PULP_BLEA_0203,3.77,2934.43,535.45,381.98,3484.96
PULP_BLEA_0204,3.66,3882.47,774.31,366.15,1607.23
PULP_BLEA_0205,2.6,4206.2,1015.87,309.32,2663.99
PULP_BLEA_0206,4.47,4102.12,838.17,236.22,2732.11
PULP_BLEA_0207,3.36,2208.31,1482.24,732.58,1898.63
PULP_BLEA_0208,3.07,2562.75,907.34,726.04,2561.76
PULP_BLEA_0209,3.64,4468.13,750.49,346.21,2310.35
PULP_BLEA_0210,2.54,3531.9,1060.12,233.57,2961.94
PULP_BLEA_0211,3.92,3949.98,546.51,578.61,2365.93
PULP_BLEA_0212,2.78,3139.19,964.71,453.06,2831.51
PULP_BLEA_0213,3.82,2047.99,1390.42,707.43,2206.8
PULP_BLEA_0214,3.54,3449.43,805.92,408.02,3215.67
PULP_BLEA_0215,3.87,2821.07,1466.73,345.78,1579.24
PULP_BLEA_0216,3.91,2557.66,1160.79,739.93,3132.4
PULP_BLEA_0217,3.12,3454.65,1159.18,509.57,2357.73
PULP_BLEA_0218,3.67,2444.02,873.59,373.21,1904.57
PULP_BLEA_0219,3.14,3134.14,1210.41,447.41,2246.42
PULP_BLEA_0220,2.87,3101.17,659.5,318.46,2626.68
PULP_BLEA_0221,2.55,3958.91,1006.96,279.59,3001.93
PULP_BLEA_0222,2.88,2556.37,567.11,397.01,1921.62
PULP_BLEA_0223,3.4,3652.04,774.14,263.4,2234.84
PULP_BLEA_0224,4.12,3926.43,1456.26,327.62,3229.66
PULP_BLEA_0225,3.74,4229.91,1468.81,446.02,2848.84
PULP_BLEA_0226,3.88,3870.23,736.83,364.91,2689.03
PULP_BLEA_0227,3.75,2686.46,727.34,620.86,2733.28
PULP_BLEA_0228,3.88,4405.15,656.12,216.79,3111.52
PULP_BLEA_0229,4.16,4136.02,1270.19,747.83,2599.13
PULP_BLEA_0230,4.31,3823.77,1241.66,430.03,2245.25
PULP_BLEA_0231,2.8,3813.0,1192.48,711.88,3138.74
PULP_BLEA_0232,3.86,4391.18,569.8,345.86,3148.45
PULP_BLEA_0233,3.18,3407.33,729.19,380.23,2379.19
PULP_BLEA_0234,4.33,3354.32,602.66,249.61,3246.38
PULP_BLEA_0235,2.75,3305.62,635.37,455.77,2692.67
PULP_BLEA_0236,3.04,4159.65,1419.84,318.09,3240.37
PULP_BLEA_0237,3.09,4466.76,771.64,263.5,1704.64
PULP_BLEA_0238,4.32,2455.03,689.03,411.27,2482.62
PULP_BLEA_0239,3.84,2367.47,697.33,394.89,2567.62
PULP_BLEA_0240,3.95,2483.3,1370.98,665.89,1855.68
PULP_BLEA_0241,4.12,2365.94,1257.82,603.25,1820.31
PULP_BLEA_0242,3.71,4154.07,704.58,538.68,1778.12
PULP_BLEA_0243,3.16,2940.99,1255.03,599.64,3207.48
PULP_BLEA_0244,4.48,2964.33,815.19,207.2,2677.25
PULP_BLEA_0245,4.42,2960.98,1223.95,779.26,2124.1
PULP_BLEA_0246,3.26,3101.36,871.17,492.75,3076.44
PULP_BLEA_0247,2.63,3771.43,1272.31,237.06,3091.8
PULP_BLEA_0248,3.97,3377.93,1481.31,296.63,1732.93
PULP_BLEA_0249,4.24,3388.31,1040.33,500.61,1885.73
PULP_BLEA_0250,4.24,3413.21,1335.04,436.45,3260.16
PULP_BLEA_0251,3.11,2306.02,744.64,218.99,3248.37
PULP_BLEA_0252,4.09,4468.19,1169.64,694.16,2032.39
PULP_BLEA_0253,3.92,4198.41,1358.03,667.78,2697.24
PULP_BLEA_0254,4.39,2692.21,1227.72,261.25,2856.67
PULP_BLEA_0255,3.1,3081.14,1352.97,217.26,2768.44
PULP_BLEA_0256,2.55,3240.03,1363.35,519.6,1649.09
PULP_BLEA_0257,4.0,2679.18,1476.42,538.05,3466.81
PULP_BLEA_0258,3.82,2639.3,1462.46,355.25,2536.71
PULP_BLEA_0259,3.3,4161.55,1083.69,430.0,2524.74
PULP_BLEA_0260,3.88,4248.41,510.36,523.36,1766.89
PULP_BLEA_0261,2.97,2911.1,815.05,685.06,2984.66
PULP_BLEA_0262,3.19,2663.46,836.25,389.79,2700.09
PULP_BLEA_0263,4.5,4144.04,827.2,650.12,2207.72
PULP_BLEA_0264,3.42,4447.74,1087.22,374.13,3432.25
PULP_BLEA_0265,2.73,2027.83,683.92,709.07,2040.05
PULP_BLEA_0266,3.73,2459.12,767.18,234.92,2579.66
PULP_BLEA_0267,3.23,4426.41,723.04,336.85,1770.16
PULP_BLEA_0268,3.33,3837.01,1198.41,662.72,3178.21
PULP_BLEA_0269,3.53,2022.32,1161.68,777.44,2740.88
PULP_BLEA_0270,2.77,2321.85,704.94,786.8,3232.25
PULP_BLEA_0271,4.41,4058.9,1190.16,499.93,2889.11
PULP_BLEA_0272,4.3,3252.48,922.26,265.76,2020.94
PULP_BLEA_0273,3.52,2499.14,1379.68,736.92,2519.72
PULP_BLEA_0274,3.5,3887.28,1473.77,594.67,1908.4
PULP_BLEA_0275,3.79,2226.09,1267.86,258.18,3241.68
PULP_BLEA_0276,2.71,3907.99,822.87,242.82,3376.95
PULP_BLEA_0277,4.44,2293.5,536.71,269.95,2139.22
PULP_BLEA_0278,4.27,3115.19,1261.01,474.91,3338.4
PULP_BLEA_0279,3.12,2271.89,933.17,509.61,3207.0
PULP_BLEA_0280,4.47,3612.49,720.26,606.02,3428.61
PULP_BLEA_0281,3.55,3093.12,531.86,325.07,3079.22
PULP_BLEA_0282,4.07,3450.06,945.94,593.16,1938.2
PULP_BLEA_0283,3.13,3759.62,679.92,523.39,1830.45
PULP_BLEA_0284,4.09,3155.31,526.04,361.75,2393.95
PULP_BLEA_0285,3.24,2422.63,1347.82,580.0,3235.31
PULP_BLEA_0286,4.29,2876.08,618.32,687.72,2250.36
PULP_BLEA_0287,2.98,3006.75,1025.98,564.07,2814.75
PULP_BLEA_0288,2.63,3657.89,1291.76,782.82,1516.15
PULP_BLEA_0289,3.16,2825.77,1072.39,715.44,3043.49
PULP_BLEA_0290,3.0,4233.36,635.0,738.92,1728.59
PULP_BLEA_0291,4.01,4071.23,1176.03,225.55,3263.37
PULP_BLEA_0292,3.78,2751.07,676.72,479.29,2584.73
PULP_BLEA_0293,3.75,3181.35,1032.68,358.37,2258.44
PULP_BLEA_0294,4.47,2439.52,733.41,512.12,2918.66
PULP_BLEA_0295,2.81,4358.48,848.5,618.65,2662.91
PULP_BLEA_0296,3.28,2242.49,587.14,748.32,3035.91
PULP_BLEA_0297,2.66,3712.98,642.09,214.54,2151.59
PULP_BLEA_0298,4.42,3913.55,1377.08,715.43,2216.85
PULP_BLEA_0299,3.48,2261.79,1162.93,368.18,3462.93
PULP_BLEA_0300,3.83,4453.99,1000.99,606.28,3194.68
PULP_BLEA_0301,3.99,2549.79,1109.91,408.43,1556.71
PULP_BLEA_0302,2.58,2633.03,713.81,437.51,3092.14
PULP_BLEA_0303,3.22,2707.48,590.17,613.54,3127.72
PULP_BLEA_0304,2.93,4121.92,1269.31,369.85,1878.52
PULP_BLEA_0305,3.28,4114.85,1118.42,553.48,3116.54
PULP_BLEA_0306,4.22,3784.84,1369.3,457.09,1637.25
PULP_BLEA_0307,3.03,3494.62,636.72,337.14,1753.54
PULP_BLEA_0308,3.18,2837.45,1234.63,428.96,2417.69
PULP_BLEA_0309,2.65,4353.81,1157.66,329.37,2970.51
PULP_BLEA_0310,3.06,2910.82,1465.15,373.52,3452.72
PULP_BLEA_0311,3.39,3454.02,563.79,693.16,2855.44
PULP_BLEA_0312,4.05,2023.04,586.17,746.44,3493.19
PULP_BLEA_0313,2.83,3610.93,1397.75,621.44,2646.98
PULP_BLEA_0314,4.42,3689.3,694.22,258.65,2400.67
PULP_BLEA_0315,3.9,2546.5,955.03,772.6,2807.07
PULP_BLEA_0316,3.72,3784.85,929.61,688.95,2547.0
PULP_BLEA_0317,3.23,3298.21,1273.9,309.35,2984.89
PULP_BLEA_0318,3.07,2850.48,1157.13,742.28,2199.67
PULP_BLEA_0319,3.95,2738.47,980.0,589.81,2670.96
PULP_BLEA_0320,4.27,3465.69,1350.43,247.94,2698.61
PULP_BLEA_0321,3.95,3011.43,535.03,666.42,2950.19
PULP_BLEA_0322,4.44,2962.16,1301.93,644.14,2024.21
PULP_BLEA_0323,3.59,2614.78,587.94,756.33,2372.97
PULP_BLEA_0324,2.64,2597.78,537.7,608.61,2187.56
PULP_BLEA_0325,3.54,4208.68,680.12,648.71,3320.95
PULP_BLEA_0326,3.24,3177.09,529.46,770.07,3412.0
PULP_BLEA_0327,2.91,3001.62,798.35,464.44,3151.03
PULP_BLEA_0328,4.09,4150.24,1132.94,621.82,3013.27
PULP_BLEA_0329,3.13,2670.89,1483.86,666.5,3208.33
PULP_BLEA_0330,2.7,2626.24,545.92,648.2,2067.05
PULP_BLEA_0331,4.45,2438.39,1072.27,446.42,2212.76
PULP_BLEA_0332,3.26,2808.97,834.04,404.49,2320.72
PULP_BLEA_0333,3.03,4223.37,610.09,425.29,3379.07
PULP_BLEA_0334,2.84,2589.11,558.07,743.55,1599.77
PULP_BLEA_0335,3.94,4322.46,1240.59,202.99,2658.9
PULP_BLEA_0336,4.31,2686.1,539.89,714.29,2235.81
PULP_BLEA_0337,4.19,2343.84,640.64,655.17,1731.13
PULP_BLEA_0338,4.14,2847.99,558.1,341.76,2678.01
PULP_BLEA_0339,4.0,3151.7,1323.06,453.5,2310.62
PULP_BLEA_0340,4.43,3259.51,968.6,551.81,1512.59
PULP_BLEA_0341,4.46,2976.36,635.6,272.76,2564.36
PULP_BLEA_0342,3.39,2263.83,1152.88,679.68,2124.44
PULP_BLEA_0343,3.53,3086.94,1286.16,273.54,3497.75
PULP_BLEA_0344,3.22,3627.61,773.58,787.07,3233.65
PULP_BLEA_0345,4.09,4134.05,771.74,689.34,1842.31
PULP_BLEA_0346,4.43,2186.22,1377.89,480.01,1673.01
PULP_BLEA_0347,3.04,2629.72,686.7,703.64,1718.28
PULP_BLEA_0348,2.58,2765.76,1472.38,371.41,3465.57
PULP_BLEA_0349,4.43,3717.15,1361.94,766.91,3234.5
PULP_BLEA_0350,3.08,2128.72,1461.35,603.21,1793.25
PULP_BLEA_0351,3.41,2475.57,781.89,493.94,1620.67
PULP_BLEA_0352,4.36,4068.68,1164.38,765.34,1895.11
PULP_BLEA_0353,2.71,4310.88,1094.79,683.39,2833.66
PULP_BLEA_0354,3.79,4280.21,1272.12,321.66,2979.33
PULP_BLEA_0355,3.21,4147.22,990.13,703.13,1648.23
PULP_BLEA_0356,3.64,3472.93,650.51,587.75,2857.27
PULP_BLEA_0357,4.41,2086.2,933.16,373.2,2896.19
PULP_BLEA_0358,3.78,2298.09,904.24,697.34,1542.71
PULP_BLEA_0359,2.61,3374.05,1029.24,757.83,3159.72
PULP_BLEA_0360,3.03,2733.34,891.97,569.44,2299.16
PULP_BLEA_0361,3.65,2129.69,1467.62,729.3,2224.2
PULP_BLEA_0362,3.46,3114.22,507.67,649.02,1784.05
PULP_BLEA_0363,4.41,3833.07,579.92,699.75,2723.7
PULP_BLEA_0364,2.81,3101.5,773.54,794.77,2913.82
PULP_BLEA_0365,4.38,3405.98,1062.57,664.7,2115.07
PULP_BLEA_0366,2.77,2278.93,1129.44,422.08,1691.86
PULP_BLEA_0367,3.23,2220.88,1099.79,468.52,1826.46
PULP_BLEA_0368,3.27,3906.31,1414.08,576.87,3361.53
PULP_BLEA_0369,3.36,3656.86,1140.16,320.6,1892.18
PULP_BLEA_0370,4.47,3576.12,703.45,296.03,2865.62
PULP_BLEA_0371,2.64,4392.23,1202.08,383.86,2319.05
PULP_BLEA_0372,4.06,4328.95,724.78,761.07,2024.83
PULP_BLEA_0373,3.59,2670.56,1028.55,501.96,2983.27
PULP_BLEA_0374,3.33,2504.58,1386.5,274.69,3435.03
PULP_BLEA_0375,4.04,3003.7,1258.28,580.75,3204.96
PULP_BLEA_0376,3.22,2655.14,727.09,278.6,2815.51
PULP_BLEA_0377,3.48,2697.26,610.1,481.16,1899.96
PULP_BLEA_0378,3.21,2823.95,859.69,623.29,3024.91
PULP_BLEA_0379,4.24,4282.9,1152.39,644.03,1761.36
PULP_BLEA_0380,4.2,4397.65,1240.39,323.09,2772.45
PULP_BLEA_0381,3.18,2906.44,821.02,282.66,3371.52
PULP_BLEA_0382,4.13,3904.24,1263.78,382.0,1905.79
PULP_BLEA_0383,2.85,4129.14,752.14,602.19,3316.32
PULP_BLEA_0384,2.96,3003.35,1099.85,502.41,3068.5
PULP_BLEA_0385,3.62,4353.74,530.18,298.92,1779.24
PULP_BLEA_0386,2.69,2253.83,1402.55,572.15,3013.42
PULP_BLEA_0387,4.49,2306.32,974.19,734.19,1782.72
PULP_BLEA_0388,2.71,4388.14,1403.56,531.16,1836.9
PULP_BLEA_0389,2.61,2400.78,1388.34,641.97,1794.86
PULP_BLEA_0390,4.44,3488.83,1482.92,661.64,1783.98
PULP_BLEA_0391,3.19,2479.98,1155.31,793.22,2190.0
PULP_BLEA_0392,4.29,4350.86,824.56,381.56,2501.33
PULP_BLEA_0393,3.26,4147.91,983.7,762.1,1574.27
PULP_BLEA_0394,2.74,2528.7,1449.73,297.71,1769.46
PULP_BLEA_0395,2.5,2896.01,836.22,613.38,1577.5
PULP_BLEA_0396,3.86,3138.84,780.24,677.64,2850.45
PULP_BLEA_0397,2.67,2312.04,815.93,732.78,2282.42
PULP_BLEA_0398,4.22,2303.53,1241.36,251.45,2075.52
PULP_BLEA_0399,3.48,3249.26,720.04,395.41,3061.41
PULP_BLEA_0400,3.23,2606.1,791.76,278.98,2586.01
PULP_BLEA_0401,3.69,2706.55,564.15,519.44,2257.88
PULP_BLEA_0402,2.99,3711.51,571.97,411.14,3473.81
PULP_BLEA_0403,3.28,3308.73,1074.56,544.88,3162.62
