Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Chromium (mg/L),Sulfides (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
VEGE_0061,5.11,1518.02,3786.71,1755.85,6973.26,1.07,56.91,65.34,7393.88,27.4,Critical
VEGE_0062,4.99,1660.99,4074.6,2177.7,4724.7,0.2,46.35,34.28,6436.56,37.61,Critical
VEGE_0063,6.47,2960.12,5142.51,1708.02,5538.64,1.47,74.92,80.51,6121.0,28.53,Critical
VEGE_0064,5.8,2524.86,5513.4,1119.26,7070.17,1.58,38.32,34.16,7455.38,29.71,Critical
VEGE_0065,6.21,2267.27,6085.84,1233.55,6666.04,1.78,38.71,42.45,6437.67,35.99,Critical
VEGE_0066,5.34,1992.65,4785.94,1851.73,8367.02,1.19,10.51,17.63,10741.44,38.66,Critical
VEGE_0067,4.97,1802.73,5158.06,2324.31,5216.57,1.73,24.86,11.95,6674.81,34.29,Critical
VEGE_0068,5.7,1855.94,6110.57,1762.58,5739.78,1.67,19.93,98.73,7014.5,36.89,Critical
VEGE_0069,4.82,1994.97,5512.0,1085.0,8770.31,0.82,56.85,52.8,10597.21,35.86,Critical
VEGE_0070,6.21,2435.73,3024.07,1399.81,4701.99,0.31,32.93,97.73,4768.49,38.48,Critical
VEGE_0071,5.87,2439.48,5104.44,1928.92,9029.3,1.47,47.85,39.75,8737.52,38.37,Critical
VEGE_0072,4.98,2023.36,4952.98,1487.2,6265.66,1.4,39.71,89.91,8555.01,34.31,Critical
VEGE_0073,4.99,1367.82,3187.55,2163.55,8542.69,1.97,59.69,33.06,11204.82,26.22,Critical
VEGE_0074,5.98,2198.07,6312.04,1597.04,4201.95,1.82,55.49,98.03,5130.14,33.22,Critical
VEGE_0075,4.93,1368.32,5746.37,1802.47,8227.53,1.33,10.07,74.67,10347.38,37.91,Critical
VEGE_0076,4.63,2307.74,5505.6,2097.39,4581.05,0.91,39.34,42.3,5321.83,27.53,Critical
VEGE_0077,5.0,2943.33,3106.2,1322.69,6062.7,0.66,75.4,61.49,6825.97,31.84,Critical
VEGE_0078,5.48,1371.96,4870.82,2227.77,6851.27,0.4,29.79,11.94,8671.27,32.37,Critical
VEGE_0079,4.83,5553.67,17376.75,2051.95,6231.95,1.38,74.34,84.88,7119.33,30.7,Critical
VEGE_0080,6.16,2917.04,6125.98,1236.38,8876.93,0.44,21.86,49.93,8511.72,41.39,Critical
VEGE_0081,5.41,1362.25,4460.14,1291.32,5970.9,1.75,11.92,67.41,6316.84,31.66,Critical
VEGE_0082,6.15,2806.37,5997.71,2069.81,7977.26,0.61,77.65,61.54,9000.25,34.68,Critical
VEGE_0083,6.0,1398.72,4021.77,2037.73,4276.5,1.72,52.53,93.94,4723.05,37.94,Critical
VEGE_0084,5.47,2898.87,6518.85,1249.85,5628.91,0.5,39.59,15.72,5256.95,36.45,Critical
VEGE_0085,5.24,2779.03,5245.72,2253.58,4305.75,1.36,12.45,89.32,4635.52,35.14,Critical
VEGE_0086,6.17,2524.76,5974.5,1013.43,7518.74,1.81,45.2,59.63,6947.35,27.15,Critical
VEGE_0087,5.5,1756.85,3310.8,1200.6,4549.01,1.26,42.09,77.43,5373.79,28.01,Critical
VEGE_0088,6.39,2362.78,4912.1,1644.16,8709.73,0.22,67.82,64.77,8315.72,36.32,Critical
VEGE_0089,6.28,1994.18,6043.08,2158.01,7808.42,1.27,33.5,29.78,8431.38,35.86,Critical
VEGE_0090,5.89,1218.45,4253.12,1935.29,7227.37,1.73,75.75,72.21,9079.0,31.63,Critical
VEGE_0091,4.61,2733.15,3445.87,1148.47,9712.48,1.71,37.12,61.08,10817.93,36.36,Critical
VEGE_0092,5.22,1816.55,4889.41,1758.81,5084.27,0.51,26.15,47.79,6953.3,30.09,Critical
VEGE_0093,6.14,2522.59,14897.08,2816.43,5522.05,3.68,46.05,40.97,6511.35,41.96,Critical
VEGE_0094,5.91,1281.56,3979.94,1088.92,8105.13,0.32,79.01,80.65,9838.3,29.5,Critical
VEGE_0095,4.67,1994.34,6392.67,2104.37,7061.36,1.31,70.79,27.25,7022.61,41.31,Critical
VEGE_0096,5.62,2970.73,5708.4,2458.7,4605.24,0.44,47.15,60.24,5534.46,41.89,Critical
VEGE_0097,5.64,2791.39,6926.6,2425.89,4427.32,0.44,14.25,68.71,5072.49,29.68,Critical
VEGE_0098,4.54,2103.33,5476.95,2251.12,9617.9,1.38,39.29,25.13,12082.72,30.57,Critical
VEGE_0099,4.97,1869.57,6291.61,1864.7,7905.5,0.69,15.0,44.97,9603.03,36.51,Critical
VEGE_0100,5.85,1794.87,6457.02,2218.42,5959.47,0.34,38.87,74.7,6969.47,34.32,Critical
VEGE_0101,6.01,1529.17,5249.59,2299.91,7114.92,0.56,65.29,74.83,8683.27,28.38,Critical
VEGE_0102,6.12,2777.54,20410.03,4515.26,7712.25,4.48,52.16,74.9,10166.16,29.31,Critical
VEGE_0103,6.45,1408.2,5813.56,1904.29,7261.06,1.22,18.85,43.38,6707.99,30.42,Critical
VEGE_0104,5.32,2041.59,4073.6,2364.5,4160.55,0.88,12.0,60.78,3887.54,40.42,Critical
VEGE_0105,6.48,2942.23,3213.34,1426.62,8496.61,1.15,55.15,93.48,9566.6,28.45,Critical
VEGE_0106,5.44,2632.4,3095.28,2395.23,7406.96,1.29,39.62,23.13,9700.04,36.82,Critical
VEGE_0107,4.63,1769.32,3003.02,2277.36,8002.34,1.52,40.33,74.62,11069.28,41.67,Critical
VEGE_0108,5.8,1782.4,3398.94,2343.53,4652.35,0.36,33.61,92.5,4855.8,30.07,Critical
VEGE_0109,4.77,1407.46,3803.13,1031.51,5881.71,0.94,15.55,96.0,7285.16,38.35,Critical
VEGE_0110,4.83,1721.11,5325.37,1748.01,8574.63,1.8,29.06,32.73,9566.31,37.78,Critical
VEGE_0111,5.17,2915.31,3411.35,1386.38,5436.61,1.36,45.09,90.27,5913.32,30.82,Critical
VEGE_0112,4.81,1818.38,5410.09,1272.57,7158.24,1.51,29.62,21.53,9552.83,41.75,Critical
VEGE_0113,6.33,1645.63,6957.16,2205.39,7223.0,1.39,64.06,10.03,8652.27,39.31,Critical
VEGE_0114,4.64,2449.71,6306.87,1604.64,8388.59,1.39,15.51,74.32,9011.38,37.33,Critical
VEGE_0115,5.76,1350.08,3552.91,1875.72,4557.71,0.84,69.51,91.37,4255.68,41.6,Critical
VEGE_0116,5.5,2223.84,5147.91,2174.58,5453.11,1.74,73.17,18.54,6703.04,35.18,Critical
VEGE_0117,5.11,2762.92,6774.11,2261.11,8582.12,0.74,31.86,26.76,11724.69,38.46,Critical
VEGE_0118,6.38,1232.32,5853.38,2252.88,6733.88,0.42,71.61,59.32,6522.69,33.8,Critical
VEGE_0119,4.52,2436.26,5276.6,1913.84,4674.98,1.76,55.04,18.21,5008.04,36.19,Critical
VEGE_0120,6.49,1664.65,3768.43,2202.08,6393.83,0.28,78.82,82.3,5953.62,31.35,Critical
VEGE_0121,6.39,1649.61,4659.12,1412.67,4891.98,0.12,16.66,41.84,6592.26,30.27,Critical
VEGE_0122,5.17,2607.89,6714.27,1238.98,4039.94,1.19,24.63,98.77,5523.53,26.23,Critical
VEGE_0123,5.31,2712.55,3551.16,2143.1,7283.9,0.53,51.7,37.55,6896.55,33.5,Critical
VEGE_0124,4.93,1982.57,4895.8,1198.14,9090.33,0.21,23.8,91.27,8237.38,28.52,Critical
VEGE_0125,5.43,2328.55,4291.63,1888.12,4960.3,1.31,33.79,66.62,5978.77,38.13,Critical
VEGE_0126,5.45,1938.57,3256.59,1103.17,5178.16,0.8,12.37,98.28,6929.38,41.76,Critical
VEGE_0127,5.88,2233.95,5181.83,1789.36,6652.99,0.91,70.9,49.94,7577.28,40.74,Critical
VEGE_0128,6.24,2641.59,5088.36,1808.52,4549.39,1.18,48.26,42.91,5980.57,33.62,Critical
VEGE_0129,5.16,2723.21,5169.25,1783.08,7142.38,0.44,74.31,61.83,8008.68,36.76,Critical
VEGE_0130,5.3,2136.04,5924.94,2339.21,5381.79,1.7,46.99,80.16,5893.55,30.02,Critical
VEGE_0131,6.07,2530.57,4731.5,1052.21,5927.54,0.97,17.86,54.01,6335.34,28.2,Critical
VEGE_0132,5.03,1742.51,4162.79,1919.69,5515.63,0.55,62.6,77.57,5089.16,29.42,Critical
VEGE_0133,5.43,2454.66,3326.48,1672.6,8080.99,0.91,77.37,37.26,10593.96,26.78,Critical
VEGE_0134,5.65,1421.41,5738.77,2437.7,8536.91,0.87,35.71,85.56,10098.05,36.2,Critical
VEGE_0135,4.62,1352.64,3245.91,1240.23,5334.04,1.11,67.73,77.88,5635.92,41.3,Critical
VEGE_0136,6.47,2214.42,6577.72,2000.27,7249.61,0.39,62.6,11.62,9639.5,29.67,Critical
VEGE_0137,5.58,1708.48,6702.49,1995.43,6751.26,1.15,59.08,99.15,9324.36,28.77,Critical
VEGE_0138,4.73,2409.05,5081.41,2184.55,9996.18,0.17,20.78,80.36,9245.8,40.83,Critical
VEGE_0139,6.39,2966.71,5524.97,1215.71,5383.24,1.27,79.78,98.59,7384.82,26.28,Critical
VEGE_0140,5.42,2984.24,3336.72,2138.75,9957.7,0.29,22.47,44.43,9543.47,26.4,Critical
VEGE_0141,6.29,1243.06,6240.02,1271.13,4801.64,1.94,48.25,71.08,5723.38,31.81,Critical
VEGE_0142,4.58,2540.04,6236.65,1882.42,7431.58,1.26,45.46,98.81,10383.87,41.95,Critical
VEGE_0143,5.98,2911.26,4518.11,2274.27,9286.74,0.97,60.81,12.07,9860.15,39.16,Critical
VEGE_0144,4.99,2520.33,6302.47,1344.49,7301.83,1.24,72.83,17.58,7503.32,34.59,Critical
VEGE_0145,5.84,1313.12,3595.93,2314.44,4718.7,0.41,27.37,91.01,5256.85,30.65,Critical
VEGE_0146,4.51,2487.57,3324.29,1645.02,8480.96,0.22,22.5,70.16,7928.39,30.93,Critical
VEGE_0147,5.43,1777.54,6524.99,1694.22,7559.67,1.89,72.22,31.88,7942.0,34.48,Critical
VEGE_0148,5.34,2016.01,4785.83,1780.72,9913.58,0.64,16.28,83.43,11608.29,36.17,Critical
VEGE_0149,6.36,1978.03,4132.64,1359.73,4866.27,1.6,14.71,47.15,6588.54,27.09,Critical
VEGE_0150,5.59,1259.19,5114.09,2207.02,8763.43,0.46,34.04,19.64,12034.74,28.74,Critical
VEGE_0151,5.42,2281.26,3779.92,2286.26,5689.7,0.3,20.79,19.39,6359.1,32.1,Critical
VEGE_0152,5.19,2834.76,4543.85,1627.15,5597.18,0.3,78.08,76.84,7369.14,33.57,Critical
VEGE_0153,5.4,1306.39,4176.79,1773.17,5602.65,1.67,19.63,83.37,6576.53,40.27,Critical
VEGE_0154,5.95,2739.8,3583.13,1566.87,6740.4,1.01,20.05,68.7,9400.96,27.99,Critical
VEGE_0155,5.57,2698.0,5636.51,2108.41,4181.93,1.16,29.75,91.82,4544.17,30.18,Critical
VEGE_0156,6.44,1862.07,4384.59,1365.61,9516.72,0.2,30.24,75.38,11885.15,31.67,Critical
VEGE_0157,4.8,2271.76,4208.61,2354.21,4252.6,0.96,68.78,44.5,5023.36,34.46,Critical
VEGE_0158,5.89,1757.08,6813.51,1962.56,8958.46,0.59,61.16,41.83,8299.74,39.19,Critical
VEGE_0159,5.26,1512.63,3644.59,1723.54,8268.66,1.27,20.47,72.39,9758.04,33.42,Critical
VEGE_0160,5.53,2170.97,5789.54,2141.06,5017.33,1.88,56.84,19.4,6214.14,26.77,Critical
VEGE_0161,5.43,2356.79,3925.34,1544.87,4427.11,1.29,40.74,34.65,5895.24,28.52,Critical
VEGE_0162,4.66,1933.42,6295.54,2316.52,4044.13,0.33,47.59,19.69,4131.51,38.66,Critical
VEGE_0163,4.92,1559.85,4215.25,1880.52,5282.12,1.02,24.89,10.54,5753.67,41.28,Critical
VEGE_0164,5.11,2581.65,4130.16,2198.68,5175.47,0.6,37.12,12.63,5534.7,28.73,Critical
VEGE_0165,5.55,2828.39,5445.06,2153.5,7419.03,1.97,47.12,94.84,9863.16,37.74,Critical
VEGE_0166,5.82,1994.12,3993.59,1943.72,6145.08,1.38,29.48,70.24,7132.91,28.71,Critical
VEGE_0167,5.54,2661.68,3742.45,1553.86,7820.45,1.64,36.08,15.04,9619.82,36.16,Critical
VEGE_0168,6.07,1270.31,4768.05,2442.25,5222.09,0.51,46.66,77.06,6591.31,34.66,Critical
VEGE_0169,6.5,2620.58,5208.26,1669.75,5783.5,0.79,34.47,43.67,7289.74,38.99,Critical
VEGE_0170,6.37,1242.94,4166.47,2056.59,8411.73,1.77,24.14,12.16,11183.3,32.9,Critical
VEGE_0171,4.7,2739.6,4539.85,1694.51,9339.67,1.9,58.38,78.99,9438.59,27.13,Critical
VEGE_0172,5.52,1251.94,3096.27,1622.43,7793.79,1.93,34.36,13.23,8516.48,30.18,Critical
VEGE_0173,5.35,1306.54,6728.27,1836.35,4425.57,0.82,59.7,81.43,5974.6,39.75,Critical
VEGE_0174,4.7,2019.62,4513.48,2153.7,9426.61,1.98,20.58,70.95,9821.79,40.23,Critical
VEGE_0175,5.02,2764.92,4979.3,2117.7,4196.55,0.69,75.16,68.07,4753.59,38.05,Critical
VEGE_0176,5.47,1351.6,3665.91,2411.06,6385.2,0.82,45.93,72.83,5948.67,34.31,Critical
VEGE_0177,5.69,1844.12,3538.55,1860.13,5043.97,0.57,64.83,62.12,5968.93,29.13,Critical
VEGE_0178,4.64,2572.98,3705.85,1556.34,8051.74,0.88,42.71,31.69,7430.3,32.37,Critical
VEGE_0179,5.97,2647.16,5625.63,1898.81,7806.52,1.65,40.39,36.14,10104.7,39.07,Critical
VEGE_0180,5.25,1561.39,4349.44,2346.54,9902.55,0.44,68.24,85.87,12975.77,27.17,Critical
VEGE_0181,6.36,1952.66,4711.35,1052.54,5012.25,0.99,41.19,37.0,4751.8,40.76,Critical
VEGE_0182,5.62,1958.99,5441.72,2363.8,5270.88,1.16,47.1,61.82,7275.39,33.0,Critical
VEGE_0183,5.29,1562.99,3543.44,2381.84,5023.83,1.15,76.59,24.32,4528.81,27.9,Critical
VEGE_0184,5.15,1670.47,6204.02,1623.74,8935.75,1.68,39.89,33.67,10557.36,29.15,Critical
VEGE_0185,6.28,1319.09,6226.36,1579.27,4486.98,0.9,44.32,86.81,4824.25,32.37,Critical
VEGE_0186,6.41,1870.99,3250.68,1863.11,4636.33,1.04,17.08,99.87,4978.57,32.86,Critical
VEGE_0187,6.29,1752.69,3960.49,1116.45,7501.27,1.2,53.17,15.43,8440.17,35.41,Critical
VEGE_0188,5.31,1729.71,6058.29,1627.85,8788.69,0.23,11.26,26.35,9111.33,30.87,Critical
VEGE_0189,5.49,2171.73,6293.26,2261.37,7327.26,1.82,50.08,18.82,8150.69,41.36,Critical
VEGE_0190,6.2,1993.56,5768.43,1351.94,9382.01,1.34,70.85,37.76,9040.33,38.04,Critical
VEGE_0191,5.37,2013.11,3349.28,1650.53,4918.07,0.65,14.97,17.14,4972.55,27.44,Critical
VEGE_0192,5.05,2530.07,3573.0,2359.57,5111.16,1.3,15.88,23.79,5907.68,32.8,Critical
VEGE_0193,5.91,1780.84,6940.84,1041.63,4409.21,1.68,31.01,21.24,5293.93,30.26,Critical
VEGE_0194,5.91,2802.99,3937.24,1950.21,4580.19,1.21,37.19,81.23,5857.27,38.99,Critical
VEGE_0195,5.2,1769.39,6430.88,1748.82,9403.7,1.08,16.22,20.37,8981.33,29.71,Critical
VEGE_0196,5.95,2596.87,5861.3,1389.47,9125.07,0.24,29.9,67.75,10242.67,41.14,Critical
VEGE_0197,6.42,2515.61,3584.64,2321.67,7501.56,1.14,33.75,70.88,8506.23,32.27,Critical
VEGE_0198,5.7,2465.33,3167.13,1072.95,7204.46,0.31,25.74,86.47,6962.31,27.86,Critical
VEGE_0199,4.99,2164.64,4920.71,1501.25,4967.14,1.4,65.88,39.03,6254.29,30.25,Critical
VEGE_0200,5.35,2733.35,3817.45,1661.36,5235.64,1.59,28.13,46.08,6343.89,38.82,Critical
VEGE_0201,5.7,1218.63,6710.66,1422.33,8753.54,0.65,16.69,31.48,11197.94,29.41,Critical
VEGE_0202,5.92,1282.95,3454.76,1143.93,8652.29,0.15,79.06,35.67,8868.04,37.82,Critical
VEGE_0203,5.54,5199.23,8398.46,4766.93,4687.72,3.6,78.85,72.74,5222.46,30.75,Critical
VEGE_0204,5.41,1529.19,6226.3,1138.56,8748.5,1.95,71.8,88.39,11751.8,34.58,Critical
VEGE_0205,4.6,5603.24,11449.35,3094.91,8922.28,1.12,56.03,62.5,10952.39,41.18,Critical
VEGE_0206,4.58,1882.91,5724.58,1024.57,5203.55,1.52,23.87,69.36,5446.1,30.13,Critical
VEGE_0207,5.7,1436.14,4266.09,2223.1,6763.91,1.07,41.81,33.99,6124.47,28.82,Critical
VEGE_0208,5.96,2055.31,6430.09,1944.7,8834.93,1.31,14.21,66.98,8031.41,35.83,Critical
VEGE_0209,5.45,1220.04,5646.44,1906.59,7427.1,1.14,73.4,79.91,9350.5,41.3,Critical
VEGE_0210,4.9,2550.48,3030.74,2243.91,6203.16,0.64,47.22,33.33,8194.86,29.95,Critical
VEGE_0211,4.91,1262.3,3236.92,2426.43,5975.32,1.46,33.08,95.49,5738.32,31.57,Critical
VEGE_0212,6.06,1222.01,4190.81,2346.04,9734.23,1.72,72.42,85.75,12025.71,41.22,Critical
VEGE_0213,5.99,2014.22,4230.77,1897.99,5445.62,1.34,65.05,82.57,4987.24,29.21,Critical
VEGE_0214,5.66,1242.92,5088.11,2250.75,9245.04,0.22,61.46,61.54,9548.34,30.44,Critical
VEGE_0215,4.76,2720.63,6193.75,2441.95,5519.39,1.45,75.83,66.58,5641.69,40.96,Critical
VEGE_0216,6.0,2637.33,5155.13,1365.45,5998.51,0.78,60.01,83.13,6615.38,36.04,Critical
VEGE_0217,5.45,1230.78,6610.27,2448.85,6655.19,0.96,62.1,39.97,7217.85,26.84,Critical
VEGE_0218,4.9,1465.27,6672.87,1137.01,5371.92,0.45,36.39,32.87,6239.86,36.1,Critical
VEGE_0219,5.04,1274.52,6907.23,2023.67,4665.14,1.95,38.23,90.67,5839.09,27.33,Critical
VEGE_0220,5.71,2000.35,3493.87,1009.07,9909.77,0.65,64.53,36.18,12479.75,29.1,Critical
VEGE_0221,4.72,2526.84,4142.87,2191.11,7354.93,0.74,15.49,33.38,6793.27,36.39,Critical
VEGE_0222,4.98,1518.81,4374.82,1746.17,9452.34,1.37,67.27,36.6,9490.36,37.9,Critical
VEGE_0223,5.37,2453.11,3072.53,2267.61,5599.27,1.09,64.41,21.11,7202.65,40.44,Critical
VEGE_0224,5.51,2127.53,5834.23,2302.23,7004.84,0.23,49.53,89.68,7126.78,26.83,Critical
VEGE_0225,6.2,2516.23,3825.93,1047.63,8908.64,0.14,38.43,71.86,11907.07,36.09,Critical
VEGE_0226,5.19,1782.22,3751.55,1501.84,4541.54,1.97,62.6,75.17,4517.39,28.48,Critical
VEGE_0227,5.82,2259.75,6084.77,2393.37,7378.81,1.39,53.88,74.15,9659.11,37.38,Critical
VEGE_0228,5.69,2292.58,5484.24,2056.88,8897.27,0.19,42.51,37.86,9252.42,31.82,Critical
VEGE_0229,4.53,2143.04,5756.8,1384.87,7392.01,0.19,42.01,69.34,8944.22,31.96,Critical
VEGE_0230,5.71,1459.72,5485.28,1315.21,7659.63,0.67,56.35,35.71,9459.09,29.77,Critical
VEGE_0231,4.67,1938.71,6828.69,2200.2,5246.93,1.6,17.32,26.45,5142.11,41.77,Critical
VEGE_0232,6.42,2234.53,5246.64,1649.81,9462.84,0.28,35.06,64.58,12813.12,38.18,Critical
VEGE_0233,5.31,2666.17,5313.25,1808.75,4918.73,0.39,15.41,49.15,5674.07,29.92,Critical
VEGE_0234,6.34,1380.97,5649.16,1912.82,6760.38,1.76,61.71,40.44,6966.34,38.84,Critical
VEGE_0235,4.76,2549.35,3847.95,1390.75,9201.37,1.42,42.7,11.79,8956.12,30.94,Critical
VEGE_0236,5.23,2025.63,3291.9,1146.45,4433.83,0.38,76.22,21.15,4308.95,28.35,Critical
VEGE_0237,5.96,1799.85,5868.17,1665.82,4249.77,1.38,17.5,52.74,4652.1,34.32,Critical
VEGE_0238,5.49,2485.53,5302.79,1209.01,9850.5,0.76,67.81,25.96,9020.52,40.88,Critical
VEGE_0239,6.24,2957.75,3318.91,2111.61,6148.74,1.43,14.39,90.0,7131.44,33.96,Critical
VEGE_0240,4.8,2904.76,3100.87,1486.94,6408.19,1.55,40.43,20.83,8715.06,33.78,Critical
VEGE_0241,4.96,1618.28,4171.29,1490.12,5370.41,1.19,26.44,53.38,5932.62,34.67,Critical
VEGE_0242,4.6,1810.76,6695.05,2278.09,8171.0,0.77,46.41,25.37,10362.93,32.67,Critical
