Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Chromium (mg/L),Sulfides (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
CHRO_0097,3.79,2420.69,8549.16,3009.42,19670.56,175.21,31.94,61.51,25124.85,37.69,Critical
CHRO_0098,5.47,2354.11,4320.43,3164.26,20584.37,132.38,77.02,56.13,21897.69,41.09,Critical
CHRO_0099,4.65,2320.41,7654.44,2691.35,17911.8,183.84,106.22,41.7,21946.62,40.99,Critical
CHRO_0100,5.08,4443.39,15072.87,8512.76,23834.26,250.12,53.99,81.64,31794.43,34.84,Critical
CHRO_0101,3.9,2170.22,8040.05,2944.54,18207.2,54.88,97.99,136.3,20777.88,41.24,Critical
CHRO_0102,4.37,1916.73,4196.38,3294.92,16140.32,175.37,95.02,51.68,16965.89,27.39,Critical
CHRO_0103,4.8,3137.28,6403.55,3040.66,12907.58,193.92,51.79,115.96,15193.86,35.26,Critical
CHRO_0104,5.44,3421.93,5306.73,3093.76,12641.67,156.0,79.87,139.83,15735.28,33.74,Critical
CHRO_0105,3.73,1828.12,5272.25,3543.53,24030.22,172.91,102.38,60.96,29312.28,35.06,Critical
CHRO_0106,4.98,2835.8,4098.06,3035.06,10997.06,138.5,52.95,117.85,13384.07,34.83,Critical
CHRO_0107,5.07,2467.2,8455.02,3597.35,10865.43,181.08,82.07,145.45,13753.76,38.61,Critical
CHRO_0108,4.35,3429.71,7519.66,2548.2,11034.98,196.02,108.18,102.75,12976.6,35.75,Critical
CHRO_0109,5.19,3348.03,5455.81,2259.57,10731.38,198.26,116.53,122.21,12037.21,35.12,Critical
CHRO_0110,4.94,1943.14,5092.74,2904.5,20166.24,111.99,50.17,70.57,24071.56,26.95,Critical
CHRO_0111,5.44,3443.07,8215.0,2415.52,20014.83,135.74,60.88,134.53,23545.27,26.6,Critical
CHRO_0112,3.75,2987.45,8272.06,3030.31,19870.34,161.12,62.32,38.01,20804.15,33.86,Critical
CHRO_0113,4.77,2239.25,5182.27,2553.03,22091.98,132.79,67.68,55.33,22781.33,29.88,Critical
CHRO_0114,4.48,1745.95,8035.74,2700.36,24407.18,63.76,87.7,69.03,33940.4,36.08,Critical
CHRO_0115,4.72,3193.01,9099.33,7387.96,14976.75,510.5,93.21,32.43,14396.05,28.0,Critical
CHRO_0116,3.34,6001.26,17600.49,3179.03,16320.69,111.6,23.58,25.71,19024.56,34.37,Critical
CHRO_0117,3.0,1739.96,6047.41,2663.8,12864.34,161.03,74.35,110.54,13636.05,35.16,Critical
CHRO_0118,3.5,2252.96,6889.86,2198.3,13387.01,112.05,82.61,119.81,17228.08,28.96,Critical
CHRO_0119,3.16,2729.39,8749.54,3813.4,21537.04,60.09,42.91,92.58,22092.54,36.41,Critical
CHRO_0120,5.07,2080.95,8502.72,2573.09,16566.8,139.59,100.72,113.11,19350.01,39.36,Critical
CHRO_0121,5.36,3361.57,5519.02,2463.38,21588.35,145.49,89.47,122.89,27042.47,30.42,Critical
CHRO_0122,4.41,2180.35,5496.31,2276.92,15981.35,96.1,48.73,103.66,20532.06,34.91,Critical
CHRO_0123,4.65,1931.52,7441.66,3981.25,15273.04,55.55,49.15,49.19,18123.74,41.13,Critical
CHRO_0124,3.14,3162.22,5807.07,2379.54,15592.9,129.49,35.26,139.41,17024.07,37.49,Critical
CHRO_0125,5.45,2718.7,8158.49,2044.13,11621.38,90.49,54.21,35.0,13381.53,38.25,Critical
CHRO_0126,3.55,2221.21,4184.22,2661.35,24184.35,49.68,31.42,36.59,28194.94,31.84,Critical
CHRO_0127,4.82,3160.4,4319.99,3937.44,18180.85,146.35,109.7,56.87,20522.76,40.67,Critical
CHRO_0128,3.8,5737.63,20972.24,6926.26,11365.85,289.54,44.7,83.25,14574.45,37.69,Critical
CHRO_0129,4.22,2743.35,4699.76,3828.4,19314.43,84.42,77.83,107.98,25714.87,34.21,Critical
CHRO_0130,4.72,2117.11,5935.94,1692.7,19791.86,138.2,26.21,71.97,18764.91,35.02,Critical
CHRO_0131,3.88,3041.78,6090.23,3985.64,20645.0,66.54,31.98,114.31,21974.44,27.17,Critical
CHRO_0132,4.44,1705.85,5246.3,2673.04,21642.19,95.51,50.17,44.51,23544.34,26.6,Critical
CHRO_0133,3.92,2037.38,4570.34,1915.84,23948.18,86.04,90.15,139.08,23029.68,35.55,Critical
CHRO_0134,5.27,3397.64,6141.45,2506.73,24524.93,151.81,106.7,120.64,30272.46,32.42,Critical
CHRO_0135,4.0,2875.04,8155.59,1668.71,23083.24,115.74,74.26,121.38,30396.32,29.58,Critical
CHRO_0136,5.0,1575.89,7568.75,2908.32,20807.55,171.18,116.39,80.93,24123.6,31.57,Critical
CHRO_0137,3.7,2677.32,5817.58,2559.33,11566.55,39.01,111.34,43.37,15207.21,37.44,Critical
CHRO_0138,4.1,1923.23,4254.21,3678.94,20111.24,53.12,26.55,139.57,20918.96,30.18,Critical
CHRO_0139,4.55,2543.63,5292.84,2024.19,23484.59,73.08,27.11,101.2,31256.56,26.7,Critical
CHRO_0140,3.4,1939.15,7468.21,2216.89,23005.77,62.47,77.68,26.98,29714.06,41.86,Critical
CHRO_0141,4.69,2754.03,5397.6,3338.84,17418.86,57.34,91.64,93.2,23717.42,33.29,Critical
CHRO_0142,5.31,3097.6,4852.38,2942.75,21048.71,26.33,31.27,137.77,23286.9,41.04,Critical
CHRO_0143,3.7,6870.3,9975.25,10347.29,21097.1,146.8,95.06,118.38,19132.79,35.95,Critical
CHRO_0144,4.69,3471.27,4734.78,2647.26,16308.38,53.79,60.62,49.12,14833.58,33.03,Critical
CHRO_0145,3.92,2522.85,6182.7,3802.84,13879.71,177.34,33.77,78.96,13108.42,36.22,Critical
CHRO_0146,5.23,6846.46,14436.92,6853.15,16630.97,358.39,117.69,106.3,21791.25,39.95,Critical
CHRO_0147,5.34,2691.31,5732.29,3668.55,16599.11,170.83,73.44,39.93,16873.42,38.48,Critical
CHRO_0148,5.43,3383.47,6501.34,1964.89,11147.44,100.0,22.24,136.24,13609.52,37.7,Critical
CHRO_0149,3.75,2815.66,4506.16,2165.39,22734.06,86.92,38.82,49.16,27826.57,35.36,Critical
CHRO_0150,3.26,3234.9,8516.41,1845.85,15223.37,149.48,64.59,66.45,20933.56,31.11,Critical
CHRO_0151,5.02,2227.44,6548.81,3900.1,19562.43,79.82,47.27,84.27,23644.36,35.22,Critical
CHRO_0152,3.32,2336.72,7367.22,3087.36,15352.4,118.83,35.13,34.82,15352.75,30.6,Critical
CHRO_0153,4.88,2692.54,4021.63,2840.63,15635.49,85.13,99.93,85.12,15401.87,29.53,Critical
CHRO_0154,3.78,2177.79,5998.41,3696.65,15020.4,123.27,20.35,43.26,19282.57,32.98,Critical
CHRO_0155,3.8,2088.47,6330.27,1507.93,14708.21,191.2,33.99,21.3,13257.62,37.41,Critical
CHRO_0156,4.42,3489.79,5659.45,1883.1,18154.81,53.65,89.86,42.56,19519.01,34.6,Critical
CHRO_0157,4.84,3080.4,5751.87,2768.37,18537.75,80.63,92.59,33.18,21417.21,32.99,Critical
CHRO_0158,3.57,1978.01,5835.11,3643.74,11907.31,137.81,63.67,104.75,12372.1,39.31,Critical
CHRO_0159,3.26,3084.49,4656.32,1982.44,11776.64,169.42,94.46,27.8,15941.61,41.32,Critical
CHRO_0160,5.37,1857.94,7269.91,1849.1,15446.28,195.31,84.54,115.02,21437.8,28.75,Critical
CHRO_0161,4.44,1633.09,6272.35,3687.57,10303.03,113.33,104.28,60.5,14023.74,36.35,Critical
CHRO_0162,3.14,2807.83,5931.81,1877.55,23907.42,195.94,97.27,130.04,33364.45,26.46,Critical
CHRO_0163,3.28,3363.91,6936.15,2556.38,12318.67,26.33,96.47,23.52,13777.71,26.86,Critical
CHRO_0164,4.86,2562.18,5261.65,2111.93,18784.32,42.05,83.51,142.0,21251.61,37.26,Critical
CHRO_0165,3.69,2553.03,6622.37,2471.19,12933.12,134.81,115.34,78.7,12377.11,31.66,Critical
CHRO_0166,4.71,2486.45,5534.99,3638.73,19243.36,179.24,117.32,98.98,19193.19,35.27,Critical
CHRO_0167,3.29,3069.55,4490.44,2698.13,20772.23,186.26,109.59,28.87,28959.09,33.16,Critical
CHRO_0168,3.52,3454.61,8327.25,3101.76,19173.19,92.73,22.57,95.82,21788.48,40.53,Critical
CHRO_0169,4.33,2992.43,8810.88,1734.63,17733.8,180.75,108.86,60.84,21491.38,36.44,Critical
CHRO_0170,4.99,2958.57,7540.96,3267.75,15696.25,122.43,98.87,52.59,16860.02,34.89,Critical
CHRO_0171,3.61,4057.28,21916.18,3854.95,13598.33,184.47,93.04,31.75,13904.89,37.53,Critical
CHRO_0172,5.12,2523.86,6865.79,2671.7,21345.63,90.09,84.68,97.9,21885.92,38.53,Critical
CHRO_0173,4.22,2405.64,6893.23,3649.99,14454.88,79.19,57.25,44.54,18613.77,33.56,Critical
CHRO_0174,3.24,2891.36,4640.48,3191.66,15784.0,130.54,43.35,100.11,14941.63,41.4,Critical
CHRO_0175,5.15,2027.84,5487.08,3811.71,13406.86,113.1,78.96,52.83,15957.83,36.76,Critical
CHRO_0176,5.18,2688.26,8502.17,2907.97,19583.66,192.46,101.8,147.04,23100.36,29.96,Critical
CHRO_0177,5.2,2853.84,8764.84,2318.05,21111.78,96.01,37.8,47.53,21658.97,34.11,Critical
CHRO_0178,4.93,3371.91,4521.24,3538.42,14659.8,91.45,75.81,115.52,14504.89,31.17,Critical
CHRO_0179,4.11,2639.13,8112.72,2759.14,13006.88,75.96,84.58,55.1,13129.29,30.66,Critical
CHRO_0180,4.07,2108.76,7691.56,3516.01,10633.39,102.72,47.26,70.73,10563.61,27.07,Critical
CHRO_0181,4.6,3424.59,7674.47,3948.57,24479.36,83.66,93.83,125.81,27777.54,31.14,Critical
CHRO_0182,5.33,1595.8,5985.43,3943.25,11979.34,28.37,54.12,30.24,14300.46,35.87,Critical
CHRO_0183,5.04,3491.19,4147.53,2989.9,22425.58,142.71,35.34,99.95,22273.17,40.71,Critical
CHRO_0184,5.43,6641.88,11300.25,4704.19,21722.4,558.44,55.57,103.74,21935.89,40.79,Critical
CHRO_0185,4.91,3421.11,6099.14,2002.18,11945.83,34.16,66.11,34.09,15684.23,33.78,Critical
CHRO_0186,5.06,2802.66,8604.84,3604.06,14162.07,146.43,109.79,87.79,18000.54,26.77,Critical
CHRO_0187,4.57,2971.59,6786.85,2197.77,24087.54,102.78,75.55,28.11,31494.65,32.76,Critical
CHRO_0188,3.83,3330.49,5277.73,1853.63,17072.78,153.82,24.18,113.58,19768.83,36.83,Critical
CHRO_0189,4.71,2128.1,4882.38,1551.42,10340.03,176.68,70.89,62.4,14021.99,40.83,Critical
CHRO_0190,4.34,2601.84,7167.05,3245.06,15017.93,153.35,21.96,125.18,18591.2,39.92,Critical
CHRO_0191,4.55,2698.96,5158.52,2541.34,21746.55,111.48,94.22,147.47,24513.76,29.32,Critical
CHRO_0192,4.11,2173.49,5058.24,3973.49,16781.08,196.5,90.96,69.62,15105.47,32.31,Critical
CHRO_0193,3.78,2417.45,6850.69,3069.41,11982.52,131.45,74.42,36.46,12011.45,34.5,Critical
CHRO_0194,4.65,1838.78,7316.51,2283.54,22443.24,89.92,101.39,50.49,28484.62,34.55,Critical
CHRO_0195,4.61,2408.86,8928.02,3237.49,15830.39,153.35,93.51,35.93,16079.77,37.38,Critical
CHRO_0196,3.92,2313.27,6481.59,3446.45,16972.05,70.01,87.94,132.37,19700.35,37.21,Critical
CHRO_0197,5.09,1815.67,6997.31,3325.46,11874.77,101.91,37.75,80.22,10734.89,37.84,Critical
CHRO_0198,5.05,3156.12,8035.96,1638.74,14365.67,63.11,67.86,139.55,14270.16,38.6,Critical
CHRO_0199,3.89,1718.66,5785.08,2019.65,13048.44,197.67,49.91,123.94,11789.71,27.05,Critical
CHRO_0200,4.53,2869.03,7219.13,3679.06,13391.01,77.91,76.29,39.25,15544.93,35.75,Critical
CHRO_0201,4.18,3062.96,8087.74,2174.54,13987.78,38.58,118.89,43.3,13482.41,34.54,Critical
CHRO_0202,5.03,1679.97,5331.11,3825.3,17665.1,51.19,41.98,117.18,19941.77,35.23,Critical
CHRO_0203,4.78,1870.12,8148.37,1600.57,12287.67,182.11,30.5,88.28,12482.82,36.63,Critical
CHRO_0204,5.23,3195.85,7766.11,3140.5,24472.09,52.77,82.67,140.53,24527.77,30.7,Critical
CHRO_0205,4.92,3023.25,7245.55,1674.47,17020.29,139.74,100.48,129.85,21223.13,35.2,Critical
CHRO_0206,3.86,2969.45,5761.59,2787.69,10370.9,46.86,50.97,80.38,12287.88,29.22,Critical
CHRO_0207,4.32,2774.35,6235.27,2856.07,14962.15,65.2,97.58,58.4,13600.05,38.01,Critical
CHRO_0208,3.75,2046.25,5902.06,2656.66,22070.58,48.69,73.28,21.26,20549.67,36.45,Critical
CHRO_0209,5.32,1621.02,5353.55,1723.51,10666.03,126.5,108.11,35.7,12728.28,28.81,Critical
CHRO_0210,4.02,2083.51,4824.08,2333.4,20735.41,51.79,61.47,97.16,28637.89,29.67,Critical
CHRO_0211,4.47,1562.92,5251.73,2786.19,17556.9,199.79,39.43,102.13,16356.8,40.09,Critical
CHRO_0212,3.22,2448.6,7697.52,2850.48,14454.65,172.42,98.34,136.6,17255.38,33.14,Critical
CHRO_0213,5.03,2867.14,5272.83,2356.07,18805.29,27.52,32.57,76.78,19301.73,39.0,Critical
CHRO_0214,4.15,3094.83,5446.51,1670.32,24389.65,80.19,82.8,74.66,30968.74,36.21,Critical
CHRO_0215,4.51,1870.44,7473.78,3060.21,16193.32,79.32,103.71,42.48,20104.93,31.29,Critical
CHRO_0216,3.92,2363.45,8507.06,1541.93,10793.02,137.52,24.3,110.39,13051.87,37.97,Critical
CHRO_0217,3.01,2188.45,5715.18,1530.01,12760.64,105.73,37.78,44.22,15371.81,30.59,Critical
CHRO_0218,3.91,2231.58,5190.92,2324.38,13346.72,96.09,41.15,36.19,17170.86,40.21,Critical
CHRO_0219,5.25,1970.69,8010.29,2599.84,13818.04,52.52,26.77,85.05,16797.75,38.32,Critical
CHRO_0220,4.88,3157.8,5141.82,3442.14,12719.87,136.66,105.07,20.33,17751.47,26.5,Critical
CHRO_0221,4.61,1782.39,8990.11,1722.52,24748.07,93.56,38.23,53.15,29454.29,26.37,Critical
CHRO_0222,5.2,2189.92,5240.14,2624.25,12243.82,181.31,119.21,70.27,11391.22,41.85,Critical
CHRO_0223,5.05,2735.87,8241.53,3219.35,19745.16,41.8,102.94,135.65,24446.45,26.48,Critical
CHRO_0224,4.15,3415.3,8454.68,3642.23,17949.27,49.39,60.01,120.95,23598.34,41.12,Critical
CHRO_0225,4.22,2815.49,4743.03,3068.79,18229.08,89.16,30.16,29.55,20448.95,34.19,Critical
CHRO_0226,3.22,2040.73,7626.53,3462.3,20830.41,70.38,116.78,62.6,27582.4,36.96,Critical
CHRO_0227,4.03,2166.32,7040.4,2077.24,16813.95,126.71,94.21,48.79,15702.79,28.99,Critical
CHRO_0228,4.59,3107.21,5093.47,2902.41,15844.87,24.84,29.1,24.1,18098.3,37.73,Critical
CHRO_0229,3.15,2053.05,4168.8,1981.35,19281.66,98.71,44.78,55.73,18574.17,36.2,Critical
CHRO_0230,4.94,2661.54,6014.9,1940.62,20908.54,37.94,43.78,111.32,19225.12,34.55,Critical
CHRO_0231,3.34,2739.82,8651.76,2556.32,10998.3,25.5,113.94,80.9,14882.78,32.59,Critical
CHRO_0232,3.77,2050.1,6550.37,3370.74,19046.55,131.88,34.52,97.23,19205.49,38.58,Critical
CHRO_0233,3.48,2099.5,4462.12,3762.07,13477.29,36.73,46.28,71.18,13387.73,33.54,Critical
CHRO_0234,5.46,3426.46,4830.12,3331.22,13485.78,191.95,61.7,69.32,18759.38,34.29,Critical
CHRO_0235,3.42,2656.76,7655.86,3248.87,21133.4,156.59,114.12,96.86,24656.62,38.78,Critical
CHRO_0236,3.21,2233.59,7105.88,2522.85,20927.02,117.88,94.01,121.96,24144.77,37.83,Critical
CHRO_0237,3.43,2245.3,7859.9,1543.45,13808.22,79.73,106.1,35.31,13993.67,33.35,Critical
CHRO_0238,4.06,2371.42,5743.21,1714.46,16756.18,79.65,92.0,147.03,20283.21,36.19,Critical
CHRO_0239,3.13,2769.93,6217.58,1801.07,23611.92,102.49,114.54,118.65,28316.21,41.31,Critical
CHRO_0240,3.23,2450.02,6640.82,2490.9,21904.46,71.23,45.96,30.49,27903.42,31.6,Critical
CHRO_0241,3.37,2566.39,8688.32,3921.31,13783.96,94.83,39.17,84.28,16404.22,33.04,Critical
CHRO_0242,4.24,2828.52,5824.88,3496.08,21781.23,54.09,63.64,141.19,21026.41,26.59,Critical
