Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Chromium (mg/L),Sulfides (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
BEAM_0034,11.2,3903.91,6916.9,4030.58,11363.4,1.7,452.91,255.58,14258.93,41.35,Critical
BEAM_0035,11.35,2735.1,5821.79,4505.27,9452.64,0.55,341.17,141.05,11175.72,29.06,Critical
BEAM_0036,11.85,2646.52,6946.17,6708.8,13597.38,1.74,317.2,223.5,18438.95,35.29,Critical
BEAM_0037,10.97,4240.09,10444.38,4002.01,16205.74,2.38,411.91,109.37,17280.02,41.26,Critical
BEAM_0038,11.82,4318.63,9818.62,4021.52,12706.89,4.06,370.01,51.51,11991.54,31.55,Critical
BEAM_0039,12.39,3473.57,6891.23,4802.12,10106.53,2.16,187.21,261.44,11401.53,30.48,Critical
BEAM_0040,12.37,2943.05,11368.0,3217.09,15071.15,2.47,277.69,59.08,13870.61,31.32,Critical
BEAM_0041,12.39,3852.98,7582.12,6059.89,10061.32,0.91,244.73,265.84,11617.81,30.75,Critical
BEAM_0042,12.4,4447.9,7260.82,7860.49,17873.51,2.1,362.37,151.41,18386.02,27.32,Critical
BEAM_0043,11.03,2814.44,7790.47,3924.43,17538.18,0.6,350.08,160.42,19498.23,31.95,Critical
BEAM_0044,12.24,2841.43,5144.03,7590.49,16644.8,1.46,309.4,77.27,15757.86,39.4,Critical
BEAM_0045,11.32,3985.15,11602.4,4225.65,8131.6,0.22,383.75,281.14,9218.51,32.0,Critical
BEAM_0046,11.59,4576.75,9565.08,4164.9,15745.8,0.76,166.22,203.17,16051.14,37.28,Critical
BEAM_0047,11.2,2832.27,11992.43,3203.08,14458.23,0.29,404.08,107.52,13661.81,36.38,Critical
BEAM_0048,11.97,6588.95,17726.35,13284.45,12510.88,2.27,424.21,82.78,15089.24,41.81,Critical
BEAM_0049,12.27,4758.42,7908.52,6723.08,10128.31,2.02,440.62,81.9,13642.15,33.94,Critical
BEAM_0050,11.35,2916.94,11417.94,5588.12,16040.26,4.3,468.95,125.85,17161.56,35.52,Critical
BEAM_0051,11.38,4798.53,7782.95,5388.89,14171.86,2.08,496.99,74.71,14317.85,31.16,Critical
BEAM_0052,10.8,2852.66,10454.72,5614.46,8339.54,4.91,346.4,64.73,10262.51,32.05,Critical
BEAM_0053,10.77,3690.99,10089.56,6355.63,10475.13,2.67,315.07,229.2,11312.45,38.76,Critical
BEAM_0054,11.76,2114.99,8825.35,7309.56,13675.74,0.96,304.15,239.24,13061.05,39.07,Critical
BEAM_0055,10.83,3602.23,7700.2,4243.12,14474.33,0.28,404.02,181.74,19365.0,34.33,Critical
BEAM_0056,10.57,2430.8,10569.23,5459.88,12418.79,1.66,213.82,291.47,13865.39,40.14,Critical
BEAM_0057,11.8,4575.28,10967.15,7781.56,14979.42,4.05,393.25,201.31,18854.25,37.45,Critical
BEAM_0058,10.58,3548.33,10548.56,4214.81,12651.48,2.23,261.11,80.46,14711.85,33.14,Critical
BEAM_0059,11.83,3648.24,5192.8,3159.59,15013.6,3.57,483.98,269.18,17025.87,36.01,Critical
BEAM_0060,11.41,2668.84,7636.74,3519.42,14665.27,1.04,290.19,291.86,13430.96,28.43,Critical
BEAM_0061,11.1,4825.42,11361.89,3810.0,17811.18,3.78,315.99,282.93,23872.39,32.26,Critical
BEAM_0062,11.81,3942.16,7288.78,3896.95,12668.1,1.39,242.03,288.54,14322.16,36.96,Critical
BEAM_0063,11.17,4987.58,9611.37,3980.05,8981.84,4.72,477.91,205.33,8159.96,29.61,Critical
BEAM_0064,12.1,10563.54,15653.38,13109.21,10742.25,2.29,146.3,288.15,14011.26,28.64,Critical
BEAM_0065,10.83,4952.38,6594.61,5947.08,13876.16,4.84,363.07,196.23,16087.83,38.23,Critical
BEAM_0066,10.71,2006.28,11667.42,5493.29,11283.35,1.9,421.54,145.59,14500.06,33.05,Critical
BEAM_0067,12.19,2228.61,8367.9,5334.25,10643.28,4.72,462.01,160.9,10096.0,29.31,Critical
BEAM_0068,11.04,3452.66,7368.64,6870.68,12760.27,4.36,498.31,104.96,15386.79,39.56,Critical
BEAM_0069,12.39,2870.26,10089.3,3075.08,16791.42,0.41,393.36,298.65,19320.12,29.35,Critical
BEAM_0070,11.69,3872.45,9676.51,3863.06,16987.13,3.14,117.43,221.01,16953.87,26.44,Critical
BEAM_0071,11.6,4439.94,11019.59,3517.6,14630.43,3.58,217.81,292.84,15206.05,27.12,Critical
BEAM_0072,11.54,4082.94,6712.62,4692.91,13636.28,4.44,398.93,102.4,13989.3,34.38,Critical
BEAM_0073,12.04,3856.29,8509.27,5985.63,15560.6,2.73,459.1,286.77,21126.27,38.07,Critical
BEAM_0074,10.99,3155.81,6960.0,6288.3,11242.22,3.8,145.4,243.84,13411.42,39.37,Critical
BEAM_0075,11.36,3874.89,8880.88,7878.36,15554.74,2.77,169.61,276.03,15600.14,36.4,Critical
BEAM_0076,12.37,2670.74,6581.46,7259.09,16276.55,1.82,206.04,81.85,22688.99,39.37,Critical
BEAM_0077,12.3,3541.04,5800.69,3262.9,11305.82,4.61,479.03,260.29,11072.24,32.72,Critical
BEAM_0078,10.99,2616.05,9793.78,5430.56,11249.1,0.59,317.91,136.76,12323.93,30.97,Critical
BEAM_0079,11.27,3667.58,5099.01,7238.23,17219.2,2.8,207.21,297.56,18796.43,37.1,Critical
BEAM_0080,11.88,5266.4,10657.04,23228.8,8636.91,9.05,188.29,123.49,11351.18,31.88,Critical
BEAM_0081,11.04,4026.23,5568.39,6617.33,12164.37,4.6,224.61,285.37,14008.78,31.58,Critical
BEAM_0082,11.79,2749.24,6608.35,3981.73,17599.0,2.52,400.65,168.5,21009.16,35.35,Critical
BEAM_0083,12.46,4005.3,6678.39,3075.99,10186.82,2.33,257.37,253.08,13169.3,27.43,Critical
BEAM_0084,12.4,3582.37,9174.83,5025.28,14495.01,4.37,369.57,292.52,18126.9,39.15,Critical
BEAM_0085,10.59,4018.1,9583.27,3508.73,16423.87,3.11,139.33,198.62,18710.2,29.73,Critical
BEAM_0086,10.54,3096.7,9338.96,4646.4,11072.55,3.78,403.45,229.69,10525.47,34.26,Critical
BEAM_0087,11.62,4234.41,11322.24,4845.19,12286.63,3.69,365.05,189.47,13208.99,29.13,Critical
BEAM_0088,10.87,2244.75,5568.41,7228.99,11836.73,0.4,458.57,105.82,12239.92,29.11,Critical
BEAM_0089,12.44,2337.62,10055.14,7660.44,14680.01,4.31,196.98,218.48,18356.41,33.33,Critical
BEAM_0090,12.24,4083.16,11264.14,6766.02,13202.9,2.54,281.49,55.41,15415.32,32.77,Critical
BEAM_0091,10.82,2357.21,8145.46,3199.57,17865.8,1.95,252.84,62.78,19890.64,26.25,Critical
BEAM_0092,10.56,3017.3,10746.78,5294.11,8148.41,0.9,395.97,234.57,10407.65,31.63,Critical
BEAM_0093,11.2,8133.22,27161.02,13443.19,13811.23,4.02,132.0,79.03,18573.06,33.24,Critical
BEAM_0094,11.19,3912.07,5089.16,6816.34,12164.15,2.22,292.45,162.3,13973.39,31.53,Critical
BEAM_0095,11.41,3213.95,8627.7,6116.35,10410.41,2.59,337.85,54.24,12078.65,29.83,Critical
BEAM_0096,11.31,4479.59,7283.65,5416.08,8247.41,1.61,355.89,128.79,8271.32,30.65,Critical
BEAM_0097,12.41,2260.41,8243.5,3291.93,13386.58,0.82,353.63,116.1,16672.42,31.55,Critical
BEAM_0098,10.51,2884.68,5573.26,5475.2,10888.9,3.24,299.97,59.01,11534.8,33.82,Critical
BEAM_0099,11.64,2314.61,9549.8,4718.49,9829.21,4.05,127.45,282.44,12317.31,33.61,Critical
BEAM_0100,10.52,3170.38,9520.59,7294.57,14177.64,2.05,278.94,268.32,15250.58,27.04,Critical
BEAM_0101,11.39,4995.38,7658.41,3965.27,8451.3,0.94,229.63,193.57,10418.71,26.69,Critical
BEAM_0102,12.37,2706.92,6043.43,5654.15,14775.86,1.61,367.78,123.57,19963.45,40.09,Critical
BEAM_0103,10.64,2451.21,9886.41,3000.6,16218.14,1.85,397.85,61.06,16293.27,27.13,Critical
BEAM_0104,10.86,3153.26,8440.86,7580.46,14271.74,3.56,132.84,121.7,19921.44,34.97,Critical
BEAM_0105,12.08,2097.45,5588.53,3546.17,8152.86,4.62,201.45,299.14,10346.51,30.01,Critical
BEAM_0106,12.48,4605.6,6154.99,3926.61,14801.86,0.48,333.81,66.65,14959.48,41.18,Critical
BEAM_0107,11.5,3721.14,6887.78,5200.31,9330.02,2.63,121.58,62.06,11567.58,26.88,Critical
BEAM_0108,11.54,2798.08,6313.86,5866.59,10964.63,2.34,155.59,81.62,10452.19,27.14,Critical
BEAM_0109,11.61,4268.02,10546.57,7789.22,9683.92,0.76,287.98,265.25,12429.65,34.93,Critical
BEAM_0110,10.81,3173.79,10035.42,4867.06,8391.19,2.96,388.05,228.69,8243.78,31.38,Critical
BEAM_0111,11.32,3261.44,5799.11,4927.66,13066.32,3.58,327.78,151.23,17819.83,35.57,Critical
BEAM_0112,12.45,4602.13,9715.38,7496.57,17912.4,1.18,376.42,279.69,16277.0,38.79,Critical
BEAM_0113,10.68,4749.66,9284.09,3810.35,8394.1,4.16,155.8,284.89,7936.06,39.41,Critical
BEAM_0114,11.35,4618.21,10380.02,7264.41,12702.42,3.6,227.47,61.79,12908.2,26.02,Critical
BEAM_0115,11.23,3481.49,5135.85,3038.65,14864.64,0.59,129.54,173.9,18715.77,41.63,Critical
BEAM_0116,11.09,2352.55,5479.76,4037.55,9000.55,0.12,214.03,91.05,8182.62,31.67,Critical
BEAM_0117,12.15,2910.98,9970.7,6643.67,8255.56,4.81,155.6,229.37,8996.26,39.89,Critical
BEAM_0118,12.49,2579.97,10736.19,5527.51,17654.31,3.32,337.3,107.38,22232.96,30.61,Critical
BEAM_0119,12.19,4931.79,5054.55,7773.17,11584.6,2.49,469.63,243.99,11834.96,27.55,Critical
BEAM_0120,12.18,4241.18,11008.38,4920.21,12921.14,2.38,225.89,133.92,16271.91,38.05,Critical
BEAM_0121,12.23,4534.71,10277.56,4663.89,15100.46,4.87,466.5,292.87,13863.79,35.79,Critical
BEAM_0122,10.93,2739.68,10908.43,6750.96,11288.02,2.65,175.33,50.96,15238.59,37.35,Critical
BEAM_0123,11.56,2162.3,7945.88,4900.21,9715.47,0.87,169.27,199.21,9349.7,29.82,Critical
BEAM_0124,12.39,2658.39,10347.0,5990.2,12131.57,3.02,153.45,171.05,16815.17,32.84,Critical
BEAM_0125,10.99,4782.52,9275.42,6639.29,13434.05,0.15,402.28,294.67,16901.3,38.94,Critical
BEAM_0126,12.2,4997.6,7020.29,5246.92,13428.26,0.85,292.39,119.25,17704.71,31.55,Critical
BEAM_0127,10.66,2030.26,11023.8,7294.23,17340.89,0.46,257.9,157.05,23071.05,30.18,Critical
BEAM_0128,11.1,4198.18,6260.37,6176.87,15422.09,0.98,188.78,224.95,20006.34,41.25,Critical
BEAM_0129,11.12,3645.9,6027.69,5184.48,10611.21,1.81,421.35,250.81,13287.92,27.98,Critical
BEAM_0130,11.07,4817.89,8167.68,6109.22,8183.09,2.64,375.66,64.72,7836.47,31.89,Critical
BEAM_0131,12.39,2746.39,5151.22,7046.39,16492.48,2.73,457.22,94.76,17108.22,26.33,Critical
BEAM_0132,11.67,4662.17,9244.81,3401.43,14932.24,3.41,166.7,257.25,20251.03,32.27,Critical
BEAM_0133,11.12,3724.02,11807.62,6624.82,15900.63,3.87,482.8,254.05,16443.75,29.7,Critical
BEAM_0134,10.98,2638.8,6457.84,7672.51,17516.62,0.54,125.63,264.26,20702.38,29.39,Critical
BEAM_0135,11.42,2221.24,11875.52,3699.76,16065.53,4.8,384.4,72.14,19198.19,28.07,Critical
BEAM_0136,12.23,4018.48,11594.39,3729.43,12536.84,2.76,143.34,219.23,14833.81,31.57,Critical
BEAM_0137,11.33,4388.69,7494.89,7863.17,17181.85,0.48,440.97,218.44,15938.91,41.29,Critical
BEAM_0138,12.17,10940.58,23344.8,12331.47,10190.8,16.47,119.17,270.36,11498.85,39.3,Critical
BEAM_0139,12.33,4451.75,9168.23,6539.65,11458.2,2.41,158.95,174.98,14797.24,34.93,Critical
BEAM_0140,10.77,4488.66,10165.91,3186.77,16048.82,4.34,304.95,144.65,15113.81,39.25,Critical
BEAM_0141,10.51,3030.46,7294.15,7560.06,12492.91,4.45,135.72,261.52,15068.81,34.61,Critical
BEAM_0142,11.11,3471.11,6914.18,5279.09,15688.17,3.16,372.21,273.05,14534.61,29.18,Critical
BEAM_0143,11.95,3224.71,9551.49,7488.83,15360.03,4.67,160.78,239.16,19220.21,26.12,Critical
BEAM_0144,10.59,2101.31,8693.32,6882.55,12053.58,0.12,169.96,287.13,12322.75,39.65,Critical
BEAM_0145,11.24,3563.89,8428.13,3672.4,11661.63,5.0,325.65,166.31,13697.42,30.21,Critical
BEAM_0146,11.63,4184.96,5739.79,4392.25,10089.22,3.75,474.27,156.17,12274.78,26.5,Critical
BEAM_0147,10.76,3153.35,9650.74,6201.64,9921.56,0.75,475.23,138.84,11213.51,27.53,Critical
BEAM_0148,12.32,4004.06,8569.8,5156.33,8514.66,1.15,442.43,205.55,8488.58,29.03,Critical
BEAM_0149,11.2,3845.89,8796.91,5635.17,16689.31,4.32,438.08,225.61,18295.24,30.31,Critical
BEAM_0150,12.41,2135.85,9328.68,7230.62,10719.13,4.9,454.37,99.83,11095.96,40.36,Critical
BEAM_0151,10.72,2565.43,9259.85,3735.07,13725.45,2.92,338.54,112.68,17987.76,41.53,Critical
BEAM_0152,11.06,4596.48,7051.36,4744.64,15854.43,0.77,124.72,146.66,15297.01,27.27,Critical
BEAM_0153,11.68,2551.92,7106.31,6645.44,8929.96,4.97,223.5,186.41,11572.56,29.79,Critical
BEAM_0154,11.18,2618.81,7650.05,6674.68,15144.27,0.99,290.77,222.05,19219.21,36.18,Critical
BEAM_0155,10.89,4604.24,7019.13,4849.61,13584.98,4.31,359.86,225.42,13696.16,31.64,Critical
BEAM_0156,10.77,4210.71,11641.3,6674.34,9246.79,3.5,273.29,73.03,12943.07,37.59,Critical
BEAM_0157,11.74,4619.29,7277.39,6334.23,12682.8,0.71,316.43,207.98,14415.59,28.0,Critical
BEAM_0158,10.65,3994.52,10865.36,7620.47,11881.86,4.7,427.92,156.01,13107.59,31.34,Critical
BEAM_0159,10.64,2029.18,6718.49,4273.09,15296.61,0.87,376.97,232.58,17283.01,27.88,Critical
BEAM_0160,11.94,4740.94,7563.26,6793.7,15419.19,0.36,122.28,219.15,20283.23,40.73,Critical
BEAM_0161,10.78,3750.17,6974.37,4113.5,15383.89,2.12,275.08,261.1,15681.45,34.45,Critical
BEAM_0162,12.16,2395.67,9173.28,7185.95,15644.66,4.43,113.03,222.86,15675.45,34.91,Critical
BEAM_0163,12.05,3260.57,9929.43,7202.05,17457.19,2.77,226.44,147.51,23266.92,29.85,Critical
BEAM_0164,12.27,2173.51,11799.28,3595.54,16833.89,2.75,324.53,295.16,23158.06,38.78,Critical
BEAM_0165,11.8,4033.1,5934.28,5337.03,12291.66,0.6,104.53,54.07,15594.84,33.16,Critical
BEAM_0166,11.48,2760.67,8785.87,3636.04,9635.5,4.11,110.97,279.0,10301.25,40.91,Critical
BEAM_0167,10.63,2938.1,9152.18,7689.02,8900.04,4.07,345.21,210.0,12425.83,31.14,Critical
BEAM_0168,11.22,3607.56,9375.59,4558.73,15063.24,0.5,177.92,53.31,19202.77,41.17,Critical
BEAM_0169,12.04,2518.61,6987.01,6355.89,11094.47,2.09,202.32,183.56,14808.21,29.84,Critical
BEAM_0170,11.56,3995.01,5046.03,4264.86,13672.67,4.14,191.18,274.71,17942.41,32.31,Critical
BEAM_0171,12.13,4547.75,6971.62,3575.76,9009.19,4.42,297.76,217.86,9865.32,38.48,Critical
BEAM_0172,12.15,4677.61,9492.39,7460.6,16668.53,1.43,335.42,115.54,20317.43,40.35,Critical
BEAM_0173,11.47,4473.68,5119.73,7335.72,17442.03,1.64,383.86,254.81,16781.57,32.63,Critical
BEAM_0174,10.91,4239.68,7841.4,3000.68,10626.34,1.1,129.91,182.7,11353.95,29.5,Critical
BEAM_0175,12.37,2971.33,5893.92,5615.89,16923.36,3.91,159.28,124.75,17237.87,40.84,Critical
BEAM_0176,11.06,2508.15,8185.82,6058.91,9585.12,0.22,137.91,212.74,9409.94,30.14,Critical
BEAM_0177,11.85,4614.09,11668.7,4917.91,10263.71,3.72,384.97,293.61,9739.69,40.05,Critical
BEAM_0178,10.85,4242.01,11967.98,4158.89,15421.8,3.89,212.38,280.31,14416.79,29.66,Critical
BEAM_0179,11.09,2270.16,6716.77,6935.82,10672.34,2.58,154.14,197.92,12864.81,29.49,Critical
BEAM_0180,10.65,4105.35,9434.05,5411.25,16954.23,4.89,392.96,290.57,16506.17,28.55,Critical
BEAM_0181,12.5,3129.62,8916.22,7723.66,14039.75,4.36,382.92,263.97,15937.2,41.19,Critical
BEAM_0182,10.75,4423.01,6647.05,6094.07,15762.62,3.53,275.84,282.59,15461.78,37.52,Critical
BEAM_0183,11.01,4063.89,6334.35,3238.91,15847.92,4.11,164.97,251.77,16862.52,35.14,Critical
BEAM_0184,11.7,4740.9,8991.61,7344.78,12215.2,3.3,176.59,228.05,16660.03,32.83,Critical
BEAM_0185,11.79,3632.89,5101.51,7538.91,16092.9,2.14,136.39,137.9,18713.16,29.91,Critical
BEAM_0186,12.17,2886.43,6434.53,3864.32,15262.7,2.78,378.39,122.59,16788.99,40.33,Critical
BEAM_0187,11.16,4708.85,11764.0,3097.67,12942.3,3.15,105.0,137.54,11829.54,35.86,Critical
BEAM_0188,11.43,2788.74,10443.13,5714.57,11324.27,4.68,490.33,95.6,15731.63,35.4,Critical
BEAM_0189,12.25,2874.49,5326.25,3062.93,12309.31,0.12,278.19,235.99,15191.75,37.71,Critical
BEAM_0190,11.69,4861.97,6680.72,7519.13,17817.29,0.12,272.46,219.02,21510.24,41.83,Critical
BEAM_0191,11.82,3852.34,11484.31,7510.57,16341.86,2.1,379.0,289.0,16667.77,33.81,Critical
BEAM_0192,12.02,3793.3,10486.24,4320.05,9308.25,2.41,365.93,199.39,11219.59,27.48,Critical
BEAM_0193,11.48,2607.4,9974.75,5792.1,14007.78,3.02,222.49,70.84,15500.23,30.76,Critical
BEAM_0194,11.64,2669.41,6565.91,4625.78,9733.24,2.07,429.61,263.0,9286.71,31.29,Critical
BEAM_0195,11.73,2680.85,11436.34,6533.17,10202.9,0.62,129.51,96.99,11200.48,38.01,Critical
BEAM_0196,10.78,2109.39,11241.9,4676.88,11303.62,2.67,267.93,123.81,14217.58,38.67,Critical
BEAM_0197,12.15,4310.09,9832.99,3965.06,15316.5,1.45,388.73,74.47,17024.41,32.29,Critical
BEAM_0198,10.57,4652.06,9735.36,6891.29,14657.21,1.78,302.72,82.19,14375.92,31.19,Critical
BEAM_0199,11.79,3798.78,10426.82,5660.79,14756.71,0.32,473.32,261.55,20191.71,28.78,Critical
BEAM_0200,10.79,3620.73,10871.03,6691.89,10586.26,2.43,194.14,191.06,12531.66,27.33,Critical
BEAM_0201,11.77,2291.09,5195.33,7275.65,10484.47,2.38,475.18,206.35,11389.31,39.63,Critical
BEAM_0202,10.93,3464.79,8960.17,5929.13,8175.1,1.95,305.96,164.46,10717.32,37.57,Critical
BEAM_0203,12.36,2671.34,6093.52,4016.1,14563.78,1.33,365.83,220.84,13699.61,37.84,Critical
BEAM_0204,11.13,2663.36,6811.68,7481.48,14051.07,3.28,186.85,139.99,18340.04,31.44,Critical
BEAM_0205,12.13,2599.95,10126.63,3584.05,16223.85,3.4,482.93,57.38,15671.08,26.44,Critical
BEAM_0206,10.53,4538.16,9419.98,6218.82,11761.28,0.36,272.47,89.34,16081.17,40.06,Critical
BEAM_0207,11.1,2051.98,5146.48,5644.19,16231.55,1.78,362.98,264.5,19771.84,26.1,Critical
BEAM_0208,11.6,2524.55,10600.45,5061.86,12392.0,1.59,191.82,89.99,13678.76,34.6,Critical
BEAM_0209,12.3,3205.84,7252.27,7090.87,14961.92,0.66,382.93,287.8,17185.33,33.85,Critical
BEAM_0210,11.95,2599.57,7569.03,4584.61,17958.83,0.89,169.58,165.23,18626.11,39.93,Critical
BEAM_0211,11.37,4054.69,10727.42,4360.23,15327.38,2.06,201.81,272.53,18124.89,33.94,Critical
BEAM_0212,10.86,4704.92,9464.89,7738.12,8443.27,0.67,450.94,162.94,9570.35,29.57,Critical
BEAM_0213,11.48,3315.57,10046.0,6177.42,15989.85,3.94,268.61,125.37,17003.55,41.84,Critical
BEAM_0214,11.32,4266.4,5579.19,5147.83,11288.72,0.89,109.55,112.99,14637.64,30.76,Critical
BEAM_0215,12.25,3736.54,10633.15,7996.81,14405.63,1.77,224.01,293.17,18111.96,34.04,Critical
BEAM_0216,10.93,3469.69,10334.98,7873.58,14728.1,0.22,286.07,256.92,17014.77,31.51,Critical
BEAM_0217,12.22,3732.78,8530.74,5431.44,14814.94,2.33,326.85,122.13,14606.53,39.12,Critical
BEAM_0218,11.14,2376.99,6289.83,5063.31,10854.27,3.51,239.96,196.46,10675.77,28.19,Critical
BEAM_0219,12.31,4593.76,11284.14,5467.15,8704.37,1.62,452.56,155.63,9256.52,30.73,Critical
BEAM_0220,11.6,3356.83,7624.23,5115.22,10666.65,1.04,180.74,59.59,14643.2,41.3,Critical
BEAM_0221,10.71,2221.44,7913.87,6819.72,16260.36,0.2,213.32,183.83,15732.68,41.52,Critical
BEAM_0222,11.0,3594.12,5767.58,4694.53,9231.11,4.57,479.94,185.33,9922.74,31.18,Critical
BEAM_0223,12.35,3858.01,7867.15,6857.74,13352.9,1.17,195.4,118.8,12124.48,30.09,Critical
BEAM_0224,11.72,4260.15,5794.01,7861.23,12887.5,0.4,475.99,117.92,13594.46,33.35,Critical
BEAM_0225,11.15,2533.03,5889.9,5548.43,8705.3,3.58,236.75,298.16,8108.35,26.78,Critical
BEAM_0226,11.0,3054.83,10692.73,7148.37,15235.86,4.15,391.34,268.25,17250.9,30.42,Critical
BEAM_0227,11.76,3093.71,5473.5,7279.18,16340.96,2.53,286.41,79.72,15735.51,38.76,Critical
BEAM_0228,12.21,2017.04,10487.31,5679.85,12373.51,2.43,385.22,50.6,11524.02,39.46,Critical
BEAM_0229,12.5,6637.76,26839.68,16988.99,14647.84,7.76,465.65,116.02,17043.31,28.25,Critical
BEAM_0230,12.1,2409.35,8494.61,7113.69,11471.7,0.35,237.63,245.49,10900.41,30.96,Critical
BEAM_0231,12.21,2485.81,7720.56,5770.93,9779.39,3.53,412.52,208.65,13015.43,28.09,Critical
BEAM_0232,10.51,2800.82,10880.25,3634.87,15638.42,4.65,324.31,270.76,16014.56,37.57,Critical
BEAM_0233,12.06,5985.45,23466.1,8212.7,10763.37,1.66,195.78,273.14,9853.04,33.95,Critical
BEAM_0234,10.89,3413.56,5163.58,3089.53,15348.86,0.94,487.39,139.55,19176.22,33.4,Critical
BEAM_0235,11.32,4003.81,9382.4,7384.32,8844.21,2.58,343.07,212.46,10725.73,31.89,Critical
BEAM_0236,10.56,4140.49,5306.88,5353.57,15191.23,1.44,111.12,73.18,14728.7,36.64,Critical
BEAM_0237,11.81,4935.19,7267.14,3656.85,9725.31,0.26,429.55,69.04,13098.34,26.77,Critical
BEAM_0238,12.13,2587.27,5161.58,6507.73,8026.5,1.56,122.84,80.34,7727.15,37.57,Critical
BEAM_0239,12.44,2733.76,7792.34,4871.95,10567.97,3.59,208.52,178.6,10196.77,39.57,Critical
BEAM_0240,11.87,3616.28,9298.6,4121.85,16440.56,0.7,452.46,203.29,22526.62,30.61,Critical
BEAM_0241,12.37,3914.92,5069.92,3514.46,13928.68,0.57,399.15,217.99,13840.52,36.19,Critical
BEAM_0242,11.63,2739.0,9952.94,4256.54,16647.28,2.04,298.11,215.33,22332.04,33.3,Critical
