Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Oil & Grease (mg/L),Ammonia (mg/L),Conductivity (uS/cm),Temperature (°C),Status
FRUI_0087,6.69,2882.6,2044.84,2260.35,2443.37,260.02,79.9,2605.25,32.51,Critical
FRUI_0088,5.85,1963.02,5945.01,1563.12,3027.49,48.74,77.01,3768.87,29.39,Critical
FRUI_0089,6.72,2690.15,3659.41,2198.15,3342.99,229.41,66.98,2929.35,39.81,Critical
FRUI_0090,6.27,1215.35,3367.61,1464.1,2670.59,139.86,23.31,3158.07,35.98,Critical
FRUI_0091,6.16,2645.94,2540.74,2239.8,2651.89,202.83,67.56,2714.5,30.3,Critical
FRUI_0092,7.42,1540.96,3848.13,2223.85,2310.3,23.37,51.87,2861.07,30.41,Critical
FRUI_0093,6.99,1190.86,3920.55,2219.48,2485.19,53.69,11.33,2250.76,34.36,Critical
FRUI_0094,6.82,1860.31,2829.26,1716.14,1409.36,29.91,20.14,1562.16,28.54,Critical
FRUI_0095,6.48,1076.46,2464.56,2413.33,2167.0,189.85,75.15,2276.63,28.29,Critical
FRUI_0096,6.2,2876.28,3002.18,842.42,2780.06,268.31,44.06,2375.69,39.91,Critical
FRUI_0097,7.28,1133.48,2869.8,1263.83,2013.09,211.47,30.92,2418.32,39.09,Critical
FRUI_0098,7.24,2096.64,5473.92,2437.93,1449.53,200.82,67.93,1499.52,36.86,Critical
FRUI_0099,5.9,1253.96,4762.68,810.16,1300.13,87.43,78.97,1256.03,27.2,Critical
FRUI_0100,5.75,1068.25,3964.44,938.94,1359.42,93.54,71.38,1659.34,35.59,Moderate
FRUI_0101,6.23,1577.65,3084.39,1463.7,1512.62,119.84,62.79,1380.54,32.19,Critical
FRUI_0102,5.7,1165.78,2001.7,1139.02,1744.1,281.71,63.19,1767.41,35.62,Critical
FRUI_0103,6.37,2541.48,3964.71,2052.18,2253.15,169.92,76.82,2397.89,37.97,Critical
FRUI_0104,6.9,1875.86,5722.79,839.09,2601.72,42.48,74.24,3114.23,24.64,Critical
FRUI_0105,5.59,1645.12,4292.66,1567.25,1317.71,145.25,14.02,1330.64,32.18,Critical
FRUI_0106,6.42,2078.18,5758.26,1717.75,1538.2,226.95,46.89,1938.91,28.68,Critical
FRUI_0107,5.57,2261.04,2732.63,2497.15,1921.95,200.08,44.46,2305.34,39.63,Critical
FRUI_0108,6.5,2272.4,5076.76,2482.43,2009.14,290.39,12.04,1805.37,25.19,Critical
FRUI_0109,7.44,1939.23,2085.17,1337.08,1100.87,168.39,61.16,1082.62,33.09,Critical
FRUI_0110,7.42,1030.69,5241.13,2329.1,3181.13,22.26,32.57,3682.86,31.25,Critical
FRUI_0111,7.33,2573.12,4905.07,1998.71,1871.06,247.1,44.97,1649.76,30.49,Critical
FRUI_0112,5.72,1831.1,4977.87,1869.73,1287.1,193.65,52.41,1200.57,36.05,Critical
FRUI_0113,6.75,1622.58,5102.78,2401.82,2872.9,161.37,25.4,3612.2,30.36,Critical
FRUI_0114,6.09,1371.1,5491.22,1911.22,3130.71,238.98,57.84,3369.41,35.53,Critical
FRUI_0115,6.56,2758.11,4391.96,1224.62,2866.9,160.69,76.7,2664.83,25.08,Critical
FRUI_0116,6.64,1779.35,4904.9,1789.35,2451.35,250.56,22.39,2386.4,37.86,Critical
FRUI_0117,5.85,2951.69,3870.13,867.22,3240.16,181.78,39.72,4158.01,30.67,Critical
FRUI_0118,6.93,1803.71,3933.83,876.69,2424.89,232.41,32.91,1951.32,37.15,Critical
FRUI_0119,6.93,3282.19,8711.34,2059.9,3009.52,124.97,26.86,3904.14,30.63,Critical
FRUI_0120,5.76,2837.43,4687.4,1233.77,3404.0,207.14,64.05,3535.72,29.1,Critical
FRUI_0121,7.39,2255.79,4109.43,1931.7,2337.23,95.72,36.61,2918.5,30.3,Critical
FRUI_0122,7.06,2480.88,2548.14,1173.06,3395.33,215.21,46.47,3549.77,33.82,Critical
FRUI_0123,5.92,1642.37,5294.4,2089.97,2915.49,133.34,43.35,3162.99,32.81,Critical
FRUI_0124,6.37,1365.45,4447.0,2023.58,1405.63,292.08,71.36,1699.2,39.18,Critical
FRUI_0125,6.83,2574.28,3932.14,2360.04,3412.61,267.98,20.15,3338.32,31.8,Critical
FRUI_0126,7.08,1917.48,2191.29,2442.17,1001.17,132.72,74.35,1235.15,38.9,Critical
FRUI_0127,6.33,1128.43,3471.05,1769.76,2308.72,119.62,49.15,2141.54,36.15,Critical
FRUI_0128,6.69,1521.84,4306.25,2324.09,1727.81,141.34,13.9,1584.73,26.39,Critical
FRUI_0129,6.01,2940.96,4213.06,1868.9,3056.65,103.87,37.07,3450.11,39.62,Critical
FRUI_0130,6.94,2643.85,3155.86,829.91,1968.38,127.0,72.71,2400.42,36.21,Critical
FRUI_0131,7.39,1000.66,3394.95,2363.29,1958.65,171.06,54.8,1903.42,35.99,Critical
FRUI_0132,6.01,1686.39,4148.09,1593.89,2103.39,112.97,11.14,1826.64,38.09,Critical
FRUI_0133,7.07,1778.19,3707.83,2183.13,3249.01,43.82,75.06,2863.46,26.36,Critical
FRUI_0134,6.15,1190.51,2262.07,1565.84,3192.9,116.72,10.54,2649.78,27.68,Critical
FRUI_0135,6.58,2711.06,3990.05,1194.12,2691.33,215.88,66.65,2847.18,28.63,Critical
FRUI_0136,6.17,1922.15,3629.22,2376.06,2704.6,238.14,41.38,2493.63,32.31,Critical
FRUI_0137,5.95,1450.02,2312.29,2486.02,3032.74,133.64,69.65,3141.06,33.36,Critical
FRUI_0138,7.24,2747.65,4622.48,2020.13,1250.66,291.95,44.37,1008.14,29.96,Critical
FRUI_0139,6.65,1471.37,2748.68,2283.9,3390.0,53.57,71.36,4114.32,24.44,Critical
FRUI_0140,6.28,2293.53,3829.71,1838.91,3395.52,183.31,34.92,3847.21,28.39,Critical
FRUI_0141,5.87,2489.88,2817.6,1977.69,1196.14,37.45,65.1,1229.97,28.35,Critical
FRUI_0142,5.51,2723.33,3277.98,945.0,2306.49,178.14,77.42,1919.34,27.9,Critical
FRUI_0143,7.01,1703.46,5218.73,1157.09,1453.47,24.48,76.94,1719.29,26.6,Critical
FRUI_0144,7.01,2380.25,2368.25,1224.32,1957.12,159.15,57.7,2290.46,25.69,Critical
FRUI_0145,5.8,2252.59,3970.2,1403.6,2708.63,48.85,54.27,2481.68,34.87,Critical
FRUI_0146,6.0,3425.34,10840.46,5594.48,1427.58,44.49,63.58,1527.06,31.12,Critical
FRUI_0147,5.62,2346.81,2249.28,912.36,2342.1,152.65,75.28,2851.46,37.56,Critical
FRUI_0148,7.41,1379.6,4396.1,960.03,2698.98,248.63,25.1,3069.43,32.68,Critical
FRUI_0149,5.82,2687.15,2328.63,980.72,1320.44,188.48,17.86,1697.2,33.36,Critical
FRUI_0150,6.16,2607.82,2407.41,980.03,1042.03,278.2,59.22,1286.08,24.53,Critical
FRUI_0151,7.47,1222.99,4093.69,2191.64,2840.03,193.32,75.05,3341.49,24.65,Critical
FRUI_0152,7.4,2930.86,5001.05,1467.26,1618.77,210.09,43.54,1495.47,27.76,Critical
FRUI_0153,5.54,2042.24,5060.85,1563.14,2972.6,229.43,70.3,3372.57,25.15,Critical
FRUI_0154,5.93,1724.04,2291.73,1934.29,1010.28,142.49,15.08,916.38,33.62,Critical
FRUI_0155,7.47,2119.95,4361.8,1614.09,2293.2,207.87,36.58,2422.92,34.63,Critical
FRUI_0156,6.36,1323.64,3072.35,2245.65,1052.82,51.38,22.67,1199.76,36.25,Critical
FRUI_0157,5.94,1319.9,5304.44,1638.1,2318.56,74.32,23.89,2190.61,36.97,Critical
FRUI_0158,7.14,2823.21,5650.1,2015.83,2605.84,66.57,30.48,3045.59,29.18,Critical
FRUI_0159,6.99,1637.62,2642.07,1605.79,3437.15,169.58,46.02,2797.94,32.86,Critical
FRUI_0160,6.63,1328.52,5686.85,2174.64,1139.07,82.77,67.39,1402.0,32.21,Critical
FRUI_0161,6.8,2809.27,4921.52,1850.87,3063.49,232.32,64.05,3969.67,25.36,Critical
FRUI_0162,5.94,1472.76,4325.58,1636.82,1050.69,197.74,20.29,1231.69,28.78,Critical
FRUI_0163,5.66,1617.38,3000.79,2048.61,3101.97,173.4,22.73,3586.81,37.57,Critical
FRUI_0164,5.57,1034.72,5190.1,1638.62,2777.65,117.44,27.17,2336.03,31.69,Critical
FRUI_0165,6.7,2920.34,4294.91,2260.8,1508.94,267.49,20.95,1453.95,33.46,Critical
FRUI_0166,6.13,1754.98,4335.39,2345.17,2304.55,117.31,16.5,2916.68,24.45,Critical
FRUI_0167,5.6,2827.48,3947.46,1413.69,2088.04,179.38,59.06,2366.87,31.22,Critical
FRUI_0168,6.03,1076.45,5221.06,1179.55,2081.42,116.44,29.46,2414.54,28.14,Critical
FRUI_0169,5.59,1257.79,3495.41,1145.39,2316.67,83.95,60.12,2237.01,39.32,Critical
FRUI_0170,7.18,2303.87,2366.91,2425.75,1817.61,185.87,48.7,2244.07,26.23,Critical
FRUI_0171,7.33,2299.92,3884.16,1948.44,1503.89,259.21,26.64,1243.47,28.07,Critical
FRUI_0172,6.49,1695.84,4797.89,1285.05,2736.3,54.11,45.59,2366.4,24.02,Critical
FRUI_0173,6.4,2034.88,3469.26,800.46,2191.33,249.56,50.06,2384.99,30.56,Critical
FRUI_0174,6.35,1801.51,5488.59,2349.43,3249.1,199.33,76.84,3820.11,32.53,Critical
FRUI_0175,7.27,1851.0,5735.28,2090.07,2668.46,210.53,74.12,2735.89,35.62,Critical
FRUI_0176,6.32,1975.25,3904.85,1102.31,1555.35,130.48,10.11,1928.68,30.29,Critical
FRUI_0177,6.52,1908.7,3996.75,1843.52,1745.1,217.06,54.38,1686.05,36.27,Critical
FRUI_0178,7.26,1448.03,3752.35,1620.05,2624.87,234.35,79.17,2184.64,29.92,Critical
FRUI_0179,5.82,2405.95,2716.32,2246.55,1078.55,166.03,22.19,1270.9,31.24,Critical
FRUI_0180,7.47,1420.26,5335.29,1474.85,1882.9,223.28,70.17,1881.49,37.1,Critical
FRUI_0181,6.27,1781.68,2730.57,1259.49,2176.35,272.45,30.98,2679.92,36.39,Critical
FRUI_0182,7.34,2065.02,5958.62,1396.34,2621.65,38.37,13.91,3334.68,29.54,Critical
FRUI_0183,6.94,1024.28,5368.7,1636.4,1362.44,186.98,40.58,1210.96,24.88,Critical
FRUI_0184,6.99,2119.66,5333.37,2047.1,1830.23,255.3,49.35,1673.13,39.17,Critical
FRUI_0185,7.39,2808.9,4930.43,884.03,2274.66,288.94,29.37,1896.55,38.86,Critical
FRUI_0186,6.56,1119.1,4572.15,1624.98,1017.09,231.07,23.33,927.56,25.74,Critical
FRUI_0187,5.87,2837.97,5617.52,1167.6,1801.64,225.43,10.13,2065.63,24.44,Critical
FRUI_0188,6.1,2362.49,4814.5,1081.18,3190.76,189.98,79.67,2957.97,35.93,Critical
FRUI_0189,6.04,2927.55,5994.21,1208.22,1201.93,229.87,19.25,1465.47,38.07,Critical
FRUI_0190,5.5,1986.88,2223.03,1432.37,3329.11,110.86,65.02,3530.17,36.88,Critical
FRUI_0191,6.18,2437.84,2045.24,1835.12,2396.34,125.25,19.88,2459.66,32.92,Critical
FRUI_0192,6.41,1229.36,4292.92,2450.47,2064.19,179.7,68.75,2081.81,27.58,Critical
FRUI_0193,5.63,3605.74,9293.89,2163.29,1151.17,233.59,61.57,1192.32,27.81,Critical
FRUI_0194,6.69,1391.37,4016.72,2121.98,2880.99,86.97,58.73,3490.39,26.7,Critical
FRUI_0195,7.19,2732.35,4987.44,1330.82,1342.55,257.32,60.42,1540.82,35.44,Critical
FRUI_0196,5.87,2007.08,3886.42,1233.8,1558.64,119.63,73.77,1903.58,26.35,Critical
FRUI_0197,5.84,2163.5,4158.29,988.44,2337.83,160.6,45.19,2599.59,30.14,Critical
FRUI_0198,5.66,1456.31,2947.1,2164.02,1523.35,257.95,41.45,1527.37,33.94,Critical
FRUI_0199,7.15,1469.61,4381.59,803.47,1547.08,226.4,65.5,1536.74,34.87,Critical
FRUI_0200,5.55,6230.42,7126.49,5859.19,2760.2,217.24,14.0,2321.51,39.66,Critical
FRUI_0201,6.33,1056.56,5557.12,1492.67,3432.96,289.19,77.68,3009.29,34.88,Critical
FRUI_0202,7.19,3524.5,6927.08,2373.34,1139.73,237.58,50.63,1195.5,29.43,Critical
FRUI_0203,6.21,2477.61,2266.26,1066.97,2153.0,118.0,44.91,1890.32,33.5,Critical
FRUI_0204,6.67,2822.38,2892.1,2096.45,2270.15,130.9,72.76,2489.04,36.6,Critical
FRUI_0205,5.74,1954.81,2549.21,880.48,2231.22,204.18,37.62,2438.53,30.1,Critical
FRUI_0206,6.75,1011.08,3827.02,876.15,3340.62,195.17,66.87,2755.57,37.66,Moderate
FRUI_0207,5.69,2528.7,3709.19,1909.31,2499.19,46.97,63.28,3236.42,33.9,Critical
FRUI_0208,5.93,2651.99,2417.8,1010.1,2976.41,260.93,28.42,2433.91,36.05,Critical
FRUI_0209,7.46,2712.65,5748.41,981.52,1573.88,295.82,66.41,1969.64,39.38,Critical
FRUI_0210,6.52,5682.13,14000.12,2839.54,2811.58,242.61,16.63,3226.09,27.09,Critical
FRUI_0211,6.51,1333.74,2470.6,2404.53,1636.97,106.82,21.73,1633.13,25.41,Critical
FRUI_0212,5.72,2040.98,7803.73,2209.53,1027.64,229.83,15.05,885.36,30.1,Critical
FRUI_0213,5.93,2718.32,5595.72,881.3,2235.52,168.02,39.27,2116.65,35.14,Critical
FRUI_0214,5.81,1417.27,5111.05,1790.07,2932.91,129.7,55.22,3187.82,25.76,Critical
FRUI_0215,7.13,2708.66,5377.22,2324.04,1593.55,235.23,26.25,1973.51,30.23,Critical
FRUI_0216,7.43,1853.36,4395.6,1209.98,3194.5,40.09,28.04,3192.09,28.0,Critical
FRUI_0217,5.73,2131.25,5109.38,2010.22,1065.37,215.43,39.23,1288.87,39.75,Critical
FRUI_0218,5.66,1590.44,3913.44,1816.09,1460.19,224.21,46.09,1645.44,34.02,Critical
FRUI_0219,5.95,2237.82,2071.13,1318.27,1190.67,199.41,32.2,1019.14,26.57,Critical
FRUI_0220,6.47,1171.78,2599.85,1542.14,2415.99,294.89,26.86,3071.09,33.13,Critical
FRUI_0221,5.51,1922.14,2951.85,1094.26,2320.85,257.58,67.59,2318.91,36.9,Critical
FRUI_0222,6.02,1614.72,4636.93,1536.89,2251.88,76.72,56.13,2867.61,28.44,Critical
FRUI_0223,5.78,1522.75,3569.96,800.57,2346.91,284.52,71.53,2170.25,31.57,Critical
FRUI_0224,6.82,2993.28,4779.12,2211.49,1661.32,210.99,10.64,1732.73,38.59,Critical
FRUI_0225,7.07,1294.31,2999.77,853.21,1755.15,93.41,67.34,2148.79,39.51,Moderate
FRUI_0226,6.77,1282.03,5057.0,1231.09,2839.77,216.21,21.09,3075.72,31.75,Critical
FRUI_0227,6.1,1593.56,3948.54,1241.73,2110.1,195.44,56.2,1946.2,27.29,Critical
FRUI_0228,6.28,2379.87,5236.9,2325.89,3168.67,168.79,29.53,3684.89,36.96,Critical
FRUI_0229,5.72,2538.39,3696.61,871.62,1501.92,257.61,41.2,1345.29,32.94,Critical
FRUI_0230,5.97,1329.68,4395.52,1274.31,2053.03,77.62,18.6,2583.71,28.7,Critical
FRUI_0231,6.21,2187.32,9043.88,1718.05,3224.96,95.82,77.58,3749.18,38.4,Critical
FRUI_0232,5.54,1261.05,5827.71,1332.91,2061.59,267.02,73.64,1924.17,27.34,Critical
FRUI_0233,6.75,2905.71,2092.85,1417.91,1827.43,203.92,20.12,1486.93,39.09,Critical
FRUI_0234,6.77,1817.85,3683.58,1955.01,3426.59,52.09,29.25,2972.61,39.24,Critical
FRUI_0235,6.6,2322.89,2450.24,1142.25,2751.27,252.79,71.79,3422.37,34.32,Critical
FRUI_0236,5.51,1346.73,3831.29,2198.12,3213.05,274.35,54.05,2707.14,27.18,Critical
FRUI_0237,7.36,1215.97,4046.63,1068.86,1470.6,40.08,37.1,1474.32,35.54,Critical
FRUI_0238,6.3,1768.4,5075.99,1827.23,1159.04,149.93,16.59,1464.86,36.58,Critical
FRUI_0239,6.86,1205.53,5161.47,1112.92,2057.64,196.38,20.44,1758.7,24.47,Critical
FRUI_0240,5.99,1042.85,4120.99,1103.34,2588.18,120.93,68.83,2974.47,39.8,Critical
FRUI_0241,7.19,2111.51,2837.11,1185.87,1699.35,180.24,78.75,1612.21,33.84,Critical
FRUI_0242,6.96,1088.75,2132.27,1624.7,2143.6,270.95,26.38,2201.37,36.19,Critical
FRUI_0243,5.55,1000.83,2806.96,914.3,1210.73,219.93,27.08,1087.37,38.64,Moderate
FRUI_0244,6.48,1696.57,5519.14,1840.25,1214.48,204.62,71.49,1015.28,37.53,Critical
FRUI_0245,6.99,1892.59,5365.55,1679.18,2832.76,212.95,32.57,2969.69,30.86,Critical
FRUI_0246,6.46,2334.25,3348.51,2434.24,2026.75,262.36,55.75,2034.38,31.64,Critical
FRUI_0247,5.9,2923.06,3218.84,1206.68,1573.9,278.17,53.1,1396.65,34.89,Critical
FRUI_0248,6.16,1622.46,3115.27,874.51,1912.49,40.95,57.21,2029.86,33.81,Critical
FRUI_0249,7.42,2567.66,4416.39,2180.62,1467.95,86.38,20.51,1436.55,34.61,Critical
FRUI_0250,6.04,1551.18,4633.85,1332.42,2908.63,112.8,36.02,3400.7,37.8,Critical
FRUI_0251,5.55,2195.86,3052.45,1386.99,2272.11,165.75,18.01,2011.63,35.91,Critical
FRUI_0252,6.24,2789.62,5267.23,1692.19,3400.97,235.08,16.75,3062.48,26.81,Critical
FRUI_0253,6.53,2541.26,3330.64,880.18,1873.64,291.93,23.21,2393.48,24.79,Critical
FRUI_0254,7.1,1804.79,5468.39,2137.36,3273.53,202.13,57.77,3661.97,28.43,Critical
FRUI_0255,6.65,3599.72,5836.25,2093.11,3103.06,248.53,66.6,2485.98,34.95,Critical
FRUI_0256,5.55,2610.22,3432.15,1502.57,2606.6,189.05,32.2,3143.12,38.08,Critical
FRUI_0257,5.96,2721.86,3749.54,2489.59,3228.55,91.37,33.48,3673.56,37.64,Critical
FRUI_0258,7.39,1663.64,5232.78,2056.25,2993.28,177.68,19.07,2853.64,34.28,Critical
FRUI_0259,6.94,2521.63,4768.26,1387.97,3071.58,216.38,39.17,3893.36,36.42,Critical
FRUI_0260,6.47,2829.08,3667.58,2128.54,1144.49,28.49,36.92,1084.83,32.48,Critical
FRUI_0261,6.84,2812.71,5239.73,1789.55,2363.99,100.72,57.43,2770.56,37.53,Critical
