Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Status
MOL-047,4.24,41000,113600,3200,26400,Raw Effluent
MOL-048,4.28,42000,115200,3400,26800,Raw Effluent
MOL-049,4.32,43000,116800,3600,27200,Raw Effluent
MOL-050,4.36,44000,118400,3800,27600,Raw Effluent
MOL-051,4.0,45000,80000,4000,28000,Raw Effluent
MOL-052,4.04,46000,81600,4200,28400,Raw Effluent
MOL-053,4.08,47000,83200,4400,28800,Raw Effluent
MOL-054,4.12,48000,84800,4600,29200,Raw Effluent
MOL-055,4.16,49000,86400,4800,29600,Raw Effluent
MOL-056,4.2,50000,88000,5000,30000,Raw Effluent
MOL-057,4.24,51000,89600,5200,30400,Raw Effluent
MOL-058,4.28,52000,91200,5400,30800,Raw Effluent
MOL-059,4.32,53000,92800,5600,31200,Raw Effluent
MOL-060,4.36,54000,94400,5800,31600,Raw Effluent
MOL-061,4.0,35000,96000,3000,20000,Raw Effluent
MOL-062,4.04,36000,97600,3200,20400,Raw Effluent
MOL-063,4.08,37000,99200,3400,20800,Raw Effluent
MOL-064,4.12,38000,100800,3600,21200,Raw Effluent
MOL-065,4.16,39000,102400,3800,21600,Raw Effluent
MOL-066,4.2,40000,104000,4000,22000,Raw Effluent
MOL-067,4.24,41000,105600,4200,22400,Raw Effluent
MOL-068,4.28,42000,107200,4400,22800,Raw Effluent
MOL-069,4.32,43000,108800,4600,23200,Raw Effluent
MOL-070,4.36,44000,110400,4800,23600,Raw Effluent
MOL-071,4.0,45000,112000,5000,24000,Raw Effluent
MOL-072,4.04,46000,113600,5200,24400,Raw Effluent
MOL-073,4.08,47000,115200,5400,24800,Raw Effluent
MOL-074,4.12,48000,116800,5600,25200,Raw Effluent
MOL-075,4.16,49000,118400,5800,25600,Raw Effluent
MOL-076,4.2,50000,80000,3000,26000,Raw Effluent
MOL-077,4.24,51000,81600,3200,26400,Raw Effluent
MOL-078,4.28,52000,83200,3400,26800,Raw Effluent
MOL-079,4.32,53000,84800,3600,27200,Raw Effluent
MOL-080,4.36,54000,86400,3800,27600,Raw Effluent
MOL-081,4.0,35000,88000,4000,28000,Raw Effluent
MOL-082,4.04,36000,89600,4200,28400,Raw Effluent
MOL-083,4.08,37000,91200,4400,28800,Raw Effluent
MOL-084,4.12,38000,92800,4600,29200,Raw Effluent
MOL-085,4.16,39000,94400,4800,29600,Raw Effluent
MOL-086,4.2,40000,96000,5000,30000,Raw Effluent
MOL-087,4.24,41000,97600,5200,30400,Raw Effluent
MOL-088,4.28,42000,99200,5400,30800,Raw Effluent
MOL-089,4.32,43000,100800,5600,31200,Raw Effluent
MOL-090,4.36,44000,102400,5800,31600,Raw Effluent
MOL-091,4.0,45000,104000,3000,20000,Raw Effluent
MOL-092,4.04,46000,105600,3200,20400,Raw Effluent
MOL-093,4.08,47000,107200,3400,20800,Raw Effluent
MOL-094,4.12,48000,108800,3600,21200,Raw Effluent
MOL-095,4.16,49000,110400,3800,21600,Raw Effluent
MOL-096,4.2,50000,112000,4000,22000,Raw Effluent
MOL-097,4.24,51000,113600,4200,22400,Raw Effluent
MOL-098,4.28,52000,115200,4400,22800,Raw Effluent
MOL-099,4.32,53000,116800,4600,23200,Raw Effluent
MOL-100,4.36,54000,118400,4800,23600,Raw Effluent
MOL-101,4.0,35000,80000,5000,24000,Raw Effluent
MOL-102,4.04,36000,81600,5200,24400,Raw Effluent
MOL-103,4.08,37000,83200,5400,24800,Raw Effluent
MOL-104,4.12,38000,84800,5600,25200,Raw Effluent
MOL-105,4.16,39000,86400,5800,25600,Raw Effluent
MOL-106,4.2,40000,88000,3000,26000,Raw Effluent
MOL-107,4.24,41000,89600,3200,26400,Raw Effluent
MOL-108,4.28,42000,91200,3400,26800,Raw Effluent
MOL-109,4.32,43000,92800,3600,27200,Raw Effluent
MOL-110,4.36,44000,94400,3800,27600,Raw Effluent
MOL-111,4.0,45000,96000,4000,28000,Raw Effluent
MOL-112,4.04,46000,97600,4200,28400,Raw Effluent
MOL-113,4.08,47000,99200,4400,28800,Raw Effluent
MOL-114,4.12,48000,100800,4600,29200,Raw Effluent
MOL-115,4.16,49000,102400,4800,29600,Raw Effluent
MOL-116,4.2,50000,104000,5000,30000,Raw Effluent
MOL-117,4.24,51000,105600,5200,30400,Raw Effluent
MOL-118,4.28,52000,107200,5400,30800,Raw Effluent
MOL-119,4.32,53000,108800,5600,31200,Raw Effluent
MOL-120,4.36,54000,110400,5800,31600,Raw Effluent
MOL-121,4.0,35000,112000,3000,20000,Raw Effluent
MOL-122,4.04,36000,113600,3200,20400,Raw Effluent
MOL-123,4.08,37000,115200,3400,20800,Raw Effluent
MOL-124,4.12,38000,116800,3600,21200,Raw Effluent
MOL-125,4.16,39000,118400,3800,21600,Raw Effluent
MOL-126,4.2,40000,80000,4000,22000,Raw Effluent
MOL-127,4.24,41000,81600,4200,22400,Raw Effluent
MOL-128,4.28,42000,83200,4400,22800,Raw Effluent
MOL-129,4.32,43000,84800,4600,23200,Raw Effluent
MOL-130,4.36,44000,86400,4800,23600,Raw Effluent
MOL-131,4.0,45000,88000,5000,24000,Raw Effluent
MOL-132,4.04,46000,89600,5200,24400,Raw Effluent
MOL-133,4.08,47000,91200,5400,24800,Raw Effluent
MOL-134,4.12,48000,92800,5600,25200,Raw Effluent
MOL-135,4.16,49000,94400,5800,25600,Raw Effluent
MOL-136,4.2,50000,96000,3000,26000,Raw Effluent
MOL-137,4.24,51000,97600,3200,26400,Raw Effluent
MOL-138,4.28,52000,99200,3400,26800,Raw Effluent
MOL-139,4.32,53000,100800,3600,27200,Raw Effluent
MOL-140,4.36,54000,102400,3800,27600,Raw Effluent
MOL-141,4.0,35000,104000,4000,28000,Raw Effluent
MOL-142,4.04,36000,105600,4200,28400,Raw Effluent
MOL-143,4.08,37000,107200,4400,28800,Raw Effluent
MOL-144,4.12,38000,108800,4600,29200,Raw Effluent
MOL-145,4.16,39000,110400,4800,29600,Raw Effluent
MOL-146,4.2,40000,112000,5000,30000,Raw Effluent
MOL-147,4.24,41000,113600,5200,30400,Raw Effluent
MOL-148,4.28,42000,115200,5400,30800,Raw Effluent
MOL-149,4.32,43000,116800,5600,31200,Raw Effluent
MOL-150,4.36,44000,118400,5800,31600,Raw Effluent
MOL-151,4.0,45000,80000,3000,20000,Raw Effluent
MOL-152,4.04,46000,81600,3200,20400,Raw Effluent
MOL-153,4.08,47000,83200,3400,20800,Raw Effluent
MOL-154,4.12,48000,84800,3600,21200,Raw Effluent
MOL-155,4.16,49000,86400,3800,21600,Raw Effluent
MOL-156,4.2,50000,88000,4000,22000,Raw Effluent
MOL-157,4.24,51000,89600,4200,22400,Raw Effluent
MOL-158,4.28,52000,91200,4400,22800,Raw Effluent
MOL-159,4.32,53000,92800,4600,23200,Raw Effluent
MOL-160,4.36,54000,94400,4800,23600,Raw Effluent
MOL-161,4.0,35000,96000,5000,24000,Raw Effluent
MOL-162,4.04,36000,97600,5200,24400,Raw Effluent
MOL-163,4.08,37000,99200,5400,24800,Raw Effluent
MOL-164,4.12,38000,100800,5600,25200,Raw Effluent
MOL-165,4.16,39000,102400,5800,25600,Raw Effluent
MOL-166,4.2,40000,104000,3000,26000,Raw Effluent
MOL-167,4.24,41000,105600,3200,26400,Raw Effluent
MOL-168,4.28,42000,107200,3400,26800,Raw Effluent
MOL-169,4.32,43000,108800,3600,27200,Raw Effluent
MOL-170,4.36,44000,110400,3800,27600,Raw Effluent
MOL-171,4.0,45000,112000,4000,28000,Raw Effluent
MOL-172,4.04,46000,113600,4200,28400,Raw Effluent
MOL-173,4.08,47000,115200,4400,28800,Raw Effluent
MOL-174,4.12,48000,116800,4600,29200,Raw Effluent
MOL-175,4.16,49000,118400,4800,29600,Raw Effluent
MOL-176,4.2,50000,80000,5000,30000,Raw Effluent
MOL-177,4.24,51000,81600,5200,30400,Raw Effluent
MOL-178,4.28,52000,83200,5400,30800,Raw Effluent
MOL-179,4.32,53000,84800,5600,31200,Raw Effluent
MOL-180,4.36,54000,86400,5800,31600,Raw Effluent
MOL-181,4.0,35000,88000,3000,20000,Raw Effluent
MOL-182,4.04,36000,89600,3200,20400,Raw Effluent
MOL-183,4.08,37000,91200,3400,20800,Raw Effluent
MOL-184,4.12,38000,92800,3600,21200,Raw Effluent
MOL-185,4.16,39000,94400,3800,21600,Raw Effluent
MOL-186,4.2,40000,96000,4000,22000,Raw Effluent
MOL-187,4.24,41000,97600,4200,22400,Raw Effluent
MOL-188,4.28,42000,99200,4400,22800,Raw Effluent
MOL-189,4.32,43000,100800,4600,23200,Raw Effluent
MOL-190,4.36,44000,102400,4800,23600,Raw Effluent
MOL-191,4.0,45000,104000,5000,24000,Raw Effluent
MOL-192,4.04,46000,105600,5200,24400,Raw Effluent
MOL-193,4.08,47000,107200,5400,24800,Raw Effluent
MOL-194,4.12,48000,108800,5600,25200,Raw Effluent
MOL-195,4.16,49000,110400,5800,25600,Raw Effluent
MOL-196,4.2,50000,112000,3000,26000,Raw Effluent
MOL-197,4.24,51000,113600,3200,26400,Raw Effluent
MOL-198,4.28,52000,115200,3400,26800,Raw Effluent
MOL-199,4.32,53000,116800,3600,27200,Raw Effluent
MOL-200,4.36,54000,118400,3800,27600,Raw Effluent
MOL-201,4.0,35000,80000,4000,28000,Raw Effluent
MOL-202,4.04,36000,81600,4200,28400,Raw Effluent
MOL-203,4.08,37000,83200,4400,28800,Raw Effluent
MOL-204,4.12,38000,84800,4600,29200,Raw Effluent
MOL-205,4.16,39000,86400,4800,29600,Raw Effluent
MOL-206,4.2,40000,88000,5000,30000,Raw Effluent
MOL-207,4.24,41000,89600,5200,30400,Raw Effluent
MOL-208,4.28,42000,91200,5400,30800,Raw Effluent
MOL-209,4.32,43000,92800,5600,31200,Raw Effluent
MOL-210,4.36,44000,94400,5800,31600,Raw Effluent
MOL-211,4.0,45000,96000,3000,20000,Raw Effluent
MOL-212,4.04,46000,97600,3200,20400,Raw Effluent
MOL-213,4.08,47000,99200,3400,20800,Raw Effluent
MOL-214,4.12,48000,100800,3600,21200,Raw Effluent
MOL-215,4.16,49000,102400,3800,21600,Raw Effluent
MOL-216,4.2,50000,104000,4000,22000,Raw Effluent
MOL-217,4.24,51000,105600,4200,22400,Raw Effluent
MOL-218,4.28,52000,107200,4400,22800,Raw Effluent
MOL-219,4.32,53000,108800,4600,23200,Raw Effluent
MOL-220,4.36,54000,110400,4800,23600,Raw Effluent
MOL-221,4.0,35000,112000,5000,24000,Raw Effluent
MOL-222,4.04,36000,113600,5200,24400,Raw Effluent
MOL-223,4.08,37000,115200,5400,24800,Raw Effluent
MOL-224,4.12,38000,116800,5600,25200,Raw Effluent
MOL-225,4.16,39000,118400,5800,25600,Raw Effluent
MOL-226,4.2,40000,80000,3000,26000,Raw Effluent
MOL-227,4.24,41000,81600,3200,26400,Raw Effluent
MOL-228,4.28,42000,83200,3400,26800,Raw Effluent
MOL-229,4.32,43000,84800,3600,27200,Raw Effluent
MOL-230,4.36,44000,86400,3800,27600,Raw Effluent
MOL-231,4.0,45000,88000,4000,28000,Raw Effluent
MOL-232,4.04,46000,89600,4200,28400,Raw Effluent
MOL-233,4.08,47000,91200,4400,28800,Raw Effluent
MOL-234,4.12,48000,92800,4600,29200,Raw Effluent
MOL-235,4.16,49000,94400,4800,29600,Raw Effluent
MOL-236,4.2,50000,96000,5000,30000,Raw Effluent
MOL-237,4.24,51000,97600,5200,30400,Raw Effluent
MOL-238,4.28,52000,99200,5400,30800,Raw Effluent
MOL-239,4.32,53000,100800,5600,31200,Raw Effluent
MOL-240,4.36,54000,102400,5800,31600,Raw Effluent
MOL-241,4.0,35000,104000,3000,20000,Raw Effluent
MOL-242,4.04,36000,105600,3200,20400,Raw Effluent
MOL-243,4.08,37000,107200,3400,20800,Raw Effluent
MOL-244,4.12,38000,108800,3600,21200,Raw Effluent
MOL-245,4.16,39000,110400,3800,21600,Raw Effluent
MOL-246,4.2,40000,112000,4000,22000,Raw Effluent
MOL-247,4.24,41000,113600,4200,22400,Raw Effluent
MOL-248,4.28,42000,115200,4400,22800,Raw Effluent
MOL-249,4.32,43000,116800,4600,23200,Raw Effluent
MOL-250,4.36,44000,118400,4800,23600,Raw Effluent
MOL-251,4.0,45000,80000,5000,24000,Raw Effluent
MOL-252,4.04,46000,81600,5200,24400,Raw Effluent
MOL-253,4.08,47000,83200,5400,24800,Raw Effluent
MOL-254,4.12,48000,84800,5600,25200,Raw Effluent
MOL-255,4.16,49000,86400,5800,25600,Raw Effluent
MOL-256,4.2,50000,88000,3000,26000,Raw Effluent
MOL-257,4.24,51000,89600,3200,26400,Raw Effluent
MOL-258,4.28,52000,91200,3400,26800,Raw Effluent
MOL-259,4.32,53000,92800,3600,27200,Raw Effluent
MOL-260,4.36,54000,94400,3800,27600,Raw Effluent
MOL-261,4.0,35000,96000,4000,28000,Raw Effluent
MOL-262,4.04,36000,97600,4200,28400,Raw Effluent
MOL-263,4.08,37000,99200,4400,28800,Raw Effluent
MOL-264,4.12,38000,100800,4600,29200,Raw Effluent
MOL-265,4.16,39000,102400,4800,29600,Raw Effluent
MOL-266,4.2,40000,104000,5000,30000,Raw Effluent
MOL-267,4.24,41000,105600,5200,30400,Raw Effluent
MOL-268,4.28,42000,107200,5400,30800,Raw Effluent
MOL-269,4.32,43000,108800,5600,31200,Raw Effluent
MOL-270,4.36,44000,110400,5800,31600,Raw Effluent
MOL-271,4.0,45000,112000,3000,20000,Raw Effluent
MOL-272,4.04,46000,113600,3200,20400,Raw Effluent
MOL-273,4.08,47000,115200,3400,20800,Raw Effluent
MOL-274,4.12,48000,116800,3600,21200,Raw Effluent
MOL-275,4.16,49000,118400,3800,21600,Raw Effluent
MOL-276,4.2,50000,80000,4000,22000,Raw Effluent
MOL-277,4.24,51000,81600,4200,22400,Raw Effluent
MOL-278,4.28,52000,83200,4400,22800,Raw Effluent
MOL-279,4.32,53000,84800,4600,23200,Raw Effluent
MOL-280,4.36,54000,86400,4800,23600,Raw Effluent
MOL-281,4.0,35000,88000,5000,24000,Raw Effluent
MOL-282,4.04,36000,89600,5200,24400,Raw Effluent
MOL-283,4.08,37000,91200,5400,24800,Raw Effluent
MOL-284,4.12,38000,92800,5600,25200,Raw Effluent
MOL-285,4.16,39000,94400,5800,25600,Raw Effluent
MOL-286,4.2,40000,96000,3000,26000,Raw Effluent
MOL-287,4.24,41000,97600,3200,26400,Raw Effluent
MOL-288,4.28,42000,99200,3400,26800,Raw Effluent
MOL-289,4.32,43000,100800,3600,27200,Raw Effluent
MOL-290,4.36,44000,102400,3800,27600,Raw Effluent
MOL-291,4.0,45000,104000,4000,28000,Raw Effluent
MOL-292,4.04,46000,105600,4200,28400,Raw Effluent
MOL-293,4.08,47000,107200,4400,28800,Raw Effluent
MOL-294,4.12,48000,108800,4600,29200,Raw Effluent
MOL-295,4.16,49000,110400,4800,29600,Raw Effluent
MOL-296,4.2,50000,112000,5000,30000,Raw Effluent
MOL-297,4.24,51000,113600,5200,30400,Raw Effluent
MOL-298,4.28,52000,115200,5400,30800,Raw Effluent
MOL-299,4.32,53000,116800,5600,31200,Raw Effluent
MOL-300,4.36,54000,118400,5800,31600,Raw Effluent
MOL-301,4.0,35000,80000,3000,20000,Raw Effluent
MOL-302,4.04,36000,81600,3200,20400,Raw Effluent
MOL-303,4.08,37000,83200,3400,20800,Raw Effluent
MOL-304,4.12,38000,84800,3600,21200,Raw Effluent
MOL-305,4.16,39000,86400,3800,21600,Raw Effluent
MOL-306,4.2,40000,88000,4000,22000,Raw Effluent
MOL-307,4.24,41000,89600,4200,22400,Raw Effluent
MOL-308,4.28,42000,91200,4400,22800,Raw Effluent
MOL-309,4.32,43000,92800,4600,23200,Raw Effluent
MOL-310,4.36,44000,94400,4800,23600,Raw Effluent
MOL-311,4.0,45000,96000,5000,24000,Raw Effluent
MOL-312,4.04,46000,97600,5200,24400,Raw Effluent
MOL-313,4.08,47000,99200,5400,24800,Raw Effluent
MOL-314,4.12,48000,100800,5600,25200,Raw Effluent
MOL-315,4.16,49000,102400,5800,25600,Raw Effluent
MOL-316,4.2,50000,104000,3000,26000,Raw Effluent
MOL-317,4.24,51000,105600,3200,26400,Raw Effluent
MOL-318,4.28,52000,107200,3400,26800,Raw Effluent
MOL-319,4.32,53000,108800,3600,27200,Raw Effluent
MOL-320,4.36,54000,110400,3800,27600,Raw Effluent
MOL-321,4.0,35000,112000,4000,28000,Raw Effluent
MOL-322,4.04,36000,113600,4200,28400,Raw Effluent
MOL-323,4.08,37000,115200,4400,28800,Raw Effluent
MOL-324,4.12,38000,116800,4600,29200,Raw Effluent
MOL-325,4.16,39000,118400,4800,29600,Raw Effluent
MOL-326,4.2,40000,80000,5000,30000,Raw Effluent
MOL-327,4.24,41000,81600,5200,30400,Raw Effluent
MOL-328,4.28,42000,83200,5400,30800,Raw Effluent
MOL-329,4.32,43000,84800,5600,31200,Raw Effluent
MOL-330,4.36,44000,86400,5800,31600,Raw Effluent
MOL-331,4.0,45000,88000,3000,20000,Raw Effluent
MOL-332,4.04,46000,89600,3200,20400,Raw Effluent
MOL-333,4.08,47000,91200,3400,20800,Raw Effluent
MOL-334,4.12,48000,92800,3600,21200,Raw Effluent
MOL-335,4.16,49000,94400,3800,21600,Raw Effluent
MOL-336,4.2,50000,96000,4000,22000,Raw Effluent
MOL-337,4.24,51000,97600,4200,22400,Raw Effluent
MOL-338,4.28,52000,99200,4400,22800,Raw Effluent
MOL-339,4.32,53000,100800,4600,23200,Raw Effluent
MOL-340,4.36,54000,102400,4800,23600,Raw Effluent
MOL-341,4.0,35000,104000,5000,24000,Raw Effluent
MOL-342,4.04,36000,105600,5200,24400,Raw Effluent
MOL-343,4.08,37000,107200,5400,24800,Raw Effluent
MOL-344,4.12,38000,108800,5600,25200,Raw Effluent
MOL-345,4.16,39000,110400,5800,25600,Raw Effluent
MOL-346,4.2,40000,112000,3000,26000,Raw Effluent
MOL-347,4.24,41000,113600,3200,26400,Raw Effluent
MOL-348,4.28,42000,115200,3400,26800,Raw Effluent
MOL-349,4.32,43000,116800,3600,27200,Raw Effluent
MOL-350,4.36,44000,118400,3800,27600,Raw Effluent
MOL-351,4.0,45000,80000,4000,28000,Raw Effluent
MOL-352,4.04,46000,81600,4200,28400,Raw Effluent
MOL-353,4.08,47000,83200,4400,28800,Raw Effluent
MOL-354,4.12,48000,84800,4600,29200,Raw Effluent
MOL-355,4.16,49000,86400,4800,29600,Raw Effluent
MOL-356,4.2,50000,88000,5000,30000,Raw Effluent
MOL-357,4.24,51000,89600,5200,30400,Raw Effluent
MOL-358,4.28,52000,91200,5400,30800,Raw Effluent
MOL-359,4.32,53000,92800,5600,31200,Raw Effluent
MOL-360,4.36,54000,94400,5800,31600,Raw Effluent
MOL-361,4.0,35000,96000,3000,20000,Raw Effluent
MOL-362,4.04,36000,97600,3200,20400,Raw Effluent
MOL-363,4.08,37000,99200,3400,20800,Raw Effluent
MOL-364,4.12,38000,100800,3600,21200,Raw Effluent
MOL-365,4.16,39000,102400,3800,21600,Raw Effluent
MOL-366,4.2,40000,104000,4000,22000,Raw Effluent
MOL-367,4.24,41000,105600,4200,22400,Raw Effluent
MOL-368,4.28,42000,107200,4400,22800,Raw Effluent
MOL-369,4.32,43000,108800,4600,23200,Raw Effluent
MOL-370,4.36,44000,110400,4800,23600,Raw Effluent
MOL-371,4.0,45000,112000,5000,24000,Raw Effluent
MOL-372,4.04,46000,113600,5200,24400,Raw Effluent
MOL-373,4.08,47000,115200,5400,24800,Raw Effluent
MOL-374,4.12,48000,116800,5600,25200,Raw Effluent
MOL-375,4.16,49000,118400,5800,25600,Raw Effluent
MOL-376,4.2,50000,80000,3000,26000,Raw Effluent
MOL-377,4.24,51000,81600,3200,26400,Raw Effluent
MOL-378,4.28,52000,83200,3400,26800,Raw Effluent
MOL-379,4.32,53000,84800,3600,27200,Raw Effluent
MOL-380,4.36,54000,86400,3800,27600,Raw Effluent
MOL-381,4.0,35000,88000,4000,28000,Raw Effluent
MOL-382,4.04,36000,89600,4200,28400,Raw Effluent
MOL-383,4.08,37000,91200,4400,28800,Raw Effluent
MOL-384,4.12,38000,92800,4600,29200,Raw Effluent
MOL-385,4.16,39000,94400,4800,29600,Raw Effluent
MOL-386,4.2,40000,96000,5000,30000,Raw Effluent
MOL-387,4.24,41000,97600,5200,30400,Raw Effluent
MOL-388,4.28,42000,99200,5400,30800,Raw Effluent
MOL-389,4.32,43000,100800,5600,31200,Raw Effluent
MOL-390,4.36,44000,102400,5800,31600,Raw Effluent
MOL-391,4.0,45000,104000,3000,20000,Raw Effluent
MOL-392,4.04,46000,105600,3200,20400,Raw Effluent
MOL-393,4.08,47000,107200,3400,20800,Raw Effluent
MOL-394,4.12,48000,108800,3600,21200,Raw Effluent
MOL-395,4.16,49000,110400,3800,21600,Raw Effluent
MOL-396,4.2,50000,112000,4000,22000,Raw Effluent
MOL-397,4.24,51000,113600,4200,22400,Raw Effluent
MOL-398,4.28,52000,115200,4400,22800,Raw Effluent
MOL-399,4.32,53000,116800,4600,23200,Raw Effluent
MOL-400,4.36,54000,118400,4800,23600,Raw Effluent
MOL-401,6.8,640,2200,180,23000,Secondary Treated
MOL-402,6.88,730,2500,200,22500,Secondary Treated
MOL-403,6.96,820,2800,220,22000,Secondary Treated
MOL-404,7.04,910,3100,240,21500,Secondary Treated
MOL-405,7.12,1000,3400,260,21000,Secondary Treated
MOL-406,7.2,640,3700,280,20500,Secondary Treated
MOL-407,7.28,730,4000,300,20000,Secondary Treated
MOL-408,6.8,820,2200,180,19500,Secondary Treated
MOL-409,6.88,910,2500,200,19000,Secondary Treated
MOL-410,6.96,1000,2800,220,18500,Secondary Treated
MOL-411,7.04,640,3100,240,18000,Secondary Treated
MOL-412,7.12,730,3400,260,17500,Secondary Treated
MOL-413,7.2,820,3700,280,17000,Secondary Treated
MOL-414,7.28,910,4000,300,16500,Secondary Treated
MOL-415,6.8,1000,2200,180,16000,Secondary Treated
MOL-416,6.88,640,2500,200,15500,Secondary Treated
MOL-417,6.96,730,2800,220,15000,Secondary Treated
MOL-418,7.04,820,3100,240,14500,Secondary Treated
MOL-419,7.12,910,3400,260,14000,Secondary Treated
MOL-420,7.2,1000,3700,280,13500,Secondary Treated
MOL-421,7.28,640,4000,300,13000,Secondary Treated
MOL-422,6.8,730,2200,180,12500,Secondary Treated
MOL-423,6.88,820,2500,200,12000,Secondary Treated
MOL-424,6.96,910,2800,220,11500,Secondary Treated
MOL-425,7.04,1000,3100,240,11000,Secondary Treated
MOL-426,7.12,640,3400,260,10500,Secondary Treated
MOL-427,7.2,730,3700,280,10000,Secondary Treated
MOL-428,7.28,820,4000,300,9500,Secondary Treated
MOL-429,6.8,910,2200,180,9000,Secondary Treated
MOL-430,6.88,1000,2500,200,8500,Secondary Treated
MOL-431,6.96,640,2800,220,8000,Secondary Treated
MOL-432,7.04,730,3100,240,7500,Secondary Treated
MOL-433,7.12,820,3400,260,7000,Secondary Treated
MOL-434,7.2,910,3700,280,6500,Secondary Treated
MOL-435,7.28,1000,4000,300,6000,Secondary Treated
MOL-436,6.8,640,2200,180,5500,Secondary Treated
MOL-437,6.88,730,2500,200,5000,Secondary Treated
MOL-438,6.96,820,2800,220,4500,Secondary Treated
MOL-439,7.04,910,3100,240,4000,Secondary Treated
MOL-440,7.12,1000,3400,260,3500,Secondary Treated
MOL-441,7.2,640,3700,280,3000,Secondary Treated
MOL-442,7.28,730,4000,300,2500,Secondary Treated
MOL-443,6.8,820,2200,180,2000,Secondary Treated
MOL-444,6.88,910,2500,200,1500,Secondary Treated
MOL-445,6.96,1000,2800,220,1000,Secondary Treated
MOL-446,7.04,640,3100,240,500,Secondary Treated
MOL-447,7.12,730,3400,260,0,Secondary Treated
MOL-448,7.2,820,3700,280,0,Secondary Treated
MOL-449,7.28,910,4000,300,0,Secondary Treated
MOL-450,6.8,1000,2200,180,0,Secondary Treated
MOL-451,6.88,640,2500,200,0,Secondary Treated
MOL-452,6.96,730,2800,220,0,Secondary Treated
MOL-453,7.04,820,3100,240,0,Secondary Treated
MOL-454,7.12,910,3400,260,0,Secondary Treated
MOL-455,7.2,1000,3700,280,0,Secondary Treated
MOL-456,7.28,640,4000,300,0,Secondary Treated
MOL-457,6.8,730,2200,180,0,Secondary Treated
MOL-458,6.88,820,2500,200,0,Secondary Treated
MOL-459,6.96,910,2800,220,0,Secondary Treated
MOL-460,7.04,1000,3100,240,0,Secondary Treated
MOL-461,7.12,640,3400,260,0,Secondary Treated
MOL-462,7.2,730,3700,280,0,Secondary Treated
MOL-463,7.28,820,4000,300,0,Secondary Treated
MOL-464,6.8,910,2200,180,0,Secondary Treated
MOL-465,6.88,1000,2500,200,0,Secondary Treated
MOL-466,6.96,640,2800,220,0,Secondary Treated
MOL-467,7.04,730,3100,240,0,Secondary Treated
MOL-468,7.12,820,3400,260,0,Secondary Treated
