Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L)
WIN-102,3.64,7000,13200,3650,4700
WIN-103,3.68,8000,14400,3800,4900
WIN-104,3.72,9000,15600,3950,5100
WIN-105,3.76,10000,16800,4100,5300
WIN-106,3.8,11000,18000,2000,5500
WIN-107,3.84,12000,19200,2150,5700
WIN-108,3.88,13000,20400,2300,5900
WIN-109,3.92,14000,21600,2450,6100
WIN-110,3.96,15000,22800,2600,6300
WIN-111,3.6,16000,24000,2750,6500
WIN-112,3.64,17000,25200,2900,6700
WIN-113,3.68,18000,26400,3050,6900
WIN-114,3.72,19000,27600,3200,7100
WIN-115,3.76,20000,28800,3350,7300
WIN-116,3.8,21000,30000,3500,7500
WIN-117,3.84,22000,31200,3650,7700
WIN-118,3.88,23000,32400,3800,7900
WIN-119,3.92,24000,33600,3950,8100
WIN-120,3.96,25000,34800,4100,8300
WIN-121,3.6,6000,36000,2000,2500
WIN-122,3.64,7000,37200,2150,2700
WIN-123,3.68,8000,38400,2300,2900
WIN-124,3.72,9000,39600,2450,3100
WIN-125,3.76,10000,40800,2600,3300
WIN-126,3.8,11000,12000,2750,3500
WIN-127,3.84,12000,13200,2900,3700
WIN-128,3.88,13000,14400,3050,3900
WIN-129,3.92,14000,15600,3200,4100
WIN-130,3.96,15000,16800,3350,4300
WIN-131,3.6,16000,18000,3500,4500
WIN-132,3.64,17000,19200,3650,4700
WIN-133,3.68,18000,20400,3800,4900
WIN-134,3.72,19000,21600,3950,5100
WIN-135,3.76,20000,22800,4100,5300
WIN-136,3.8,21000,24000,2000,5500
WIN-137,3.84,22000,25200,2150,5700
WIN-138,3.88,23000,26400,2300,5900
WIN-139,3.92,24000,27600,2450,6100
WIN-140,3.96,25000,28800,2600,6300
WIN-141,3.6,6000,30000,2750,6500
WIN-142,3.64,7000,31200,2900,6700
WIN-143,3.68,8000,32400,3050,6900
WIN-144,3.72,9000,33600,3200,7100
WIN-145,3.76,10000,34800,3350,7300
WIN-146,3.8,11000,36000,3500,7500
WIN-147,3.84,12000,37200,3650,7700
WIN-148,3.88,13000,38400,3800,7900
WIN-149,3.92,14000,39600,3950,8100
WIN-150,3.96,15000,40800,4100,8300
WIN-151,3.6,16000,12000,2000,2500
WIN-152,3.64,17000,13200,2150,2700
WIN-153,3.68,18000,14400,2300,2900
WIN-154,3.72,19000,15600,2450,3100
WIN-155,3.76,20000,16800,2600,3300
WIN-156,3.8,21000,18000,2750,3500
WIN-157,3.84,22000,19200,2900,3700
WIN-158,3.88,23000,20400,3050,3900
WIN-159,3.92,24000,21600,3200,4100
WIN-160,3.96,25000,22800,3350,4300
WIN-161,3.6,6000,24000,3500,4500
WIN-162,3.64,7000,25200,3650,4700
WIN-163,3.68,8000,26400,3800,4900
WIN-164,3.72,9000,27600,3950,5100
WIN-165,3.76,10000,28800,4100,5300
WIN-166,3.8,11000,30000,2000,5500
WIN-167,3.84,12000,31200,2150,5700
WIN-168,3.88,13000,32400,2300,5900
WIN-169,3.92,14000,33600,2450,6100
WIN-170,3.96,15000,34800,2600,6300
WIN-171,3.6,16000,36000,2750,6500
WIN-172,3.64,17000,37200,2900,6700
WIN-173,3.68,18000,38400,3050,6900
WIN-174,3.72,19000,39600,3200,7100
WIN-175,3.76,20000,40800,3350,7300
WIN-176,3.8,21000,12000,3500,7500
WIN-177,3.84,22000,13200,3650,7700
WIN-178,3.88,23000,14400,3800,7900
WIN-179,3.92,24000,15600,3950,8100
WIN-180,3.96,25000,16800,4100,8300
WIN-181,3.6,6000,18000,2000,2500
WIN-182,3.64,7000,19200,2150,2700
WIN-183,3.68,8000,20400,2300,2900
WIN-184,3.72,9000,21600,2450,3100
WIN-185,3.76,10000,22800,2600,3300
WIN-186,3.8,11000,24000,2750,3500
WIN-187,3.84,12000,25200,2900,3700
WIN-188,3.88,13000,26400,3050,3900
WIN-189,3.92,14000,27600,3200,4100
WIN-190,3.96,15000,28800,3350,4300
WIN-191,3.6,16000,30000,3500,4500
WIN-192,3.64,17000,31200,3650,4700
WIN-193,3.68,18000,32400,3800,4900
WIN-194,3.72,19000,33600,3950,5100
WIN-195,3.76,20000,34800,4100,5300
WIN-196,3.8,21000,36000,2000,5500
WIN-197,3.84,22000,37200,2150,5700
WIN-198,3.88,23000,38400,2300,5900
WIN-199,3.92,24000,39600,2450,6100
WIN-200,3.96,25000,40800,2600,6300
WIN-201,3.6,6000,12000,2750,6500
WIN-202,3.64,7000,13200,2900,6700
WIN-203,3.68,8000,14400,3050,6900
WIN-204,3.72,9000,15600,3200,7100
WIN-205,3.76,10000,16800,3350,7300
WIN-206,3.8,11000,18000,3500,7500
WIN-207,3.84,12000,19200,3650,7700
WIN-208,3.88,13000,20400,3800,7900
WIN-209,3.92,14000,21600,3950,8100
WIN-210,3.96,15000,22800,4100,8300
WIN-211,3.6,16000,24000,2000,2500
WIN-212,3.64,17000,25200,2150,2700
WIN-213,3.68,18000,26400,2300,2900
WIN-214,3.72,19000,27600,2450,3100
WIN-215,3.76,20000,28800,2600,3300
WIN-216,3.8,21000,30000,2750,3500
WIN-217,3.84,22000,31200,2900,3700
WIN-218,3.88,23000,32400,3050,3900
WIN-219,3.92,24000,33600,3200,4100
WIN-220,3.96,25000,34800,3350,4300
WIN-221,3.6,6000,36000,3500,4500
WIN-222,3.64,7000,37200,3650,4700
WIN-223,3.68,8000,38400,3800,4900
WIN-224,3.72,9000,39600,3950,5100
WIN-225,3.76,10000,40800,4100,5300
WIN-226,3.8,11000,12000,2000,5500
WIN-227,3.84,12000,13200,2150,5700
WIN-228,3.88,13000,14400,2300,5900
WIN-229,3.92,14000,15600,2450,6100
WIN-230,3.96,15000,16800,2600,6300
WIN-231,3.6,16000,18000,2750,6500
WIN-232,3.64,17000,19200,2900,6700
WIN-233,3.68,18000,20400,3050,6900
WIN-234,3.72,19000,21600,3200,7100
WIN-235,3.76,20000,22800,3350,7300
WIN-236,3.8,21000,24000,3500,7500
WIN-237,3.84,22000,25200,3650,7700
WIN-238,3.88,23000,26400,3800,7900
WIN-239,3.92,24000,27600,3950,8100
WIN-240,3.96,25000,28800,4100,8300
WIN-241,3.6,6000,30000,2000,2500
WIN-242,3.64,7000,31200,2150,2700
WIN-243,3.68,8000,32400,2300,2900
WIN-244,3.72,9000,33600,2450,3100
WIN-245,3.76,10000,34800,2600,3300
WIN-246,3.8,11000,36000,2750,3500
WIN-247,3.84,12000,37200,2900,3700
WIN-248,3.88,13000,38400,3050,3900
WIN-249,3.92,14000,39600,3200,4100
WIN-250,3.96,15000,40800,3350,4300
WIN-251,3.6,16000,12000,3500,4500
WIN-252,3.64,17000,13200,3650,4700
WIN-253,3.68,18000,14400,3800,4900
WIN-254,3.72,19000,15600,3950,5100
WIN-255,3.76,20000,16800,4100,5300
WIN-256,3.8,21000,18000,2000,5500
WIN-257,3.84,22000,19200,2150,5700
WIN-258,3.88,23000,20400,2300,5900
WIN-259,3.92,24000,21600,2450,6100
WIN-260,3.96,25000,22800,2600,6300
WIN-261,3.6,6000,24000,2750,6500
WIN-262,3.64,7000,25200,2900,6700
WIN-263,3.68,8000,26400,3050,6900
WIN-264,3.72,9000,27600,3200,7100
WIN-265,3.76,10000,28800,3350,7300
WIN-266,3.8,11000,30000,3500,7500
WIN-267,3.84,12000,31200,3650,7700
WIN-268,3.88,13000,32400,3800,7900
WIN-269,3.92,14000,33600,3950,8100
WIN-270,3.96,15000,34800,4100,8300
WIN-271,3.6,16000,36000,2000,2500
WIN-272,3.64,17000,37200,2150,2700
WIN-273,3.68,18000,38400,2300,2900
WIN-274,3.72,19000,39600,2450,3100
WIN-275,3.76,20000,40800,2600,3300
WIN-276,3.8,21000,12000,2750,3500
WIN-277,3.84,22000,13200,2900,3700
WIN-278,3.88,23000,14400,3050,3900
WIN-279,3.92,24000,15600,3200,4100
WIN-280,3.96,25000,16800,3350,4300
WIN-281,3.6,6000,18000,3500,4500
WIN-282,3.64,7000,19200,3650,4700
WIN-283,3.68,8000,20400,3800,4900
WIN-284,3.72,9000,21600,3950,5100
WIN-285,3.76,10000,22800,4100,5300
WIN-286,3.8,11000,24000,2000,5500
WIN-287,3.84,12000,25200,2150,5700
WIN-288,3.88,13000,26400,2300,5900
WIN-289,3.92,14000,27600,2450,6100
WIN-290,3.96,15000,28800,2600,6300
WIN-291,3.6,16000,30000,2750,6500
WIN-292,3.64,17000,31200,2900,6700
WIN-293,3.68,18000,32400,3050,6900
WIN-294,3.72,19000,33600,3200,7100
WIN-295,3.76,20000,34800,3350,7300
WIN-296,3.8,21000,36000,3500,7500
WIN-297,3.84,22000,37200,3650,7700
WIN-298,3.88,23000,38400,3800,7900
WIN-299,3.92,24000,39600,3950,8100
WIN-300,3.96,25000,40800,4100,8300
WIN-301,3.6,6000,12000,2000,2500
WIN-302,3.64,7000,13200,2150,2700
WIN-303,3.68,8000,14400,2300,2900
WIN-304,3.72,9000,15600,2450,3100
WIN-305,3.76,10000,16800,2600,3300
WIN-306,3.8,11000,18000,2750,3500
WIN-307,3.84,12000,19200,2900,3700
WIN-308,3.88,13000,20400,3050,3900
WIN-309,3.92,14000,21600,3200,4100
WIN-310,3.96,15000,22800,3350,4300
WIN-311,3.6,16000,24000,3500,4500
WIN-312,3.64,17000,25200,3650,4700
WIN-313,3.68,18000,26400,3800,4900
WIN-314,3.72,19000,27600,3950,5100
WIN-315,3.76,20000,28800,4100,5300
WIN-316,3.8,21000,30000,2000,5500
WIN-317,3.84,22000,31200,2150,5700
WIN-318,3.88,23000,32400,2300,5900
WIN-319,3.92,24000,33600,2450,6100
WIN-320,3.96,25000,34800,2600,6300
WIN-321,3.6,6000,36000,2750,6500
WIN-322,3.64,7000,37200,2900,6700
WIN-323,3.68,8000,38400,3050,6900
WIN-324,3.72,9000,39600,3200,7100
WIN-325,3.76,10000,40800,3350,7300
WIN-326,3.8,11000,12000,3500,7500
WIN-327,3.84,12000,13200,3650,7700
WIN-328,3.88,13000,14400,3800,7900
WIN-329,3.92,14000,15600,3950,8100
WIN-330,3.96,15000,16800,4100,8300
WIN-331,3.6,16000,18000,2000,2500
WIN-332,3.64,17000,19200,2150,2700
WIN-333,3.68,18000,20400,2300,2900
WIN-334,3.72,19000,21600,2450,3100
WIN-335,3.76,20000,22800,2600,3300
WIN-336,3.8,21000,24000,2750,3500
WIN-337,3.84,22000,25200,2900,3700
WIN-338,3.88,23000,26400,3050,3900
WIN-339,3.92,24000,27600,3200,4100
WIN-340,3.96,25000,28800,3350,4300
WIN-341,3.6,6000,30000,3500,4500
WIN-342,3.64,7000,31200,3650,4700
WIN-343,3.68,8000,32400,3800,4900
WIN-344,3.72,9000,33600,3950,5100
WIN-345,3.76,10000,34800,4100,5300
WIN-346,3.8,11000,36000,2000,5500
WIN-347,3.84,12000,37200,2150,5700
WIN-348,3.88,13000,38400,2300,5900
WIN-349,3.92,14000,39600,2450,6100
WIN-350,3.96,15000,40800,2600,6300
WIN-351,3.6,16000,12000,2750,6500
WIN-352,3.64,17000,13200,2900,6700
WIN-353,3.68,18000,14400,3050,6900
WIN-354,3.72,19000,15600,3200,7100
WIN-355,3.76,20000,16800,3350,7300
WIN-356,3.8,21000,18000,3500,7500
WIN-357,3.84,22000,19200,3650,7700
WIN-358,3.88,23000,20400,3800,7900
WIN-359,3.92,24000,21600,3950,8100
WIN-360,3.96,25000,22800,4100,8300
WIN-361,3.6,6000,24000,2000,2500
WIN-362,3.64,7000,25200,2150,2700
WIN-363,3.68,8000,26400,2300,2900
WIN-364,3.72,9000,27600,2450,3100
WIN-365,3.76,10000,28800,2600,3300
WIN-366,3.8,11000,30000,2750,3500
WIN-367,3.84,12000,31200,2900,3700
WIN-368,3.88,13000,32400,3050,3900
WIN-369,3.92,14000,33600,3200,4100
WIN-370,3.96,15000,34800,3350,4300
WIN-371,3.6,16000,36000,3500,4500
WIN-372,3.64,17000,37200,3650,4700
WIN-373,3.68,18000,38400,3800,4900
WIN-374,3.72,19000,39600,3950,5100
WIN-375,3.76,20000,40800,4100,5300
WIN-376,3.8,21000,12000,2000,5500
WIN-377,3.84,22000,13200,2150,5700
WIN-378,3.88,23000,14400,2300,5900
WIN-379,3.92,24000,15600,2450,6100
WIN-380,3.96,25000,16800,2600,6300
WIN-381,3.6,6000,18000,2750,6500
WIN-382,3.64,7000,19200,2900,6700
WIN-383,3.68,8000,20400,3050,6900
WIN-384,3.72,9000,21600,3200,7100
WIN-385,3.76,10000,22800,3350,7300
WIN-386,3.8,11000,24000,3500,7500
WIN-387,3.84,12000,25200,3650,7700
WIN-388,3.88,13000,26400,3800,7900
WIN-389,3.92,14000,27600,3950,8100
WIN-390,3.96,15000,28800,4100,8300
WIN-391,3.6,16000,30000,2000,2500
WIN-392,3.64,17000,31200,2150,2700
WIN-393,3.68,18000,32400,2300,2900
WIN-394,3.72,19000,33600,2450,3100
WIN-395,3.76,20000,34800,2600,3300
WIN-396,3.8,21000,36000,2750,3500
WIN-397,3.84,22000,37200,2900,3700
WIN-398,3.88,23000,38400,3050,3900
WIN-399,3.92,24000,39600,3200,4100
WIN-400,3.96,25000,40800,3350,4300
WIN-401,3.1,18000,35000,2500,3000,Harvest Shock Load
WIN-402,3.14,19500,38000,2800,3300,Harvest Shock Load
WIN-403,3.18,21000,41000,3100,3600,Harvest Shock Load
WIN-404,3.22,22500,44000,3400,3900,Harvest Shock Load
WIN-405,3.26,24000,47000,3700,4200,Harvest Shock Load
WIN-406,3.3,25500,50000,4000,4500,Harvest Shock Load
WIN-407,3.34,27000,53000,4300,4800,Harvest Shock Load
WIN-408,3.38,28500,56000,4600,5100,Harvest Shock Load
WIN-409,3.42,30000,59000,4900,5400,Harvest Shock Load
WIN-410,3.46,31500,62000,5200,5700,Harvest Shock Load
WIN-411,3.1,18000,35000,2500,3000,Harvest Shock Load
WIN-412,3.14,19500,38000,2800,3300,Harvest Shock Load
WIN-413,3.18,21000,41000,3100,3600,Harvest Shock Load
WIN-414,3.22,22500,44000,3400,3900,Harvest Shock Load
WIN-415,3.26,24000,47000,3700,4200,Harvest Shock Load
WIN-416,3.3,25500,50000,4000,4500,Harvest Shock Load
WIN-417,3.34,27000,53000,4300,4800,Harvest Shock Load
WIN-418,3.38,28500,56000,4600,5100,Harvest Shock Load
WIN-419,3.42,30000,59000,4900,5400,Harvest Shock Load
WIN-420,3.46,31500,62000,5200,5700,Harvest Shock Load
WIN-421,3.1,18000,35000,2500,3000,Harvest Shock Load
WIN-422,3.14,19500,38000,2800,3300,Harvest Shock Load
WIN-423,3.18,21000,41000,3100,3600,Harvest Shock Load
WIN-424,3.22,22500,44000,3400,3900,Harvest Shock Load
WIN-425,3.26,24000,47000,3700,4200,Harvest Shock Load
WIN-426,3.3,25500,50000,4000,4500,Harvest Shock Load
WIN-427,3.34,27000,53000,4300,4800,Harvest Shock Load
WIN-428,3.38,28500,56000,4600,5100,Harvest Shock Load
WIN-429,3.42,30000,59000,4900,5400,Harvest Shock Load
WIN-430,3.46,31500,62000,5200,5700,Harvest Shock Load
WIN-431,3.1,18000,35000,2500,3000,Harvest Shock Load
WIN-432,3.14,19500,38000,2800,3300,Harvest Shock Load
WIN-433,3.18,21000,41000,3100,3600,Harvest Shock Load
WIN-434,3.22,22500,44000,3400,3900,Harvest Shock Load
WIN-435,3.26,24000,47000,3700,4200,Harvest Shock Load
WIN-436,3.3,25500,50000,4000,4500,Harvest Shock Load
WIN-437,3.34,27000,53000,4300,4800,Harvest Shock Load
WIN-438,3.38,28500,56000,4600,5100,Harvest Shock Load
WIN-439,3.42,30000,59000,4900,5400,Harvest Shock Load
WIN-440,3.46,31500,62000,5200,5700,Harvest Shock Load
WIN-441,3.1,18000,35000,2500,3000,Harvest Shock Load
WIN-442,3.14,19500,38000,2800,3300,Harvest Shock Load
WIN-443,3.18,21000,41000,3100,3600,Harvest Shock Load
WIN-444,3.22,22500,44000,3400,3900,Harvest Shock Load
WIN-445,3.26,24000,47000,3700,4200,Harvest Shock Load
WIN-446,3.3,25500,50000,4000,4500,Harvest Shock Load
WIN-447,3.34,27000,53000,4300,4800,Harvest Shock Load
WIN-448,3.38,28500,56000,4600,5100,Harvest Shock Load
WIN-449,3.42,30000,59000,4900,5400,Harvest Shock Load
WIN-450,3.46,31500,62000,5200,5700,Harvest Shock Load
WIN-451,3.1,18000,35000,2500,3000,Harvest Shock Load
WIN-452,3.14,19500,38000,2800,3300,Harvest Shock Load
WIN-453,3.18,21000,41000,3100,3600,Harvest Shock Load
WIN-454,3.22,22500,44000,3400,3900,Harvest Shock Load
WIN-455,3.26,24000,47000,3700,4200,Harvest Shock Load
WIN-456,3.3,25500,50000,4000,4500,Harvest Shock Load
WIN-457,3.34,27000,53000,4300,4800,Harvest Shock Load
WIN-458,3.38,28500,56000,4600,5100,Harvest Shock Load
WIN-459,3.42,30000,59000,4900,5400,Harvest Shock Load
WIN-460,3.46,31500,62000,5200,5700,Harvest Shock Load
WIN-461,3.1,18000,35000,2500,3000,Harvest Shock Load
WIN-462,3.14,19500,38000,2800,3300,Harvest Shock Load
WIN-463,3.18,21000,41000,3100,3600,Harvest Shock Load
WIN-464,3.22,22500,44000,3400,3900,Harvest Shock Load
WIN-465,3.26,24000,47000,3700,4200,Harvest Shock Load
WIN-466,3.3,25500,50000,4000,4500,Harvest Shock Load
WIN-467,3.34,27000,53000,4300,4800,Harvest Shock Load
WIN-468,3.38,28500,56000,4600,5100,Harvest Shock Load
WIN-469,3.42,30000,59000,4900,5400,Harvest Shock Load
WIN-470,3.46,31500,62000,5200,5700,Harvest Shock Load
WIN-471,3.1,18000,35000,2500,3000,Harvest Shock Load
WIN-472,3.14,19500,38000,2800,3300,Harvest Shock Load
WIN-473,3.18,21000,41000,3100,3600,Harvest Shock Load
WIN-474,3.22,22500,44000,3400,3900,Harvest Shock Load
WIN-475,3.26,24000,47000,3700,4200,Harvest Shock Load
WIN-476,3.3,25500,50000,4000,4500,Harvest Shock Load
WIN-477,3.34,27000,53000,4300,4800,Harvest Shock Load
WIN-478,3.38,28500,56000,4600,5100,Harvest Shock Load
WIN-479,3.42,30000,59000,4900,5400,Harvest Shock Load
WIN-480,3.46,31500,62000,5200,5700,Harvest Shock Load
WIN-481,3.1,18000,35000,2500,3000,Harvest Shock Load
WIN-482,3.14,19500,38000,2800,3300,Harvest Shock Load
WIN-483,3.18,21000,41000,3100,3600,Harvest Shock Load
WIN-484,3.22,22500,44000,3400,3900,Harvest Shock Load
WIN-485,3.26,24000,47000,3700,4200,Harvest Shock Load
WIN-486,3.3,25500,50000,4000,4500,Harvest Shock Load
WIN-487,3.34,27000,53000,4300,4800,Harvest Shock Load
WIN-488,3.38,28500,56000,4600,5100,Harvest Shock Load
WIN-489,3.42,30000,59000,4900,5400,Harvest Shock Load
WIN-490,3.46,31500,62000,5200,5700,Harvest Shock Load
WIN-491,3.1,18000,35000,2500,3000,Harvest Shock Load
WIN-492,3.14,19500,38000,2800,3300,Harvest Shock Load
WIN-493,3.18,21000,41000,3100,3600,Harvest Shock Load
WIN-494,3.22,22500,44000,3400,3900,Harvest Shock Load
WIN-495,3.26,24000,47000,3700,4200,Harvest Shock Load
WIN-496,3.3,25500,50000,4000,4500,Harvest Shock Load
WIN-497,3.34,27000,53000,4300,4800,Harvest Shock Load
WIN-498,3.38,28500,56000,4600,5100,Harvest Shock Load
WIN-499,3.42,30000,59000,4900,5400,Harvest Shock Load
WIN-500,3.46,31500,62000,5200,5700,Harvest Shock Load
