Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Conductivity (uS/cm),Temperature (°C),Color (Pt-Co),Status
COTT_0137,9.53,629.51,3721.87,1160.09,8172.77,9846.21,41.1,1422.06,Critical
COTT_0138,9.17,908.45,2431.72,533.78,7340.52,7692.41,29.62,628.44,Critical
COTT_0139,10.37,576.13,3628.02,745.63,5883.52,6449.54,44.49,934.74,Critical
COTT_0140,10.36,1065.73,2167.57,1090.77,7784.56,8790.53,45.01,2181.51,Critical
COTT_0141,10.42,1337.01,3243.68,912.13,6711.67,7895.33,31.17,2214.09,Critical
COTT_0142,10.74,529.25,3564.54,415.98,5010.71,5871.32,31.22,2063.12,Critical
COTT_0143,10.66,1007.47,1515.96,558.33,6701.56,8648.99,40.64,723.53,Critical
COTT_0144,10.27,1039.99,3449.61,396.28,7566.17,8100.59,47.26,920.49,Critical
COTT_0145,10.27,1432.03,1756.27,1143.51,7127.31,5943.6,34.02,1799.61,Critical
COTT_0146,9.13,1082.17,2364.71,858.82,3274.45,4046.46,47.47,2425.31,Critical
COTT_0147,10.5,630.09,3395.66,322.13,3132.74,3013.09,37.77,1948.98,Critical
COTT_0148,10.37,945.9,2184.07,1197.41,5557.09,5699.87,31.27,2007.54,Critical
COTT_0149,10.39,720.77,1705.95,912.45,6927.07,6488.1,47.02,462.54,Critical
COTT_0150,9.86,1443.62,2549.32,874.67,5385.57,5046.86,47.68,1082.4,Critical
COTT_0151,10.79,729.95,2032.76,328.02,6910.0,6801.26,45.29,1235.7,Critical
COTT_0152,10.94,685.53,3671.56,998.94,7625.53,9321.38,43.22,1602.93,Critical
COTT_0153,9.26,532.53,3802.12,854.99,7779.22,8096.31,30.35,400.45,Critical
COTT_0154,10.37,930.31,2001.31,742.44,3385.25,3693.26,33.38,2014.14,Moderate
COTT_0155,9.62,955.22,1529.05,365.2,5354.96,5568.99,40.0,799.99,Critical
COTT_0156,10.39,1360.12,3449.63,335.66,5883.04,5015.09,32.84,2467.99,Critical
COTT_0157,9.28,998.89,3045.39,932.22,6357.89,5117.37,34.53,1342.51,Critical
COTT_0158,9.18,850.63,1583.01,370.72,5381.54,4662.34,39.35,1754.72,Critical
COTT_0159,10.6,700.15,1918.71,394.11,6818.58,7863.44,28.63,2346.91,Critical
COTT_0160,9.1,1041.3,3272.65,1083.87,7284.52,8747.72,34.79,2055.58,Critical
COTT_0161,9.16,1394.82,2868.98,1035.57,5713.91,6409.8,38.53,1855.81,Critical
COTT_0162,9.16,560.35,2117.76,443.59,8230.7,7486.7,47.52,908.55,Critical
COTT_0163,9.36,1289.7,3146.77,748.38,6332.18,7342.8,32.57,2491.2,Critical
COTT_0164,10.95,1150.33,1998.86,912.21,3433.19,2799.17,33.15,1210.3,Critical
COTT_0165,10.74,1227.17,3356.77,682.94,5075.61,5002.11,47.75,196.26,Critical
COTT_0166,10.73,1078.68,2596.54,952.73,5920.01,7321.35,46.01,1112.13,Critical
COTT_0167,9.55,1092.35,3780.91,489.6,6737.8,7517.9,42.66,415.76,Critical
COTT_0168,10.43,1409.03,1949.21,513.79,8828.37,7861.56,45.09,1281.47,Critical
COTT_0169,9.49,1370.75,2613.26,763.34,5155.4,5652.77,31.27,1038.6,Critical
COTT_0170,10.94,758.13,3141.84,592.67,7640.84,6612.66,47.4,1189.09,Critical
COTT_0171,9.47,573.5,1924.39,767.8,5022.02,6098.95,36.62,696.91,Critical
COTT_0172,10.23,1206.78,1917.6,450.86,3220.03,3761.64,41.28,1239.11,Critical
COTT_0173,10.69,1305.67,2963.39,1081.44,4235.05,3625.03,33.39,237.01,Critical
COTT_0174,10.06,1436.61,1598.36,409.9,5713.19,7238.25,34.32,1317.36,Critical
COTT_0175,9.08,648.34,3966.58,1168.61,3029.64,3865.54,40.78,2183.0,Critical
COTT_0176,9.91,1015.6,2722.12,900.18,3837.91,3127.85,34.16,1791.23,Critical
COTT_0177,9.4,1173.43,3924.78,384.51,7035.61,7189.51,45.36,525.16,Critical
COTT_0178,10.39,1338.12,3861.54,914.92,5983.05,6634.75,45.38,1469.46,Critical
COTT_0179,9.06,1430.95,3223.82,908.86,4294.05,4849.88,35.88,1662.96,Critical
COTT_0180,9.21,1157.85,3998.53,343.39,8863.05,8893.66,45.42,1977.73,Critical
COTT_0181,10.13,1238.45,3696.29,663.73,4962.2,5626.13,44.16,1929.48,Critical
COTT_0182,10.6,935.58,3544.59,408.19,6266.93,5031.59,34.49,979.51,Critical
COTT_0183,9.79,1195.47,2471.4,703.82,4425.26,4366.08,32.55,275.67,Critical
COTT_0184,10.21,1168.21,3048.73,717.14,5278.71,6501.61,38.38,1250.04,Critical
COTT_0185,9.05,841.25,2450.49,658.94,6481.03,6913.97,40.16,1935.72,Critical
COTT_0186,10.63,1218.12,3888.81,316.41,4174.67,3355.52,40.95,2255.27,Critical
COTT_0187,9.49,1427.03,1650.67,1140.99,5109.74,4346.91,37.72,716.26,Critical
COTT_0188,9.57,807.29,3507.56,785.25,4867.85,5379.79,42.32,754.3,Critical
COTT_0189,9.83,621.89,1952.87,913.01,4088.63,4344.5,42.18,356.5,Critical
COTT_0190,10.13,756.56,3907.32,735.19,7835.96,8424.54,28.87,1619.56,Critical
COTT_0191,10.9,1101.61,3547.97,1095.79,4368.48,3957.94,40.22,1086.47,Critical
COTT_0192,10.68,1400.02,2383.55,513.18,7683.15,7202.21,44.45,1116.97,Critical
COTT_0193,10.34,595.54,3059.65,706.59,6519.65,5763.42,42.74,2170.71,Critical
COTT_0194,9.43,595.71,1559.1,877.77,6642.56,7129.78,32.64,1038.17,Critical
COTT_0195,10.19,996.77,3969.46,422.8,7170.87,7186.35,36.56,1822.23,Critical
COTT_0196,10.38,1491.26,1820.99,393.7,7346.03,8001.25,33.48,290.61,Critical
COTT_0197,9.17,1394.19,1979.67,591.03,4359.94,4261.83,29.39,1345.74,Critical
COTT_0198,9.14,1300.36,2084.28,786.01,8280.47,9319.16,38.66,878.4,Critical
COTT_0199,9.67,1169.49,3985.35,895.66,6346.7,7395.97,37.3,244.34,Critical
COTT_0200,10.12,1457.63,1938.26,921.0,4205.6,4491.22,29.93,1180.89,Critical
COTT_0201,10.51,847.57,3162.28,1015.9,8563.07,7855.08,35.99,465.8,Critical
COTT_0202,10.98,1427.0,2849.89,1057.83,6125.75,6810.57,29.78,1912.65,Critical
COTT_0203,9.26,1326.07,3455.07,937.87,3216.96,3061.14,33.26,964.33,Critical
COTT_0204,9.18,1436.96,2884.51,574.97,5381.89,5508.91,40.01,1337.63,Critical
COTT_0205,10.84,996.96,3980.4,1066.28,4251.06,5378.86,30.33,2061.88,Critical
COTT_0206,9.76,1377.97,3670.14,1025.33,7740.18,7371.28,29.62,1067.15,Critical
COTT_0207,9.35,1194.95,2365.25,1178.05,6845.83,8291.95,30.65,2168.83,Critical
COTT_0208,10.85,987.06,3015.63,988.33,4049.03,4256.68,35.97,451.3,Critical
COTT_0209,9.74,568.17,1564.53,421.65,8778.69,9435.03,47.32,1137.99,Critical
COTT_0210,9.62,1006.14,2598.78,395.1,6844.96,6215.35,40.39,1660.48,Critical
COTT_0211,9.3,561.35,3451.9,713.82,3348.98,4345.08,29.16,1768.08,Critical
COTT_0212,10.97,739.18,1855.62,409.25,4819.65,4099.22,41.84,249.5,Critical
COTT_0213,10.02,1496.7,3534.93,853.7,4837.52,5379.07,38.54,1122.6,Critical
COTT_0214,9.26,1386.6,2624.46,475.16,5206.56,5243.34,44.55,1860.67,Critical
COTT_0215,10.54,511.03,2540.38,733.21,3115.15,2896.8,43.21,429.06,Moderate
COTT_0216,10.07,715.2,1530.3,517.08,8855.24,10633.09,47.19,1270.85,Critical
COTT_0217,9.22,1047.96,2635.94,1059.92,3588.5,3746.83,31.0,879.22,Critical
COTT_0218,10.47,976.02,2439.72,655.03,5756.68,6864.89,45.84,2392.8,Critical
COTT_0219,10.57,815.41,3220.34,693.84,4528.02,5526.16,28.77,2264.23,Critical
COTT_0220,9.92,1137.2,3148.38,1105.61,6820.02,7549.54,29.33,1344.18,Critical
COTT_0221,9.3,1237.43,2780.55,912.21,3250.04,2737.82,42.33,273.0,Critical
COTT_0222,9.14,512.11,3891.25,963.76,5119.51,4854.67,34.99,1959.17,Critical
COTT_0223,10.32,685.2,1935.27,388.56,6961.82,8230.17,33.3,150.27,Critical
COTT_0224,9.16,1467.86,2238.61,992.3,6747.98,6687.04,32.11,391.33,Critical
COTT_0225,10.23,1274.63,3109.76,777.27,3251.71,4175.99,43.97,802.77,Critical
COTT_0226,10.96,1101.88,2956.06,973.27,7870.62,8879.94,30.56,911.84,Critical
COTT_0227,10.86,724.62,2430.42,688.87,5636.43,6236.54,46.86,677.66,Critical
COTT_0228,9.24,697.47,3717.31,881.23,4715.44,5696.13,45.23,2131.63,Critical
COTT_0229,10.84,752.24,3387.6,714.49,8051.99,9374.49,43.53,1674.79,Critical
COTT_0230,9.35,1045.03,3961.67,1143.65,3259.04,2875.8,30.63,1842.35,Critical
COTT_0231,10.64,713.51,2764.63,1056.63,7396.81,7922.86,39.81,1320.07,Critical
COTT_0232,9.6,1065.02,3222.21,1085.99,6817.75,8048.77,31.2,1207.74,Critical
COTT_0233,9.02,746.68,3316.15,1192.63,3595.07,3597.76,44.0,589.69,Critical
COTT_0234,10.11,1233.07,3039.96,469.22,5132.31,6117.18,39.08,112.55,Critical
COTT_0235,10.52,535.31,3364.33,482.23,8748.44,8608.21,34.54,457.33,Critical
COTT_0236,9.61,1376.65,3990.84,631.48,5691.66,6608.22,45.72,1523.31,Critical
COTT_0237,9.78,912.62,3239.05,302.9,6717.54,6568.05,43.88,323.18,Critical
COTT_0238,10.18,980.97,3105.81,358.37,6479.9,7003.1,39.21,1548.37,Critical
COTT_0239,10.35,1304.99,2174.55,1042.54,5989.53,5022.4,29.17,902.17,Critical
COTT_0240,10.57,1207.68,3471.54,765.54,5641.19,4928.86,34.56,1141.65,Critical
COTT_0241,9.18,720.61,2995.56,962.1,8990.09,11386.46,40.85,1111.0,Critical
COTT_0242,10.27,1285.65,1795.84,668.91,8038.81,7973.83,39.44,1510.65,Critical
COTT_0243,9.37,862.24,2336.28,323.58,3145.15,3824.03,33.46,1343.39,Moderate
COTT_0244,9.6,1440.68,2148.24,686.69,8236.38,10056.35,31.72,2026.34,Critical
COTT_0245,9.92,982.97,1833.7,372.54,7367.64,7722.99,36.74,1850.82,Critical
COTT_0246,10.53,658.91,3025.56,421.82,7508.25,8472.89,47.13,265.5,Critical
COTT_0247,9.11,782.19,2154.26,522.28,8437.53,7802.8,33.44,1922.56,Critical
COTT_0248,9.9,1276.71,1663.42,738.81,3201.68,2661.64,46.13,434.19,Critical
COTT_0249,10.06,911.1,2368.36,1109.85,3130.94,3543.89,47.27,1444.4,Critical
COTT_0250,10.87,552.26,2546.98,534.14,7384.93,9531.35,33.13,1670.02,Critical
COTT_0251,9.4,1065.33,2659.83,1174.8,6651.16,6483.24,30.28,462.99,Critical
COTT_0252,9.45,750.97,3626.54,805.1,6140.35,5264.64,45.2,1834.75,Critical
COTT_0253,9.14,1207.84,2858.85,373.55,5749.8,5993.29,31.32,2369.68,Critical
COTT_0254,10.7,1169.02,2655.74,670.59,6905.84,7408.0,29.25,1330.01,Critical
COTT_0255,10.61,959.24,1629.89,1007.65,4208.18,3910.71,31.29,892.52,Critical
COTT_0256,10.51,1019.39,2012.2,1090.05,8277.49,10225.09,32.78,1182.97,Critical
COTT_0257,10.97,1272.01,1567.92,358.68,5783.59,7256.15,38.77,1294.75,Critical
COTT_0258,9.21,1156.78,3555.26,642.38,7653.67,9813.83,32.08,1355.99,Critical
COTT_0259,9.57,1292.85,2943.98,871.12,7787.48,7771.79,46.3,1379.27,Critical
COTT_0260,9.32,1195.9,3483.15,585.09,8143.08,10203.86,33.54,2460.45,Critical
COTT_0261,9.28,702.02,1960.56,1104.59,6925.76,6067.33,36.81,1576.72,Critical
COTT_0262,9.17,1382.42,3509.01,754.69,8802.76,8880.93,47.68,1703.01,Critical
COTT_0263,10.27,665.95,3704.82,684.74,3973.4,3203.77,39.2,1365.76,Critical
COTT_0264,10.44,1390.26,1698.52,958.35,4124.47,5069.34,44.38,1397.91,Critical
COTT_0265,10.42,814.35,2677.92,1039.47,5755.59,5634.14,37.88,2087.8,Critical
COTT_0266,9.67,673.76,3280.04,1043.38,3603.82,3315.29,30.84,935.06,Critical
COTT_0267,9.9,1248.83,3127.87,858.84,5114.25,6243.09,37.43,2449.85,Critical
COTT_0268,10.27,626.26,3190.44,592.59,7117.96,5942.22,31.5,2153.77,Critical
COTT_0269,9.45,1337.04,2198.19,878.59,7164.9,7568.48,34.11,610.35,Critical
COTT_0270,9.07,1935.26,5922.55,2868.15,8227.23,9733.08,43.77,1695.96,Critical
COTT_0271,10.12,610.99,2617.64,714.32,8187.38,8787.71,35.61,2444.32,Critical
COTT_0272,9.22,922.55,1605.06,965.91,8508.46,7998.11,45.17,801.32,Critical
COTT_0273,10.82,1253.96,3512.27,316.21,8776.86,10210.43,34.1,2090.55,Critical
COTT_0274,9.56,1372.75,1781.45,933.32,6244.19,5296.74,32.84,129.77,Critical
COTT_0275,9.94,801.27,2995.89,567.51,4799.51,5623.09,28.96,2266.95,Critical
COTT_0276,10.7,1167.8,2983.05,1103.07,4111.98,3451.94,32.79,2006.99,Critical
COTT_0277,9.07,1082.81,3988.59,1070.13,6128.67,5097.95,44.63,1537.55,Critical
COTT_0278,9.23,593.86,3774.07,902.28,7975.72,9885.82,39.44,1341.87,Critical
COTT_0279,9.86,816.95,2586.49,996.49,6611.54,8239.71,36.87,1557.01,Critical
COTT_0280,10.26,1091.7,3256.58,513.69,6074.18,5175.88,35.69,1270.4,Critical
COTT_0281,10.3,1450.53,3001.63,969.23,6037.6,6744.31,29.42,710.54,Critical
COTT_0282,9.72,972.49,1614.12,426.02,4660.89,5992.82,34.63,1256.9,Critical
COTT_0283,9.39,1110.78,2201.71,486.29,6099.44,4896.34,28.15,625.77,Critical
COTT_0284,9.07,608.03,2347.15,1022.33,6432.29,6794.65,33.87,2336.21,Critical
COTT_0285,9.79,587.09,3042.67,402.45,5071.34,5343.7,45.48,1284.51,Critical
COTT_0286,10.4,1492.82,1828.72,547.26,5367.46,5426.04,36.22,2278.27,Critical
COTT_0287,10.43,1107.91,2273.43,1041.41,8730.36,10568.97,28.03,1627.36,Critical
COTT_0288,9.1,757.61,1648.81,843.42,7119.54,6103.18,35.68,1194.97,Critical
COTT_0289,9.74,621.03,2547.37,976.06,3426.05,2878.19,35.1,2360.14,Critical
COTT_0290,10.34,1178.67,2404.8,834.29,3060.79,3422.11,46.27,1570.18,Critical
COTT_0291,10.75,2197.08,3842.48,2479.12,3398.66,3626.31,30.84,128.1,Critical
