Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Conductivity (uS/cm),Temperature (°C),Color (Pt-Co),Status
SYNT_0123,9.37,1138.12,4258.3,463.12,5817.1,4760.46,37.5,907.18,Critical
SYNT_0124,9.34,409.6,4434.85,731.43,4682.58,3946.02,47.45,1343.23,Critical
SYNT_0125,8.73,589.29,4192.24,528.95,2837.03,2420.21,44.75,675.57,Critical
SYNT_0126,7.89,803.93,5190.61,290.27,5095.64,4380.24,28.73,226.59,Critical
SYNT_0127,9.17,494.38,2658.03,534.63,6297.97,5864.7,36.43,195.81,Critical
SYNT_0128,8.4,862.09,4498.17,466.08,3919.9,3344.9,35.34,338.79,Critical
SYNT_0129,9.03,1173.02,5895.26,812.3,5203.56,5986.35,33.7,1613.85,Critical
SYNT_0130,8.41,785.61,5152.22,433.25,3931.18,4962.41,29.12,1265.52,Critical
SYNT_0131,9.33,888.29,4412.42,412.33,4044.74,4958.95,39.18,1335.38,Critical
SYNT_0132,7.7,412.82,5872.9,495.04,5214.46,4379.4,41.66,2338.16,Critical
SYNT_0133,8.65,500.89,4536.03,748.13,4328.87,5367.45,40.97,2258.2,Critical
SYNT_0134,8.75,505.03,3583.92,381.17,6589.72,7777.19,41.53,822.32,Critical
SYNT_0135,7.87,1005.16,4159.55,396.76,5274.8,4326.22,34.52,1224.54,Critical
SYNT_0136,7.8,1187.72,3231.84,334.73,3415.91,4046.25,36.51,1457.0,Critical
SYNT_0137,7.54,427.55,4060.39,780.83,6483.57,5467.94,38.77,2291.75,Critical
SYNT_0138,8.28,1888.58,8628.58,1714.53,5881.4,7473.3,41.53,972.17,Critical
SYNT_0139,8.9,1012.25,5752.91,383.12,6090.99,7122.03,29.28,1029.34,Critical
SYNT_0140,8.07,643.59,5940.31,667.81,5729.54,7381.42,35.54,2024.42,Critical
SYNT_0141,8.37,1095.63,3132.3,866.0,3484.47,3355.93,43.12,1045.01,Critical
SYNT_0142,8.72,755.66,5098.29,398.42,2763.06,2624.81,37.49,503.25,Critical
SYNT_0143,8.21,719.99,2700.87,629.15,6479.55,5675.25,39.96,1695.37,Critical
SYNT_0144,8.34,960.88,3937.56,578.01,2533.09,2902.57,41.23,192.16,Critical
SYNT_0145,8.24,1183.23,3972.58,576.26,6594.69,7640.81,39.64,2014.73,Critical
SYNT_0146,9.23,765.51,4162.88,500.93,6850.18,7868.0,29.66,2171.1,Critical
SYNT_0147,8.46,455.0,4424.01,521.16,6449.87,5817.77,44.53,1438.45,Critical
SYNT_0148,7.61,1177.48,4294.15,439.07,4612.33,5668.23,34.1,562.42,Critical
SYNT_0149,7.76,638.29,5230.17,556.56,3523.67,3111.73,34.65,2355.82,Critical
SYNT_0150,8.19,1190.5,4198.31,366.46,6510.13,6706.59,42.19,2460.91,Critical
SYNT_0151,7.6,477.36,5021.6,433.19,3329.36,2729.01,28.44,1958.77,Critical
SYNT_0152,7.77,774.18,4620.64,528.43,2621.98,3124.75,28.21,1928.54,Critical
SYNT_0153,9.29,746.27,4374.4,560.04,4251.44,5287.57,45.88,905.96,Critical
SYNT_0154,8.73,1141.53,5867.2,580.82,4537.71,4262.48,47.18,442.75,Critical
SYNT_0155,8.66,626.04,3476.53,513.23,6994.57,5787.89,39.57,298.17,Critical
SYNT_0156,7.81,751.65,4286.61,418.22,3924.06,3309.88,34.06,2419.74,Critical
SYNT_0157,9.39,667.9,4497.99,841.24,2527.83,3046.9,46.97,319.18,Critical
SYNT_0158,7.82,1168.6,4381.39,259.23,3659.34,3750.72,41.86,1859.58,Critical
SYNT_0159,9.49,630.01,4383.77,596.66,4325.4,3826.17,47.55,2147.96,Critical
SYNT_0160,8.5,882.6,3295.41,603.46,5627.37,5951.41,47.81,1567.22,Critical
SYNT_0161,8.24,1017.72,3096.62,499.94,4061.32,4125.91,43.64,1262.02,Critical
SYNT_0162,9.09,861.19,3697.24,776.49,3572.3,3258.62,38.09,726.04,Critical
SYNT_0163,7.52,918.64,4288.83,539.59,6851.36,7437.83,45.27,434.68,Critical
SYNT_0164,8.64,1094.38,4540.87,716.71,4174.2,3532.31,37.16,1046.75,Critical
SYNT_0165,9.23,595.2,5883.57,872.79,3614.34,3520.46,45.91,2419.89,Critical
SYNT_0166,8.39,656.8,4341.33,697.05,3730.64,4358.27,29.03,218.31,Critical
SYNT_0167,8.27,682.78,3604.72,569.16,3943.3,3533.71,34.19,2439.77,Critical
SYNT_0168,8.32,755.77,4517.91,889.17,3587.21,4091.72,42.32,1557.58,Critical
SYNT_0169,7.68,941.5,2724.33,637.49,5828.12,5277.27,44.83,172.85,Critical
SYNT_0170,9.19,768.26,3261.56,336.96,6789.88,5678.6,31.98,934.77,Critical
SYNT_0171,8.74,835.84,2939.75,438.32,3574.38,3241.15,36.22,1789.68,Moderate
SYNT_0172,7.93,693.34,3868.21,884.7,6796.0,8155.67,32.83,263.29,Critical
SYNT_0173,8.13,613.44,4270.74,755.52,6362.45,7777.66,35.19,1749.36,Critical
SYNT_0174,8.13,448.72,4955.48,256.39,4341.32,4188.03,41.87,1938.99,Critical
SYNT_0175,8.11,1049.3,3528.71,540.11,5771.58,6616.89,47.75,640.39,Critical
SYNT_0176,8.82,887.75,5702.84,351.64,5883.09,6378.06,33.49,1238.64,Critical
SYNT_0177,8.17,863.45,5611.5,620.05,5342.75,5659.97,29.02,658.86,Critical
SYNT_0178,8.48,648.19,3136.17,577.69,3952.64,3672.22,37.28,419.88,Critical
SYNT_0179,9.36,1094.16,4976.67,319.04,5991.45,7213.58,43.36,373.52,Critical
SYNT_0180,8.79,1067.46,4520.74,670.16,4562.64,4856.26,28.69,1633.51,Critical
SYNT_0181,7.66,748.01,3524.29,604.53,3100.37,3552.47,43.9,492.05,Critical
SYNT_0182,7.71,516.41,5569.95,593.32,4602.67,3927.72,40.99,2183.2,Critical
SYNT_0183,9.16,900.84,2763.48,323.06,2721.89,2527.93,30.71,724.12,Moderate
SYNT_0184,8.27,1154.39,4636.32,792.73,5696.58,4877.71,42.72,760.24,Critical
SYNT_0185,8.78,1571.85,15506.85,1247.78,3756.09,4752.72,28.49,1772.05,Critical
SYNT_0186,9.45,452.22,5376.44,670.1,5413.04,4677.81,41.0,2457.96,Critical
SYNT_0187,9.32,751.3,2639.82,485.49,6218.76,7156.24,37.19,232.24,Critical
SYNT_0188,8.35,775.22,5749.94,666.71,3902.44,4146.96,29.32,2434.16,Critical
SYNT_0189,8.22,782.29,3743.49,693.63,5480.04,6344.03,33.36,857.6,Critical
SYNT_0190,7.75,924.41,2639.29,638.49,6413.63,7987.64,36.98,1202.33,Critical
SYNT_0191,7.65,936.61,5374.41,409.03,4395.85,5360.39,45.54,683.63,Critical
SYNT_0192,8.6,553.99,2856.58,842.23,6192.28,7307.0,28.98,2124.95,Critical
SYNT_0193,8.38,673.92,4412.67,309.38,5904.91,6443.54,31.73,551.76,Critical
SYNT_0194,7.87,445.6,4557.29,796.23,2578.74,2126.18,39.46,2066.79,Critical
SYNT_0195,8.15,679.69,4587.21,428.24,2619.74,3058.85,40.51,1493.81,Critical
SYNT_0196,8.98,940.18,3220.59,479.11,3067.5,2653.17,41.52,2160.64,Critical
SYNT_0197,9.43,902.68,3144.35,318.67,6157.83,6708.21,40.37,1975.51,Critical
SYNT_0198,8.91,1067.57,2696.75,735.89,6328.84,5968.52,40.81,853.99,Critical
SYNT_0199,9.42,426.74,4529.27,358.23,5704.99,5065.72,32.71,1286.49,Critical
SYNT_0200,9.33,569.37,3004.84,743.33,4752.79,5968.99,30.93,1650.23,Critical
SYNT_0201,7.97,525.41,4892.0,635.9,5896.72,5629.78,36.96,1073.13,Critical
SYNT_0202,9.47,633.8,3531.86,480.46,5040.67,4668.47,46.31,737.65,Critical
SYNT_0203,9.29,482.78,4797.97,839.54,3259.37,4185.56,37.06,2369.72,Critical
SYNT_0204,8.85,641.27,3159.06,447.43,2918.58,2544.81,30.09,1115.06,Critical
SYNT_0205,9.09,513.11,2956.12,668.23,3387.32,2875.17,31.34,2316.96,Moderate
SYNT_0206,9.14,683.25,4795.37,599.23,5547.06,6331.06,40.57,738.64,Critical
SYNT_0207,7.58,764.45,5618.41,620.17,6245.76,8093.33,31.27,1760.27,Critical
SYNT_0208,8.85,1183.96,5949.6,696.34,3596.27,4312.93,30.14,1973.68,Critical
SYNT_0209,9.32,706.27,4707.22,529.59,4469.94,4269.62,43.24,2346.82,Critical
SYNT_0210,9.38,539.83,5561.6,729.33,3637.77,3032.6,33.36,2289.3,Critical
SYNT_0211,8.77,976.84,3400.03,717.6,2626.55,2594.14,40.54,450.63,Critical
SYNT_0212,9.15,588.03,4782.98,513.38,5182.2,4424.18,28.34,2282.95,Critical
SYNT_0213,8.04,1055.74,5997.73,387.43,3693.27,4178.68,47.31,2297.95,Critical
SYNT_0214,8.51,1036.09,2975.11,885.33,6839.59,6031.59,33.99,340.37,Critical
SYNT_0215,8.04,1052.76,3824.1,307.46,4040.01,5214.41,40.59,1098.79,Critical
SYNT_0216,7.83,1188.94,5372.97,432.96,2815.31,2331.96,30.41,1493.84,Critical
SYNT_0217,9.36,1252.46,13385.71,1102.5,5688.63,6632.58,31.48,966.92,Critical
SYNT_0218,8.57,1196.98,4160.87,780.44,4444.3,5325.14,39.91,2227.83,Critical
SYNT_0219,8.32,883.44,4705.07,521.3,3149.4,2666.85,28.33,2196.48,Critical
SYNT_0220,7.97,569.21,5076.12,458.01,4777.2,4209.93,47.19,2143.8,Critical
SYNT_0221,9.23,725.42,5168.26,343.52,2538.79,2056.39,39.73,1192.95,Critical
SYNT_0222,8.54,405.97,3979.4,716.74,4492.12,5238.3,32.66,2051.54,Critical
SYNT_0223,8.68,568.61,3328.52,658.22,6234.73,6283.45,33.17,2180.83,Critical
SYNT_0224,8.84,758.47,4207.65,382.77,5320.61,5210.85,47.91,1252.44,Critical
SYNT_0225,8.47,852.68,5708.65,770.53,4530.09,5251.96,39.72,1281.68,Critical
SYNT_0226,7.88,771.15,3360.37,844.65,4009.33,5116.43,38.66,1615.71,Critical
SYNT_0227,8.59,503.5,3815.37,314.44,5303.29,5427.58,43.56,629.13,Critical
SYNT_0228,7.83,725.07,5743.05,711.77,4385.16,4642.29,29.68,2462.98,Critical
SYNT_0229,8.83,1430.57,11723.21,806.15,6846.27,6075.33,40.96,689.09,Critical
SYNT_0230,8.73,1113.98,2775.19,465.09,3617.29,4680.8,35.79,1858.27,Critical
SYNT_0231,8.87,569.66,3336.49,432.83,4350.07,3989.72,28.39,2210.54,Critical
SYNT_0232,9.43,673.26,3684.77,254.61,5561.13,6744.09,30.93,483.2,Critical
SYNT_0233,9.08,893.03,2657.01,654.66,3890.13,3829.3,43.39,2046.24,Moderate
SYNT_0234,8.3,1157.72,3922.62,751.69,4677.45,5841.04,46.16,309.8,Critical
SYNT_0235,9.37,1060.43,5269.59,380.59,6123.04,7501.13,33.78,2385.42,Critical
SYNT_0236,7.6,519.93,4381.53,624.27,5403.18,4368.39,47.21,207.01,Critical
SYNT_0237,7.79,411.21,4484.0,855.97,5496.76,6658.38,28.27,1400.84,Critical
SYNT_0238,8.42,799.17,2752.75,694.88,4764.49,5634.36,37.71,458.52,Critical
SYNT_0239,8.8,537.91,5553.38,648.53,3207.42,4109.25,38.37,274.96,Critical
SYNT_0240,8.75,602.56,5312.93,781.58,6905.26,7256.98,37.1,1908.34,Critical
SYNT_0241,7.76,837.53,4411.87,308.16,4380.93,5373.83,45.12,338.17,Critical
SYNT_0242,7.68,610.16,5561.68,333.79,5739.99,4882.34,40.46,954.56,Critical
SYNT_0243,9.08,586.95,4737.21,403.19,5711.47,7064.17,30.54,2179.83,Critical
SYNT_0244,8.69,501.69,3996.4,354.56,5651.57,6665.65,30.12,1314.74,Critical
SYNT_0245,9.13,1148.93,4297.31,867.68,4910.6,4896.34,44.96,1283.16,Critical
SYNT_0246,8.44,792.25,5463.75,790.76,4315.84,4171.91,37.84,1474.65,Critical
SYNT_0247,7.98,1035.16,4202.69,467.13,2980.69,2740.51,46.99,832.24,Critical
SYNT_0248,7.84,768.54,3574.81,272.85,3954.15,4239.06,39.03,955.74,Critical
SYNT_0249,8.39,1172.41,3820.72,417.85,3595.6,3699.45,43.19,594.37,Critical
SYNT_0250,8.92,416.92,3966.27,754.31,4024.3,4353.76,32.1,1880.79,Critical
SYNT_0251,7.6,1082.03,3193.69,818.36,4086.38,4745.68,34.38,2274.19,Critical
SYNT_0252,7.75,542.82,4225.61,303.26,3381.91,4301.39,47.53,1003.02,Critical
SYNT_0253,9.35,835.86,3444.1,706.56,5465.06,7074.86,33.3,1712.94,Critical
SYNT_0254,7.6,490.92,2513.71,899.65,6110.23,7291.71,38.19,820.16,Critical
SYNT_0255,7.8,627.74,3815.9,741.6,4928.48,4133.72,28.36,345.6,Critical
SYNT_0256,8.32,1146.55,4730.91,771.19,4598.69,4510.55,30.17,2202.24,Critical
SYNT_0257,9.07,534.49,4292.91,566.79,5312.91,6763.83,39.6,1396.52,Critical
SYNT_0258,7.6,450.33,3155.71,271.11,5845.09,6790.04,30.72,2106.59,Critical
SYNT_0259,7.81,640.94,3371.42,492.0,3645.99,3808.15,36.15,2467.77,Critical
SYNT_0260,7.61,513.75,2684.89,656.8,2745.29,3344.37,38.24,1364.82,Moderate
SYNT_0261,8.62,536.65,3191.92,457.23,5170.73,4679.82,30.33,2428.28,Critical
SYNT_0262,7.54,1042.16,5258.12,443.19,3110.32,2714.73,41.95,1642.74,Critical
SYNT_0263,9.07,1149.98,4921.75,351.3,3595.49,4390.44,32.19,274.05,Critical
SYNT_0264,8.91,722.02,5720.14,672.67,2906.89,3703.17,33.17,909.31,Critical
SYNT_0265,8.3,440.98,4237.8,330.16,4304.37,4198.29,43.46,2027.61,Critical
SYNT_0266,7.81,693.24,3806.74,348.42,6093.04,7029.02,31.81,980.13,Critical
SYNT_0267,7.71,902.57,2924.8,890.86,6013.07,5983.72,39.57,2287.22,Critical
SYNT_0268,8.61,539.6,3825.46,798.04,5398.96,6075.79,45.34,2245.54,Critical
SYNT_0269,9.34,475.88,4404.44,731.33,5906.17,6516.62,31.34,2013.81,Critical
SYNT_0270,8.94,468.91,4123.33,363.09,4018.65,3251.25,36.01,1419.7,Critical
SYNT_0271,8.74,930.79,5427.02,390.05,3042.17,3729.0,31.13,2439.42,Critical
SYNT_0272,9.19,800.7,5934.97,313.29,3863.8,4324.03,35.0,2328.09,Critical
SYNT_0273,7.63,839.53,4568.03,674.27,3650.5,3585.82,44.87,567.86,Critical
SYNT_0274,9.15,850.12,5167.66,713.84,3433.8,3723.63,45.35,1137.08,Critical
SYNT_0275,9.43,761.77,2999.75,503.13,6782.66,6510.41,45.36,2215.0,Critical
SYNT_0276,8.2,466.61,5035.95,452.48,6023.16,6151.62,37.71,1966.98,Critical
SYNT_0277,8.26,754.5,3816.67,488.77,4866.76,5861.52,35.24,1358.21,Critical
SYNT_0278,8.84,615.55,3471.33,856.72,5755.91,6265.85,40.95,170.32,Critical
SYNT_0279,8.74,807.61,4410.12,483.63,2866.63,2570.42,47.01,1080.88,Critical
SYNT_0280,8.43,442.17,2631.48,716.17,4921.43,5188.92,32.86,1887.4,Critical
SYNT_0281,7.84,551.95,4112.49,436.08,3613.58,4056.67,41.02,2078.84,Critical
SYNT_0282,8.34,458.47,3457.83,887.0,5183.16,5985.87,28.15,1343.69,Critical
SYNT_0283,7.58,855.38,5722.7,879.47,4932.49,5076.04,46.9,1716.66,Critical
SYNT_0284,7.63,772.58,3340.86,555.37,4549.6,4963.94,35.14,494.25,Critical
SYNT_0285,8.51,1064.16,4824.04,469.94,6709.85,8428.27,32.19,194.6,Critical
SYNT_0286,8.98,1062.09,5887.53,828.39,5202.41,5540.7,28.56,691.98,Critical
SYNT_0287,8.42,902.8,4450.38,732.71,3758.95,4068.97,29.76,1092.8,Critical
SYNT_0288,9.0,954.72,5967.25,430.63,4741.85,4574.77,36.81,2156.68,Critical
