Sample_ID,pH,BOD (mg/L),COD (mg/L),TSS (mg/L),TDS (mg/L),Status
POL-217,7.24,410,2160,2040,1560,Raw Effluent
POL-218,7.28,420,2220,2080,1620,Raw Effluent
POL-219,7.32,430,2280,2120,1680,Raw Effluent
POL-220,7.36,440,2340,2160,1740,Raw Effluent
POL-221,7.0,250,2400,2200,1800,Raw Effluent
POL-222,7.04,260,2460,2240,1860,Raw Effluent
POL-223,7.08,270,2520,2280,1920,Raw Effluent
POL-224,7.12,280,2580,2320,1980,Raw Effluent
POL-225,7.16,290,2640,2360,2040,Raw Effluent
POL-226,7.2,300,1500,2400,2100,Raw Effluent
POL-227,7.24,310,1560,2440,2160,Raw Effluent
POL-228,7.28,320,1620,2480,2220,Raw Effluent
POL-229,7.32,330,1680,2520,2280,Raw Effluent
POL-230,7.36,340,1740,2560,2340,Raw Effluent
POL-231,7.0,350,1800,2600,2400,Raw Effluent
POL-232,7.04,360,1860,2640,2460,Raw Effluent
POL-233,7.08,370,1920,2680,2520,Raw Effluent
POL-234,7.12,380,1980,2720,2580,Raw Effluent
POL-235,7.16,390,2040,2760,2640,Raw Effluent
POL-236,7.2,400,2100,2800,2700,Raw Effluent
POL-237,7.24,410,2160,2840,2760,Raw Effluent
POL-238,7.28,420,2220,2880,2820,Raw Effluent
POL-239,7.32,430,2280,2920,2880,Raw Effluent
POL-240,7.36,440,2340,2960,2940,Raw Effluent
POL-241,7.0,250,2400,1800,1200,Raw Effluent
POL-242,7.04,260,2460,1840,1260,Raw Effluent
POL-243,7.08,270,2520,1880,1320,Raw Effluent
POL-244,7.12,280,2580,1920,1380,Raw Effluent
POL-245,7.16,290,2640,1960,1440,Raw Effluent
POL-246,7.2,300,1500,2000,1500,Raw Effluent
POL-247,7.24,310,1560,2040,1560,Raw Effluent
POL-248,7.28,320,1620,2080,1620,Raw Effluent
POL-249,7.32,330,1680,2120,1680,Raw Effluent
POL-250,7.36,340,1740,2160,1740,Raw Effluent
POL-251,7.0,350,1800,2200,1800,Raw Effluent
POL-252,7.04,360,1860,2240,1860,Raw Effluent
POL-253,7.08,370,1920,2280,1920,Raw Effluent
POL-254,7.12,380,1980,2320,1980,Raw Effluent
POL-255,7.16,390,2040,2360,2040,Raw Effluent
POL-256,7.2,400,2100,2400,2100,Raw Effluent
POL-257,7.24,410,2160,2440,2160,Raw Effluent
POL-258,7.28,420,2220,2480,2220,Raw Effluent
POL-259,7.32,430,2280,2520,2280,Raw Effluent
POL-260,7.36,440,2340,2560,2340,Raw Effluent
POL-261,7.0,250,2400,2600,2400,Raw Effluent
POL-262,7.04,260,2460,2640,2460,Raw Effluent
POL-263,7.08,270,2520,2680,2520,Raw Effluent
POL-264,7.12,280,2580,2720,2580,Raw Effluent
POL-265,7.16,290,2640,2760,2640,Raw Effluent
POL-266,7.2,300,1500,2800,2700,Raw Effluent
POL-267,7.24,310,1560,2840,2760,Raw Effluent
POL-268,7.28,320,1620,2880,2820,Raw Effluent
POL-269,7.32,330,1680,2920,2880,Raw Effluent
POL-270,7.36,340,1740,2960,2940,Raw Effluent
POL-271,7.0,350,1800,1800,1200,Raw Effluent
POL-272,7.04,360,1860,1840,1260,Raw Effluent
POL-273,7.08,370,1920,1880,1320,Raw Effluent
POL-274,7.12,380,1980,1920,1380,Raw Effluent
POL-275,7.16,390,2040,1960,1440,Raw Effluent
POL-276,7.2,400,2100,2000,1500,Raw Effluent
POL-277,7.24,410,2160,2040,1560,Raw Effluent
POL-278,7.28,420,2220,2080,1620,Raw Effluent
POL-279,7.32,430,2280,2120,1680,Raw Effluent
POL-280,7.36,440,2340,2160,1740,Raw Effluent
POL-281,7.0,250,2400,2200,1800,Raw Effluent
POL-282,7.04,260,2460,2240,1860,Raw Effluent
POL-283,7.08,270,2520,2280,1920,Raw Effluent
POL-284,7.12,280,2580,2320,1980,Raw Effluent
POL-285,7.16,290,2640,2360,2040,Raw Effluent
POL-286,7.2,300,1500,2400,2100,Raw Effluent
POL-287,7.24,310,1560,2440,2160,Raw Effluent
POL-288,7.28,320,1620,2480,2220,Raw Effluent
POL-289,7.32,330,1680,2520,2280,Raw Effluent
POL-290,7.36,340,1740,2560,2340,Raw Effluent
POL-291,7.0,350,1800,2600,2400,Raw Effluent
POL-292,7.04,360,1860,2640,2460,Raw Effluent
POL-293,7.08,370,1920,2680,2520,Raw Effluent
POL-294,7.12,380,1980,2720,2580,Raw Effluent
POL-295,7.16,390,2040,2760,2640,Raw Effluent
POL-296,7.2,400,2100,2800,2700,Raw Effluent
POL-297,7.24,410,2160,2840,2760,Raw Effluent
POL-298,7.28,420,2220,2880,2820,Raw Effluent
POL-299,7.32,430,2280,2920,2880,Raw Effluent
POL-300,7.36,440,2340,2960,2940,Raw Effluent
POL-301,7.0,250,2400,1800,1200,Raw Effluent
POL-302,7.04,260,2460,1840,1260,Raw Effluent
POL-303,7.08,270,2520,1880,1320,Raw Effluent
POL-304,7.12,280,2580,1920,1380,Raw Effluent
POL-305,7.16,290,2640,1960,1440,Raw Effluent
POL-306,7.2,300,1500,2000,1500,Raw Effluent
POL-307,7.24,310,1560,2040,1560,Raw Effluent
POL-308,7.28,320,1620,2080,1620,Raw Effluent
POL-309,7.32,330,1680,2120,1680,Raw Effluent
POL-310,7.36,340,1740,2160,1740,Raw Effluent
POL-311,7.0,350,1800,2200,1800,Raw Effluent
POL-312,7.04,360,1860,2240,1860,Raw Effluent
POL-313,7.08,370,1920,2280,1920,Raw Effluent
POL-314,7.12,380,1980,2320,1980,Raw Effluent
POL-315,7.16,390,2040,2360,2040,Raw Effluent
POL-316,7.2,400,2100,2400,2100,Raw Effluent
POL-317,7.24,410,2160,2440,2160,Raw Effluent
POL-318,7.28,420,2220,2480,2220,Raw Effluent
POL-319,7.32,430,2280,2520,2280,Raw Effluent
POL-320,7.36,440,2340,2560,2340,Raw Effluent
POL-321,7.0,250,2400,2600,2400,Raw Effluent
POL-322,7.04,260,2460,2640,2460,Raw Effluent
POL-323,7.08,270,2520,2680,2520,Raw Effluent
POL-324,7.12,280,2580,2720,2580,Raw Effluent
POL-325,7.16,290,2640,2760,2640,Raw Effluent
POL-326,7.2,300,1500,2800,2700,Raw Effluent
POL-327,7.24,310,1560,2840,2760,Raw Effluent
POL-328,7.28,320,1620,2880,2820,Raw Effluent
POL-329,7.32,330,1680,2920,2880,Raw Effluent
POL-330,7.36,340,1740,2960,2940,Raw Effluent
POL-331,7.0,350,1800,1800,1200,Raw Effluent
POL-332,7.04,360,1860,1840,1260,Raw Effluent
POL-333,7.08,370,1920,1880,1320,Raw Effluent
POL-334,7.12,380,1980,1920,1380,Raw Effluent
POL-335,7.16,390,2040,1960,1440,Raw Effluent
POL-336,7.2,400,2100,2000,1500,Raw Effluent
POL-337,7.24,410,2160,2040,1560,Raw Effluent
POL-338,7.28,420,2220,2080,1620,Raw Effluent
POL-339,7.32,430,2280,2120,1680,Raw Effluent
POL-340,7.36,440,2340,2160,1740,Raw Effluent
POL-341,7.0,250,2400,2200,1800,Raw Effluent
POL-342,7.04,260,2460,2240,1860,Raw Effluent
POL-343,7.08,270,2520,2280,1920,Raw Effluent
POL-344,7.12,280,2580,2320,1980,Raw Effluent
POL-345,7.16,290,2640,2360,2040,Raw Effluent
POL-346,7.2,300,1500,2400,2100,Raw Effluent
POL-347,7.24,310,1560,2440,2160,Raw Effluent
POL-348,7.28,320,1620,2480,2220,Raw Effluent
POL-349,7.32,330,1680,2520,2280,Raw Effluent
POL-350,7.36,340,1740,2560,2340,Raw Effluent
POL-351,7.0,350,1800,2600,2400,Raw Effluent
POL-352,7.04,360,1860,2640,2460,Raw Effluent
POL-353,7.08,370,1920,2680,2520,Raw Effluent
POL-354,7.12,380,1980,2720,2580,Raw Effluent
POL-355,7.16,390,2040,2760,2640,Raw Effluent
POL-356,7.2,400,2100,2800,2700,Raw Effluent
POL-357,7.24,410,2160,2840,2760,Raw Effluent
POL-358,7.28,420,2220,2880,2820,Raw Effluent
POL-359,7.32,430,2280,2920,2880,Raw Effluent
POL-360,7.36,440,2340,2960,2940,Raw Effluent
POL-361,7.0,250,2400,1800,1200,Raw Effluent
POL-362,7.04,260,2460,1840,1260,Raw Effluent
POL-363,7.08,270,2520,1880,1320,Raw Effluent
POL-364,7.12,280,2580,1920,1380,Raw Effluent
POL-365,7.16,290,2640,1960,1440,Raw Effluent
POL-366,7.2,300,1500,2000,1500,Raw Effluent
POL-367,7.24,310,1560,2040,1560,Raw Effluent
POL-368,7.28,320,1620,2080,1620,Raw Effluent
POL-369,7.32,330,1680,2120,1680,Raw Effluent
POL-370,7.36,340,1740,2160,1740,Raw Effluent
POL-371,7.0,350,1800,2200,1800,Raw Effluent
POL-372,7.04,360,1860,2240,1860,Raw Effluent
POL-373,7.08,370,1920,2280,1920,Raw Effluent
POL-374,7.12,380,1980,2320,1980,Raw Effluent
POL-375,7.16,390,2040,2360,2040,Raw Effluent
POL-376,7.2,400,2100,2400,2100,Raw Effluent
POL-377,7.24,410,2160,2440,2160,Raw Effluent
POL-378,7.28,420,2220,2480,2220,Raw Effluent
POL-379,7.32,430,2280,2520,2280,Raw Effluent
POL-380,7.36,440,2340,2560,2340,Raw Effluent
POL-381,7.0,250,2400,2600,2400,Raw Effluent
POL-382,7.04,260,2460,2640,2460,Raw Effluent
POL-383,7.08,270,2520,2680,2520,Raw Effluent
POL-384,7.12,280,2580,2720,2580,Raw Effluent
POL-385,7.16,290,2640,2760,2640,Raw Effluent
POL-386,7.2,300,1500,2800,2700,Raw Effluent
POL-387,7.24,310,1560,2840,2760,Raw Effluent
POL-388,7.28,320,1620,2880,2820,Raw Effluent
POL-389,7.32,330,1680,2920,2880,Raw Effluent
POL-390,7.36,340,1740,2960,2940,Raw Effluent
POL-391,7.0,350,1800,1800,1200,Raw Effluent
POL-392,7.04,360,1860,1840,1260,Raw Effluent
POL-393,7.08,370,1920,1880,1320,Raw Effluent
POL-394,7.12,380,1980,1920,1380,Raw Effluent
POL-395,7.16,390,2040,1960,1440,Raw Effluent
POL-396,7.2,400,2100,2000,1500,Raw Effluent
POL-397,7.24,410,2160,2040,1560,Raw Effluent
POL-398,7.28,420,2220,2080,1620,Raw Effluent
POL-399,7.32,430,2280,2120,1680,Raw Effluent
POL-400,7.36,440,2340,2160,1740,Raw Effluent
POL-401,7.0,60,300,400,1200,Tertiary Filtered
POL-402,7.04,70,350,450,1260,Tertiary Filtered
POL-403,7.08,80,400,500,1320,Tertiary Filtered
POL-404,7.12,90,450,550,1380,Tertiary Filtered
POL-405,7.16,100,500,600,1440,Tertiary Filtered
POL-406,7.2,60,550,650,1500,Tertiary Filtered
POL-407,7.24,70,600,700,1560,Tertiary Filtered
POL-408,7.28,80,650,750,1620,Tertiary Filtered
POL-409,7.32,90,700,800,1680,Tertiary Filtered
POL-410,7.36,100,750,850,1740,Tertiary Filtered
POL-411,7.0,60,800,400,1800,Tertiary Filtered
POL-412,7.04,70,850,450,1860,Tertiary Filtered
POL-413,7.08,80,900,500,1920,Tertiary Filtered
POL-414,7.12,90,950,550,1980,Tertiary Filtered
POL-415,7.16,100,1000,600,2040,Tertiary Filtered
POL-416,7.2,60,300,650,2100,Tertiary Filtered
POL-417,7.24,70,350,700,2160,Tertiary Filtered
POL-418,7.28,80,400,750,2220,Tertiary Filtered
POL-419,7.32,90,450,800,2280,Tertiary Filtered
POL-420,7.36,100,500,850,2340,Tertiary Filtered
POL-421,7.0,60,550,400,2400,Tertiary Filtered
POL-422,7.04,70,600,450,2460,Tertiary Filtered
POL-423,7.08,80,650,500,2520,Tertiary Filtered
POL-424,7.12,90,700,550,2580,Tertiary Filtered
POL-425,7.16,100,750,600,2640,Tertiary Filtered
POL-426,7.2,60,800,650,2700,Tertiary Filtered
POL-427,7.24,70,850,700,2760,Tertiary Filtered
POL-428,7.28,80,900,750,2820,Tertiary Filtered
POL-429,7.32,90,950,800,2880,Tertiary Filtered
POL-430,7.36,100,1000,850,2940,Tertiary Filtered
POL-431,7.0,60,300,400,1200,Tertiary Filtered
POL-432,7.04,70,350,450,1260,Tertiary Filtered
POL-433,7.08,80,400,500,1320,Tertiary Filtered
POL-434,7.12,90,450,550,1380,Tertiary Filtered
POL-435,7.16,100,500,600,1440,Tertiary Filtered
POL-436,7.2,60,550,650,1500,Tertiary Filtered
POL-437,7.24,70,600,700,1560,Tertiary Filtered
POL-438,7.28,80,650,750,1620,Tertiary Filtered
POL-439,7.32,90,700,800,1680,Tertiary Filtered
POL-440,7.36,100,750,850,1740,Tertiary Filtered
POL-441,7.0,60,800,400,1800,Tertiary Filtered
POL-442,7.04,70,850,450,1860,Tertiary Filtered
POL-443,7.08,80,900,500,1920,Tertiary Filtered
POL-444,7.12,90,950,550,1980,Tertiary Filtered
POL-445,7.16,100,1000,600,2040,Tertiary Filtered
POL-446,7.2,60,300,650,2100,Tertiary Filtered
POL-447,7.24,70,350,700,2160,Tertiary Filtered
POL-448,7.28,80,400,750,2220,Tertiary Filtered
POL-449,7.32,90,450,800,2280,Tertiary Filtered
POL-450,7.36,100,500,850,2340,Tertiary Filtered
POL-451,7.0,60,550,400,2400,Tertiary Filtered
POL-452,7.04,70,600,450,2460,Tertiary Filtered
POL-453,7.08,80,650,500,2520,Tertiary Filtered
POL-454,7.12,90,700,550,2580,Tertiary Filtered
POL-455,7.16,100,750,600,2640,Tertiary Filtered
POL-456,7.2,60,800,650,2700,Tertiary Filtered
POL-457,7.24,70,850,700,2760,Tertiary Filtered
POL-458,7.28,80,900,750,2820,Tertiary Filtered
POL-459,7.32,90,950,800,2880,Tertiary Filtered
POL-460,7.36,100,1000,850,2940,Tertiary Filtered
POL-461,7.0,60,300,400,1200,Tertiary Filtered
POL-462,7.04,70,350,450,1260,Tertiary Filtered
POL-463,7.08,80,400,500,1320,Tertiary Filtered
POL-464,7.12,90,450,550,1380,Tertiary Filtered
POL-465,7.16,100,500,600,1440,Tertiary Filtered
POL-466,7.2,60,550,650,1500,Tertiary Filtered
POL-467,7.24,70,600,700,1560,Tertiary Filtered
POL-468,7.28,80,650,750,1620,Tertiary Filtered
POL-469,7.32,90,700,800,1680,Tertiary Filtered
POL-470,7.36,100,750,850,1740,Tertiary Filtered
POL-471,7.0,60,800,400,1800,Tertiary Filtered
POL-472,7.04,70,850,450,1860,Tertiary Filtered
POL-473,7.08,80,900,500,1920,Tertiary Filtered
POL-474,7.12,90,950,550,1980,Tertiary Filtered
POL-475,7.16,100,1000,600,2040,Tertiary Filtered
POL-476,7.2,60,300,650,2100,Tertiary Filtered
POL-477,7.24,70,350,700,2160,Tertiary Filtered
POL-478,7.28,80,400,750,2220,Tertiary Filtered
POL-479,7.32,90,450,800,2280,Tertiary Filtered
POL-480,7.36,100,500,850,2340,Tertiary Filtered
POL-481,7.0,60,550,400,2400,Tertiary Filtered
POL-482,7.04,70,600,450,2460,Tertiary Filtered
POL-483,7.08,80,650,500,2520,Tertiary Filtered
POL-484,7.12,90,700,550,2580,Tertiary Filtered
POL-485,7.16,100,750,600,2640,Tertiary Filtered
POL-486,7.2,60,800,650,2700,Tertiary Filtered
POL-487,7.24,70,850,700,2760,Tertiary Filtered
POL-488,7.28,80,900,750,2820,Tertiary Filtered
POL-489,7.32,90,950,800,2880,Tertiary Filtered
POL-490,7.36,100,1000,850,2940,Tertiary Filtered
POL-491,7.0,60,300,400,1200,Tertiary Filtered
POL-492,7.04,70,350,450,1260,Tertiary Filtered
POL-493,7.08,80,400,500,1320,Tertiary Filtered
POL-494,7.12,90,450,550,1380,Tertiary Filtered
POL-495,7.16,100,500,600,1440,Tertiary Filtered
POL-496,7.2,60,550,650,1500,Tertiary Filtered
